Installing system update,values/strings.xml,17,Installeer tans stelselopdatering,values-af/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Vee tans uit,values-af/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Geen opdrag nie,values-af/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Fout!,values-af/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Installeer tans sekuriteitopdatering,values-af/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Kan nie Android-stelsel laai nie. Jou data is dalk korrup. As jy aanhou om hierdie boodskap te kry, sal jy dalk 'n fabrieksterugstelling moet doen en alle gebruikerdata moet uitvee wat op hierdie toestel geberg word.",values-af/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Probeer weer,values-af/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Fabrieksterugstelling,values-af/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Vee alle gebruikerdata uit?\n\n DIT KAN NIE ONTDOEN WORD NIE!,values-af/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Kanselleer,values-af/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Terugval,values-af/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Nie-ondersteunde handeling,values-af/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Hierdie handeling word tans nie ondersteun nie.,values-af/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,ANGLE-voorkeure,values-af/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Wysig ANGLE-instellings,values-af/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Algemeen,values-af/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Gebruik ANGLE vir alle programme,values-af/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,Wys dialoogkassie wanneer ANGLE gelaai is,values-af/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,Kies OpenGL-drywer,values-af/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, grafika",values-af/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Gebruik tans ANGLE,values-af/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,Geen programme beskikbaar nie,values-af/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,Geen programme is geïnstalleer wat ANGLE kan gebruik nie,values-af/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Activity Stub,values/strings.xml,5,Activity Stub,values-af/strings.xml,4,device/google/atv,FrameworkPackageStubs/res
You don't have an app that can do this,values/strings.xml,8,Jy het nie 'n program wat dit kan doen nie,values-af/strings.xml,5,device/google/atv,FrameworkPackageStubs/res
None,values/strings.xml,11,Geen,values-af/strings.xml,6,device/google/atv,FrameworkPackageStubs/res
N/A,values/strings.xml,19,NVT,values-af/strings.xml,19,device/google/atv,libraries/BluetoothServices/res
Critical,values/strings.xml,20,Kritiek,values-af/strings.xml,20,device/google/atv,libraries/BluetoothServices/res
Low,values/strings.xml,21,Laag,values-af/strings.xml,21,device/google/atv,libraries/BluetoothServices/res
Good,values/strings.xml,22,Goed,values-af/strings.xml,22,device/google/atv,libraries/BluetoothServices/res
Confirm remote update,values/strings.xml,24,Bevestig opdatering van afstandbeheerder,values-af/strings.xml,23,device/google/atv,libraries/BluetoothServices/res
During the update your remote may briefly disconnect.,values/strings.xml,25,Jou afstandbeheerder sal tydens die opdatering dalk tydelik ontkoppel word.,values-af/strings.xml,24,device/google/atv,libraries/BluetoothServices/res
Continue,values/strings.xml,27,Gaan voort,values-af/strings.xml,25,device/google/atv,libraries/BluetoothServices/res
Cancel,values/strings.xml,28,Kanselleer,values-af/strings.xml,26,device/google/atv,libraries/BluetoothServices/res
Remote update,values/strings.xml,30,Opdatering van afstandbeheerder,values-af/strings.xml,27,device/google/atv,libraries/BluetoothServices/res
New software available,values/strings.xml,31,Nuwe sagteware is beskikbaar,values-af/strings.xml,28,device/google/atv,libraries/BluetoothServices/res
Update available,values/strings.xml,32,Opdatering is beskikbaar,values-af/strings.xml,29,device/google/atv,libraries/BluetoothServices/res
Remote is up to date,values/strings.xml,33,Afstandbeheerder is op datum,values-af/strings.xml,30,device/google/atv,libraries/BluetoothServices/res
Remote update failed,values/strings.xml,34,Kon nie afstandbeheerder opdateer nie,values-af/strings.xml,31,device/google/atv,libraries/BluetoothServices/res
We experienced an issue while updating your remote. Please try again.,values/strings.xml,35,Ons het 'n kwessie ervaar terwyl ons jou afstandbeheerder opgedateer het. Probeer weer.,values-af/strings.xml,32,device/google/atv,libraries/BluetoothServices/res
Please wait,values/strings.xml,36,Wag asseblief,values-af/strings.xml,33,device/google/atv,libraries/BluetoothServices/res
Pair your remote again,values/strings.xml,37,Bind jou afstandbeheerder weer saam,values-af/strings.xml,34,device/google/atv,libraries/BluetoothServices/res
Enabled,values/strings.xml,39,Geaktiveer,values-af/strings.xml,35,device/google/atv,libraries/BluetoothServices/res
Disabled,values/strings.xml,40,Gedeaktiveer,values-af/strings.xml,36,device/google/atv,libraries/BluetoothServices/res
Battery level,values/strings.xml,42,Batteryvlak,values-af/strings.xml,37,device/google/atv,libraries/BluetoothServices/res
%1$d%%,values/strings.xml,44,%1$d%%,values-af/strings.xml,38,device/google/atv,libraries/BluetoothServices/res
Firmware,values/strings.xml,45,Fermware,values-af/strings.xml,39,device/google/atv,libraries/BluetoothServices/res
Bluetooth address,values/strings.xml,46,Bluetooth-adres,values-af/strings.xml,40,device/google/atv,libraries/BluetoothServices/res
Please replace battery,values/strings.xml,48,Vervang asseblief battery,values-af/strings.xml,41,device/google/atv,libraries/BluetoothServices/res
Low battery,values/strings.xml,49,Lae battery,values-af/strings.xml,42,device/google/atv,libraries/BluetoothServices/res
Connected Devices,values/strings.xml,52,Gekoppelde toestelle,values-af/strings.xml,43,device/google/atv,libraries/BluetoothServices/res
Remotes & Accessories,values/strings.xml,54,Afstandbeheerders en toebehore,values-af/strings.xml,44,device/google/atv,libraries/BluetoothServices/res
Update your remote,values/strings.xml,56,Dateer jou afstandbeheerder op,values-af/strings.xml,45,device/google/atv,libraries/BluetoothServices/res
Ready to install,values/strings.xml,57,Gereed om te installeer,values-af/strings.xml,46,device/google/atv,libraries/BluetoothServices/res
UPDATE,values/strings.xml,58,DATEER OP,values-af/strings.xml,47,device/google/atv,libraries/BluetoothServices/res
DISMISS,values/strings.xml,59,MAAK TOE,values-af/strings.xml,48,device/google/atv,libraries/BluetoothServices/res
Remote battery low,values/strings.xml,63,Afstandbeheerder se battery is pap,values-af/strings.xml,49,device/google/atv,libraries/BluetoothServices/res
Replace battery soon,values/strings.xml,64,Vervang battery binnekort,values-af/strings.xml,50,device/google/atv,libraries/BluetoothServices/res
Remote battery almost empty,values/strings.xml,65,Afstandbeheerder se battery is byna leeg,values-af/strings.xml,51,device/google/atv,libraries/BluetoothServices/res
Replace battery soon,values/strings.xml,66,Vervang battery binnekort,values-af/strings.xml,52,device/google/atv,libraries/BluetoothServices/res
Remote battery empty,values/strings.xml,67,Afstandbeheerder se battery is leeg,values-af/strings.xml,53,device/google/atv,libraries/BluetoothServices/res
Replace battery to use remote,values/strings.xml,68,Vervang battery om afstandbeheerder te gebruik,values-af/strings.xml,54,device/google/atv,libraries/BluetoothServices/res
Yes,values/strings.xml,72,Ja,values-af/strings.xml,55,device/google/atv,libraries/BluetoothServices/res
No,values/strings.xml,73,Nee,values-af/strings.xml,56,device/google/atv,libraries/BluetoothServices/res
Disconnect from %1$s,values/strings.xml,75,Ontkoppel van %1$s,values-af/strings.xml,57,device/google/atv,libraries/BluetoothServices/res
Connect to %1$s,values/strings.xml,76,Koppel aan %1$s,values-af/strings.xml,58,device/google/atv,libraries/BluetoothServices/res
Forget %1$s,values/strings.xml,77,Vergeet %1$s,values-af/strings.xml,59,device/google/atv,libraries/BluetoothServices/res
Rename your connected device,values/strings.xml,78,Hernoem jou gekoppelde toestel,values-af/strings.xml,60,device/google/atv,libraries/BluetoothServices/res
HDMI-CEC,values/strings.xml,80,HDMI-CEC,values-af/strings.xml,61,device/google/atv,libraries/BluetoothServices/res
Enable HDMI-CEC,values/strings.xml,81,Aktiveer HDMI-CEC,values-af/strings.xml,62,device/google/atv,libraries/BluetoothServices/res
"HDMI-CEC allows you to control and automatically turn on/off other HDMI-CEC enabled devices with a single remote control.\n\nNote: Ensure HDMI-CEC is enabled on your TV and other HDMI devices. Manufacturers often have different names for HDMI-CEC, for example:",values/strings.xml,82,"HDMI-CEC maak dit vir jou moontlik om ander HDMI-CEC-geaktiveerde toestelle met 'n enkele afstandbeheerder te beheer en outomaties aan of af te skakel.\n\nLet wel: Maak seker HDMI-CEC is op jou TV en ander HDMI-toestelle geaktiveer. Vervaardigers het dikwels ander name vir HDMI-CEC, byvoorbeeld:",values-af/strings.xml,63,device/google/atv,libraries/BluetoothServices/res
Samsung: Anynet+\nLG: SimpLink\nSony: BRAVIA Sync\nPhilips: EasyLink\nSharp: Aquos Link,values/strings.xml,83,Samsung: Anynet+\nLG: SimpLink\nSony: BRAVIA Sync\nPhilips: EasyLink\nSharp: Aquos Link,values-af/strings.xml,64,device/google/atv,libraries/BluetoothServices/res
Set up remote buttons,values/strings.xml,85,Stel afstandbeheerknoppies op,values-af/strings.xml,65,device/google/atv,libraries/BluetoothServices/res
"Control volume, power, input on TVs, receivers and soundbars",values/strings.xml,86,"Beheer volume, krag, invoer op TV's, ontvangers en klankbalke",values-af/strings.xml,66,device/google/atv,libraries/BluetoothServices/res
Battery level: %1$s,values/strings.xml,88,Batteryvlak: %1$s,values-af/strings.xml,67,device/google/atv,libraries/BluetoothServices/res
Accessories,values/strings.xml,89,Bykomstighede,values-af/strings.xml,68,device/google/atv,libraries/BluetoothServices/res
Remote Control,values/strings.xml,91,Afstandbeheer,values-af/strings.xml,69,device/google/atv,libraries/BluetoothServices/res
Connected,values/strings.xml,92,Gekoppel,values-af/strings.xml,70,device/google/atv,libraries/BluetoothServices/res
Previously connected,values/strings.xml,93,Voorheen gekoppel,values-af/strings.xml,71,device/google/atv,libraries/BluetoothServices/res
Pair remote or accessory,values/strings.xml,95,Bind afstandbeheerder of bykomstigheid saam,values-af/strings.xml,72,device/google/atv,libraries/BluetoothServices/res
Disconnect,values/strings.xml,97,Ontkoppel,values-af/strings.xml,73,device/google/atv,libraries/BluetoothServices/res
Connect,values/strings.xml,98,Koppel,values-af/strings.xml,74,device/google/atv,libraries/BluetoothServices/res
Rename,values/strings.xml,99,Hernoem,values-af/strings.xml,75,device/google/atv,libraries/BluetoothServices/res
Forget,values/strings.xml,100,Vergeet,values-af/strings.xml,76,device/google/atv,libraries/BluetoothServices/res
Connected,values/strings.xml,103,Gekoppel,values-af/strings.xml,77,device/google/atv,libraries/BluetoothServices/res
Disconnected,values/strings.xml,105,Ontkoppel,values-af/strings.xml,78,device/google/atv,libraries/BluetoothServices/res
Device control,values/strings.xml,107,Toestelbeheer,values-af/strings.xml,79,device/google/atv,libraries/BluetoothServices/res
Connect new device,values/strings.xml,109,Koppel nuwe toestel,values-af/strings.xml,80,device/google/atv,libraries/BluetoothServices/res
"Before connecting new Bluetooth devices, make sure they're in pairing mode. To connect %1$s, press and hold %2$s + %3$s for 3 seconds.",values/strings.xml,110,"Voordat jy nuwe Bluetooth-toestelle koppel, maak seker hulle is in saambindmodus. Druk en hou %2$s + %3$s vir 3 sekondes om %1$s te koppel.",values-af/strings.xml,81,device/google/atv,libraries/BluetoothServices/res
an Android TV remote,values/strings.xml,111,'n Android TV-afstandbeheerder,values-af/strings.xml,82,device/google/atv,libraries/BluetoothServices/res
Available devices,values/strings.xml,112,Beskikbare toestelle,values-af/strings.xml,83,device/google/atv,libraries/BluetoothServices/res
Looking for devices…,values/strings.xml,113,Soek tans na toestelle …,values-af/strings.xml,84,device/google/atv,libraries/BluetoothServices/res
Error,values/strings.xml,114,Fout,values-af/strings.xml,85,device/google/atv,libraries/BluetoothServices/res
Connecting…,values/strings.xml,115,Koppel tans …,values-af/strings.xml,86,device/google/atv,libraries/BluetoothServices/res
Connected,values/strings.xml,116,Gekoppel,values-af/strings.xml,87,device/google/atv,libraries/BluetoothServices/res
Cancelled,values/strings.xml,117,Gekanselleer,values-af/strings.xml,88,device/google/atv,libraries/BluetoothServices/res
%1$s failed to connect,values/strings.xml,119,%1$s kon nie koppel nie,values-af/strings.xml,89,device/google/atv,libraries/BluetoothServices/res
%1$s connected,values/strings.xml,120,%1$s is gekoppel,values-af/strings.xml,90,device/google/atv,libraries/BluetoothServices/res
%1$s disconnected,values/strings.xml,121,%1$s is ontkoppel,values-af/strings.xml,91,device/google/atv,libraries/BluetoothServices/res
" You have held both the back and down buttons for three seconds to use %1$s.\n\n To enable %1$s now, hold the back and down buttons for three seconds again. Use this shortcut anytime to enable or disable %1$s.\n\n You can adjust your preferences in Settings > System > Accessibility. ",values/strings.xml,21,Jy het die terug- en afknoppie albei drie sekondes lank gehou om %1$s te gebruik.\n\n Hou die terug- en afknoppie weer drie sekondes lank om %1$s nou te aktiveer. Gebruik hierdie kortpad enige tyd om %1$s te aktiveer of te deaktiveer.\n\n Jy kan jou voorkeure in Instellings > Stelsel >. Toeganklikheid verstel.,values-af/strings.xml,19,device/google/atv,overlay/TvFrameworkOverlay/res
" When the shortcut is on, pressing both the back and down buttons for 3 seconds will start an accessibility feature.\n\n Current accessibility feature:\n %1$s\n\n You can change the feature in Settings > Accessibility. ",values/strings.xml,35,"Wanneer die kortpad aan is, kan jy sowel die terug- as afknoppie 3 sekondes lank druk om 'n toeganklikheidskenmerk te begin.\n\n Huidige toeganklikheidskenmerk:\n %1$s\n\n Jy kan die kenmerk in Instellings > Toeganklikheid verander.",values-af/strings.xml,20,device/google/atv,overlay/TvFrameworkOverlay/res
 Held back and down buttons. %1$s turned on. ,values/strings.xml,44,Het terug- en afknoppie gehou. %1$s is aangeskakel.,values-af/strings.xml,21,device/google/atv,overlay/TvFrameworkOverlay/res
 Held back and down buttons. %1$s turned off. ,values/strings.xml,51,Het terug- en afknoppie gehou. %1$s is afgeskakel,values-af/strings.xml,22,device/google/atv,overlay/TvFrameworkOverlay/res
" You have held both the back and down buttons for three seconds to use %1$s. To enable %1$s now, hold the back and down buttons for three seconds again. Use this shortcut anytime to enable or disable %1$s. ",values/strings.xml,60,Jy het die terug- en afknoppie albei drie sekondes lank gehou om %1$s te gebruik. Hou die terug- en afknoppie weer drie sekondes lank om %1$s nou te aktiveer. Gebruik hierdie kortpad enige tyd om %1$s te aktiveer of te deaktiveer.,values-af/strings.xml,23,device/google/atv,overlay/TvFrameworkOverlay/res
" You have held both the back and down buttons for three seconds to use %1$s.\n\n To enable %1$s now, hold the back and down buttons for three seconds again.\n Use this shortcut anytime to enable or disable %1$s.\n\n You can adjust your preferences in Settings > System > Accessibility. ",values/strings.xml,72,Jy het die terug- en afknoppie albei drie sekondes lank gehou om %1$s te gebruik.\n\n Hou die terug- en afknoppie weer drie sekondes lank om %1$s nou te aktiveer.\n Gebruik hierdie kortpad enige tyd om %1$s te aktiveer of te deaktiveer.\n\n Jy kan jou voorkeure in Instellings > Stelsel > Toeganklikheid verstel.,values-af/strings.xml,24,device/google/atv,overlay/TvFrameworkOverlay/res
Not now,values/strings.xml,85,Nie nou nie,values-af/strings.xml,25,device/google/atv,overlay/TvFrameworkOverlay/res
Turn on now,values/strings.xml,89,Skakel nou aan,values-af/strings.xml,26,device/google/atv,overlay/TvFrameworkOverlay/res
Sprint,values/strings.xml,19,Sprint,values-af/strings.xml,20,device/google/gs101,overlay-vendor/vendor/google/apps/SetupWizard/res
"The SIM card tray is located on the bottom left edge of your phone.\n\nUse the SIM ejection tool that comes with your phone to eject the tray and insert a nano SIM card.\n\nOnce you insert your SIM card, it may take a few seconds to activate.",values/strings.xml,22,"Die SIM-kaartlaai is links onder aan die kant van jou foon.\n\nGebruik die SIM-uithaalnutsding wat jy saam met jou foon gekry het om die laai uit te haal en 'n nano-SIM-kaart in te sit.\n\nNadat jy jou SIM-kaart ingesit het, kan dit 'n paar sekondes neem om dit te aktiveer.",values-af/strings.xml,21,device/google/gs101,overlay-vendor/vendor/google/apps/SetupWizard/res
B,values/strings.xml,22,B,values-af/strings.xml,23,frameworks/base,core/res/res
