Installing system update,values/strings.xml,17,جارٍ تثبيت تحديث النظام,values-ar/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,جارٍ محو البيانات,values-ar/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,ليس هناك أي أمر,values-ar/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,خطأ!,values-ar/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,جارٍ تثبيت تحديث الأمان,values-ar/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,‏يتعذَّر تحميل نظام Android، حيث قد تكون بياناتك تالفة. وإذا استمر ظهور هذه الرسالة، قد يتعيَّن عليك إجراء إعادة الضبط على الإعدادات الأصلية ومحو جميع بيانات المستخدم المُخزَّنة على هذا الجهاز.,values-ar/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,إعادة المحاولة,values-ar/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,إعادة الضبط على الإعدادات الأصلية,values-ar/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,هل تريد حجب كل بيانات المستخدم؟\n\n لا يمكن التراجع عن هذا الإجراء.,values-ar/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,إلغاء,values-ar/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Fallback,values-ar/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,إجراء غير متاح,values-ar/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,هذا الإجراء غير متاح حاليًا.,values-ar/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,الإعدادات المفضلة لمحرِّك ANGLE,values-ar/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,"تعديل إعدادات ""محرِّك ANGLE""",values-ar/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,عام,values-ar/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,"استخدام ""محرِّك ANGLE"" لجميع التطبيقات",values-ar/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,"عرض مربع حوار عند تحميل ""محرِّك ANGLE""",values-ar/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,اختيار برنامج تشغيل OpenGL,values-ar/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,محرِّك angle، ‏opengl، رسومات,values-ar/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,باستخدام ANGLE,values-ar/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,لا تتوفر أي تطبيقات,values-ar/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,ليس هناك أي تطبيقات مثبتة يمكنها استخدام ANGLE,values-ar/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Activity Stub,values/strings.xml,5,Activity Stub,values-ar/strings.xml,4,device/google/atv,FrameworkPackageStubs/res
You don't have an app that can do this,values/strings.xml,8,ليس لديك تطبيق يمكنه تنفيذ هذا الإجراء.,values-ar/strings.xml,5,device/google/atv,FrameworkPackageStubs/res
None,values/strings.xml,11,غير محدّد,values-ar/strings.xml,6,device/google/atv,FrameworkPackageStubs/res
N/A,values/strings.xml,19,لا ينطبق,values-ar/strings.xml,19,device/google/atv,libraries/BluetoothServices/res
Critical,values/strings.xml,20,حرج,values-ar/strings.xml,20,device/google/atv,libraries/BluetoothServices/res
Low,values/strings.xml,21,منخفض,values-ar/strings.xml,21,device/google/atv,libraries/BluetoothServices/res
Good,values/strings.xml,22,جيد,values-ar/strings.xml,22,device/google/atv,libraries/BluetoothServices/res
Confirm remote update,values/strings.xml,24,تأكيد تحديث جهاز التحكم عن بُعد,values-ar/strings.xml,23,device/google/atv,libraries/BluetoothServices/res
During the update your remote may briefly disconnect.,values/strings.xml,25,أثناء التحديث، قد يتم فصل جهاز التحكم عن بُعد لفترة وجيزة.,values-ar/strings.xml,24,device/google/atv,libraries/BluetoothServices/res
Continue,values/strings.xml,27,متابعة,values-ar/strings.xml,25,device/google/atv,libraries/BluetoothServices/res
Cancel,values/strings.xml,28,إلغاء,values-ar/strings.xml,26,device/google/atv,libraries/BluetoothServices/res
Remote update,values/strings.xml,30,تحديث جهاز التحكم عن بُعد,values-ar/strings.xml,27,device/google/atv,libraries/BluetoothServices/res
New software available,values/strings.xml,31,يتوفر برنامج جديد.,values-ar/strings.xml,28,device/google/atv,libraries/BluetoothServices/res
Update available,values/strings.xml,32,هناك تحديث متوفّر.,values-ar/strings.xml,29,device/google/atv,libraries/BluetoothServices/res
