Installing system update,values/strings.xml,17,আপডেইট ইনষ্টল কৰি থকা হৈছে,values-as/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,মচি থকা হৈছে,values-as/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,কোনো আদেশ নাই,values-as/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,ত্ৰুটি!,values-as/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,সুৰক্ষা আপডেইট ইনষ্টল কৰি থকা হৈছে,values-as/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Android ছিষ্টেম ল'ড কৰিব নোৱাৰি। আপোনাৰ ডেটাত কিবা আসোঁৱাহ থকা যেন লাগিছে। আপুনি যদি এই বাৰ্তাটো পায়েই থাকে, আপুনি নিজৰ ডিভাইচটো ফেক্টৰী ডেটা ৰিছেট কৰি সেইটোত থকা ব্যৱহাৰকাৰীৰ আটাইবোৰ ডেটা মচিব লগা হ'ব পাৰে।",values-as/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,আকৌ চেষ্টা কৰক,values-as/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,ফেক্টৰী ডেটা ৰিছেট,values-as/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,ব্যৱহাৰকাৰীৰ আটাইবোৰ ডেটা মচিবনে?\n\n এইটো কৰাৰ পাছত আনডু কৰিব নোৱাৰি!,values-as/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,বাতিল কৰক,values-as/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,ফলবেক,values-as/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,এই কাৰ্যটো কৰিব নোৱাৰি,values-as/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,বৰ্তমান সেই কাৰ্যটো কৰিব নোৱাৰি,values-as/strings.xml,21,development,apps/Fallback/res
