Installing system update,values/strings.xml,17,Усталёўка абнаўлення сістэмы,values-be/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Сціранне,values-be/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Няма каманды,values-be/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Памылка,values-be/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Усталёўка абнаўлення сістэмы бяспекі,values-be/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Не ўдалося загрузіць сістэму Android. Магчыма, вашы даныя пашкоджаны. Калі вы зноў убачыце гэта паведамленне, скіньце налады прылады да заводскіх значэнняў і сатрыце ўсе карыстальніцкія даныя, якія на ёй захоўваюцца.",values-be/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Паўтарыць спробу,values-be/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Скінуць да заводскіх налад,values-be/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Ачысціць усе карыстальніцкія даныя?\n\n ГЭТА ДЗЕЯННЕ НЕЛЬГА АДРАБІЦЬ!,values-be/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Скасаваць,values-be/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Дапаможны,values-be/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,"Дзеянні, якія не падрымліваюцца",values-be/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Гэтае дзеянне зараз не падтрымліваецца.,values-be/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Налады ANGLE,values-be/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Змена налад ANGLE,values-be/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Агульныя,values-be/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Выкарыстоўваць ANGLE для ўсіх праграм,values-be/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,Паказваць дыялогавае акно пры загрузцы ANGLE,values-be/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,Выберыце драйвер OpenGL,values-be/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, графіка",values-be/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Выкарыстоўваецца ANGLE,values-be/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,Няма даступных праграм,values-be/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,"Праграмы, якія могуць выкарыстоўваць ANGLE, не ўсталяваны",values-be/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
" When the shortcut is on, pressing both the back and down buttons for 3 seconds will start an accessibility feature.\n\n Current accessibility feature:\n %1$s\n\n You can change the feature in Settings > Accessibility. ",values/strings.xml,22,"Калі гэта функцыя ўключана, вы можаце актываваць спецыяльныя магчымасці, утрымліваючы кнопкі ""Назад"" і ""Уніз"" на працягу 3 секунд.\n\n Бягучая функцыя спецыяльных магчымасцей:\n %1$s\n\n Вы можаце змяніць гэту функцыю ў меню ""Налады > Спецыяльныя магчымасці"".",values-be/strings.xml,19,device/google/atv,overlay/frameworks/base/core/res/res
com.google.android.tv.remote.service,values/config.xml,27,com.google.android.tv.remote.service,values-be/config.xml,20,device/google/atv,overlay/frameworks/base/packages/SystemUI/res
com.google.android.apps.mediashell,values/config.xml,28,com.google.android.apps.mediashell,values-be/config.xml,21,device/google/atv,overlay/frameworks/base/packages/SystemUI/res
Hide,values/strings.xml,20,Схаваць,values-be/strings.xml,20,device/google/crosshatch,crosshatch/overlay/packages/apps/overlays/NoCutoutOverlay/res
B,values/strings.xml,22,Б,values-be/strings.xml,23,frameworks/base,core/res/res
kB,values/strings.xml,26,КБ,values-be/strings.xml,24,frameworks/base,core/res/res
MB,values/strings.xml,28,МБ,values-be/strings.xml,25,frameworks/base,core/res/res
GB,values/strings.xml,30,ГБ,values-be/strings.xml,26,frameworks/base,core/res/res
TB,values/strings.xml,32,Тб,values-be/strings.xml,27,frameworks/base,core/res/res
PB,values/strings.xml,34,Пб,values-be/strings.xml,28,frameworks/base,core/res/res
%1$s %2$s,values/strings.xml,39,%1$s %2$s,values-be/strings.xml,29,frameworks/base,core/res/res
<Untitled>,values/strings.xml,43,<Без назвы>,values-be/strings.xml,30,frameworks/base,core/res/res
(No phone number),values/strings.xml,46,(Няма нумара тэлефона),values-be/strings.xml,31,frameworks/base,core/res/res
Unknown,values/strings.xml,49,Невядома,values-be/strings.xml,32,frameworks/base,core/res/res
Voicemail,values/strings.xml,52,Галасавая пошта,values-be/strings.xml,33,frameworks/base,core/res/res
MSISDN1,values/strings.xml,55,MSISDN1,values-be/strings.xml,34,frameworks/base,core/res/res
Connection problem or invalid MMI code.,values/strings.xml,60,Праблема падлучэння ці няправільны код MMI.,values-be/strings.xml,35,frameworks/base,core/res/res
Operation is restricted to fixed dialing numbers only.,values/strings.xml,63,Выкарыстанне абмежаванае толькі дазволенымі нумарамі.,values-be/strings.xml,36,frameworks/base,core/res/res
Can not change call forwarding settings from your phone while you are roaming.,values/strings.xml,65,"Немагчыма змяніць налады пераадрасацыі выклікаў з тэлефона, пакуль вы знаходзіцеся ў роўмінгу.",values-be/strings.xml,37,frameworks/base,core/res/res
Service was enabled.,values/strings.xml,68,Служба была ўключана.,values-be/strings.xml,38,frameworks/base,core/res/res
Service was enabled for:,values/strings.xml,71,Служба была ўключана для:,values-be/strings.xml,39,frameworks/base,core/res/res
Service has been disabled.,values/strings.xml,73,Служба была адключаная.,values-be/strings.xml,40,frameworks/base,core/res/res
Registration was successful.,values/strings.xml,75,Рэгістрацыя прайшла паспяхова.,values-be/strings.xml,41,frameworks/base,core/res/res
Erasure was successful.,values/strings.xml,77,Паспяхова выдалена.,values-be/strings.xml,42,frameworks/base,core/res/res
Incorrect password.,values/strings.xml,79,Няправільны пароль.,values-be/strings.xml,43,frameworks/base,core/res/res
MMI complete.,values/strings.xml,81,MMI завершаны.,values-be/strings.xml,44,frameworks/base,core/res/res
The old PIN you typed isn't correct.,values/strings.xml,83,Стары PIN-код уведзены няправільна.,values-be/strings.xml,45,frameworks/base,core/res/res
The PUK you typed isn't correct.,values/strings.xml,85,Няправільны PUK-код.,values-be/strings.xml,46,frameworks/base,core/res/res
The PINs you typed don't match.,values/strings.xml,87,Уведзеныя PIN-коды не супадаюць.,values-be/strings.xml,47,frameworks/base,core/res/res
Type a PIN that is 4 to 8 numbers.,values/strings.xml,89,"Увядзіце PIN-код, які змяшчае ад 4 да 8 лічбаў.",values-be/strings.xml,48,frameworks/base,core/res/res
Type a PUK that is 8 numbers or longer.,values/strings.xml,91,Увядзіце PUK з 8 лічбаў ці больш.,values-be/strings.xml,49,frameworks/base,core/res/res
Your SIM card is PUK-locked. Type the PUK code to unlock it.,values/strings.xml,94,"Ваша SIM-карта заблакавана PUK-кодам. Увядзіце PUK, каб разблакаваць карту.",values-be/strings.xml,50,frameworks/base,core/res/res
Type PUK2 to unblock SIM card.,values/strings.xml,95,Увядзіце PUK2 для разблакавання SIM-карты.,values-be/strings.xml,51,frameworks/base,core/res/res
"Unsuccessful, enable SIM/RUIM Lock.",values/strings.xml,97,"Не атрымалася, уключыце блакіроўку SIM/RUIM.",values-be/strings.xml,52,frameworks/base,core/res/res
You have %d remaining attempt before SIM is locked.,values/strings.xml,100,"У вас засталася %d спроба перад тым, як SIM-карта будзе заблакіравана.",values-be/strings.xml,54,frameworks/base,core/res/res
You have %d remaining attempts before SIM is locked.,values/strings.xml,101,"У вас засталося %d спробы перад тым, як SIM-карта будзе заблакіравана.",values-be/strings.xml,55,frameworks/base,core/res/res
You have %d remaining attempts before SIM is locked.,values/strings.xml,101,"У вас засталося %d спроб перад тым, як SIM-карта будзе заблакіравана.",values-be/strings.xml,56,frameworks/base,core/res/res
You have %d remaining attempts before SIM is locked.,values/strings.xml,101,"У вас засталося %d спробы перад тым, як SIM-карта будзе заблакіравана.",values-be/strings.xml,57,frameworks/base,core/res/res
IMEI,values/strings.xml,104,IMEI,values-be/strings.xml,59,frameworks/base,core/res/res
MEID,values/strings.xml,108,MEID,values-be/strings.xml,60,frameworks/base,core/res/res
Incoming Caller ID,values/strings.xml,111,Ідэнтыфікатар АВН,values-be/strings.xml,61,frameworks/base,core/res/res
Outgoing Caller ID,values/strings.xml,113,Ідэнтыфікатар АВН,values-be/strings.xml,62,frameworks/base,core/res/res
Connected Line ID,values/strings.xml,115,Ідэнтыфікатар падлучанай лініі,values-be/strings.xml,63,frameworks/base,core/res/res
Connected Line ID Restriction,values/strings.xml,117,Абмежаванне ідэнтыфікатара падлучанай лініі,values-be/strings.xml,64,frameworks/base,core/res/res
Call forwarding,values/strings.xml,119,Пераадрасацыя выкліку,values-be/strings.xml,65,frameworks/base,core/res/res
Call waiting,values/strings.xml,121,Чаканне выкліку,values-be/strings.xml,66,frameworks/base,core/res/res
Call barring,values/strings.xml,123,Забарона выкліку,values-be/strings.xml,67,frameworks/base,core/res/res
Password change,values/strings.xml,125,Змена пароля,values-be/strings.xml,68,frameworks/base,core/res/res
PIN change,values/strings.xml,127,Змена PIN-коду,values-be/strings.xml,69,frameworks/base,core/res/res
Calling number present,values/strings.xml,128,Цяперашні нумар выкліку,values-be/strings.xml,70,frameworks/base,core/res/res
Calling number restricted,values/strings.xml,129,Нумар выкліку абмежаваны,values-be/strings.xml,71,frameworks/base,core/res/res
Three way calling,values/strings.xml,130,Трохбаковы выклік,values-be/strings.xml,72,frameworks/base,core/res/res
Rejection of undesired annoying calls,values/strings.xml,131,Адмова ад непажаданых раздражняючых выклікаў,values-be/strings.xml,73,frameworks/base,core/res/res
Calling number delivery,values/strings.xml,132,Дастаўка нумару выкліку,values-be/strings.xml,74,frameworks/base,core/res/res
Do not disturb,values/strings.xml,133,Не турбаваць,values-be/strings.xml,75,frameworks/base,core/res/res
Caller ID defaults to restricted. Next call: Restricted,values/strings.xml,136,Налады ідэнтыфікатару АВН па змаўчанні абмежаваныя. Наступны выклік: абмежавана,values-be/strings.xml,76,frameworks/base,core/res/res
Caller ID defaults to restricted. Next call: Not restricted,values/strings.xml,138,Ідэнтыфікатар АВН па змаўчанні абмежаваны. Наступны выклік: не абмежавана,values-be/strings.xml,77,frameworks/base,core/res/res
Caller ID defaults to not restricted. Next call: Restricted,values/strings.xml,140,Па змаўчанні ідэнтыфікатар АВН не абмежаваны. Наступны выклік: абмежаваны,values-be/strings.xml,78,frameworks/base,core/res/res
Caller ID defaults to not restricted. Next call: Not restricted,values/strings.xml,142,Налады ідэнтыфікатару АВН па змаўчанні: не абмяжавана. Наступны выклік: не абмежавана,values-be/strings.xml,79,frameworks/base,core/res/res
Service not provisioned.,values/strings.xml,146,Служба не прадастаўляецца.,values-be/strings.xml,80,frameworks/base,core/res/res
You can't change the caller ID setting.,values/strings.xml,148,"Вы не можаце змяніць налады ідэнтыфікатара абанента, якi тэлефануе.",values-be/strings.xml,81,frameworks/base,core/res/res
No mobile data service,values/strings.xml,151,Мабільная перадача даных недаступная,values-be/strings.xml,82,frameworks/base,core/res/res
Emergency calling unavailable,values/strings.xml,153,Экстранныя выклікі недаступныя,values-be/strings.xml,83,frameworks/base,core/res/res
No voice service,values/strings.xml,155,Няма сэрвісу галасавых выклікаў,values-be/strings.xml,84,frameworks/base,core/res/res
No voice service or emergency calling,values/strings.xml,157,Галасавыя або экстранныя выклікі недаступныя,values-be/strings.xml,85,frameworks/base,core/res/res
Temporarily turned off by your carrier,values/strings.xml,160,Часова выключана аператарам сувязі,values-be/strings.xml,86,frameworks/base,core/res/res
Temporarily turned off by your carrier for SIM %d,values/strings.xml,163,Часова адключана для SIM %d аператарам сувязі,values-be/strings.xml,87,frameworks/base,core/res/res
Can\u2019t reach mobile network,values/strings.xml,166,Сетка мабільнай сувязі недаступная,values-be/strings.xml,88,frameworks/base,core/res/res
Try changing preferred network. Tap to change.,values/strings.xml,168,"Націсніце, каб выбраць іншую сетку.",values-be/strings.xml,89,frameworks/base,core/res/res
Emergency calling unavailable,values/strings.xml,170,Экстранныя выклікі недаступныя,values-be/strings.xml,90,frameworks/base,core/res/res
Can\u2019t make emergency calls over Wi\u2011Fi,values/strings.xml,172,Экстранныя выклікі ў сетцы Wi‑Fi недаступныя,values-be/strings.xml,91,frameworks/base,core/res/res
Alerts,values/strings.xml,175,Абвесткі,values-be/strings.xml,92,frameworks/base,core/res/res
Call forwarding,values/strings.xml,177,Пераадрасацыя выкліку,values-be/strings.xml,93,frameworks/base,core/res/res
Emergency callback mode,values/strings.xml,179,Рэжым экстранных зваротных выклікаў,values-be/strings.xml,94,frameworks/base,core/res/res
Mobile data status,values/strings.xml,181,Стан мабільнай перадачы даных,values-be/strings.xml,95,frameworks/base,core/res/res
SMS messages,values/strings.xml,183,SMS-паведамленні,values-be/strings.xml,96,frameworks/base,core/res/res
Voicemail messages,values/strings.xml,185,Паведамленні галасавой пошты,values-be/strings.xml,97,frameworks/base,core/res/res
Wi-Fi calling,values/strings.xml,187,Wi-Fi-тэлефанія,values-be/strings.xml,98,frameworks/base,core/res/res
SIM status,values/strings.xml,189,Статус SIM-карты,values-be/strings.xml,99,frameworks/base,core/res/res
