Installing system update,values/strings.xml,17,Ažuriranje sistema…,values-bs/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Brisanje u toku,values-bs/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Nema komande,values-bs/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Greška!,values-bs/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Instaliranje sigurnosnog ažuriranja…,values-bs/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Nije moguće učitati Android sistem. Podaci su možda oštećeni. Ako opet primite ovu poruku, možda ćete morati vratiti uređaj na fabričke postavke i izbrisati sve podatke korisnika pohranjene na ovom uređaju.",values-bs/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Pokušaj ponovo,values-bs/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Vraćanje na fabričke postavke,values-bs/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Izbrisati sve podatke korisnika?\n\n TA RADNJA SE NE MOŽE PONIŠTITI!,values-bs/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Otkaži,values-bs/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Rezerva,values-bs/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Nepodržana akcija,values-bs/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Ta akcija trenutno nije podržana.,values-bs/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Postavke za ANGLE,values-bs/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Izmijenite postavke za ANGLE,values-bs/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Općenito,values-bs/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
