Installing system update,values/strings.xml,17,Instalace aktualizace systému,values-cs/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Mazání,values-cs/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Žádný příkaz,values-cs/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Chyba!,values-cs/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Instalace aktualizace zabezpečení,values-cs/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Systém Android se nepodařilo načíst. Vaše data jsou možná poškozena. Pokud se tato zpráva bude zobrazovat i nadále, bude nutné vymazat všechna uživatelská data v zařízení a obnovit tovární data.",values-cs/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Zkusit znovu,values-cs/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Obnovení továrních dat,values-cs/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Vymazat všechna uživatelská data?\n\nTUTO AKCI NELZE VRÁTIT ZPĚT!,values-cs/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Zrušit,values-cs/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Záloha,values-cs/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Akce není podporována,values-cs/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Tato akce není momentálně podporována.,values-cs/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Předvolby ANGLE,values-cs/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Upravit nastavení ANGLE,values-cs/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Obecné,values-cs/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Používat ANGLE pro všechny aplikace,values-cs/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,Zobrazit dialogové okno při načtení ANGLE,values-cs/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,Vyberte ovladač OpenGL,values-cs/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, grafika",values-cs/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Používá se aplikace ANGLE,values-cs/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,K dispozici nejsou žádné aplikace,values-cs/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,Funkci ANGLE nedokáže používat žádná nainstalovaná aplikace,values-cs/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Activity Stub,values/strings.xml,5,Testovací kód aktivity,values-cs/strings.xml,4,device/google/atv,FrameworkPackageStubs/res
You don't have an app that can do this,values/strings.xml,8,"Nemáte žádnou aplikaci, která by toto mohla provést",values-cs/strings.xml,5,device/google/atv,FrameworkPackageStubs/res
None,values/strings.xml,11,Žádný,values-cs/strings.xml,6,device/google/atv,FrameworkPackageStubs/res
N/A,values/strings.xml,19,–,values-cs/strings.xml,19,device/google/atv,libraries/BluetoothServices/res
Critical,values/strings.xml,20,Kritická,values-cs/strings.xml,20,device/google/atv,libraries/BluetoothServices/res
Low,values/strings.xml,21,Nízká,values-cs/strings.xml,21,device/google/atv,libraries/BluetoothServices/res
Good,values/strings.xml,22,Dobrá,values-cs/strings.xml,22,device/google/atv,libraries/BluetoothServices/res
Confirm remote update,values/strings.xml,24,Potvrzení aktualizace dálkového ovládání,values-cs/strings.xml,23,device/google/atv,libraries/BluetoothServices/res
