Installing system update,values/strings.xml,17,Installing system update,values-en-rCA/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Erasing,values-en-rCA/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,No command,values-en-rCA/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Error!,values-en-rCA/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Installing security update,values-en-rCA/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values-en-rCA/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Try again,values-en-rCA/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Factory data reset,values-en-rCA/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Wipe all user data?\n\n THIS CANNOT BE UNDONE!,values-en-rCA/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Cancel,values-en-rCA/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Fallback,values-en-rCA/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Unsupported action,values-en-rCA/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,That action is not currently supported.,values-en-rCA/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,ANGLE Preferences,values-en-rCA/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Modify ANGLE settings,values-en-rCA/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,General,values-en-rCA/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Use ANGLE for all apps,values-en-rCA/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,Show dialogue box when ANGLE is loaded,values-en-rCA/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,Select OpenGL Driver,values-en-rCA/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, graphics",values-en-rCA/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Using ANGLE,values-en-rCA/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,No available apps,values-en-rCA/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,No apps installed that can use ANGLE,values-en-rCA/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Activity Stub,values/strings.xml,5,Activity stub,values-en-rCA/strings.xml,4,device/google/atv,FrameworkPackageStubs/res
You don't have an app that can do this,values/strings.xml,8,You don't have an app that can do this,values-en-rCA/strings.xml,5,device/google/atv,FrameworkPackageStubs/res
None,values/strings.xml,11,None,values-en-rCA/strings.xml,6,device/google/atv,FrameworkPackageStubs/res
N/A,values/strings.xml,19,N/A,values-en-rCA/strings.xml,19,device/google/atv,libraries/BluetoothServices/res
Critical,values/strings.xml,20,Critical,values-en-rCA/strings.xml,20,device/google/atv,libraries/BluetoothServices/res
Low,values/strings.xml,21,Low,values-en-rCA/strings.xml,21,device/google/atv,libraries/BluetoothServices/res
Good,values/strings.xml,22,Good,values-en-rCA/strings.xml,22,device/google/atv,libraries/BluetoothServices/res
Confirm remote update,values/strings.xml,24,Confirm remote update,values-en-rCA/strings.xml,23,device/google/atv,libraries/BluetoothServices/res
During the update your remote may briefly disconnect.,values/strings.xml,25,During the update your remote may briefly disconnect.,values-en-rCA/strings.xml,24,device/google/atv,libraries/BluetoothServices/res
Continue,values/strings.xml,27,Continue,values-en-rCA/strings.xml,25,device/google/atv,libraries/BluetoothServices/res
Cancel,values/strings.xml,28,Cancel,values-en-rCA/strings.xml,26,device/google/atv,libraries/BluetoothServices/res
Remote update,values/strings.xml,30,Remote update,values-en-rCA/strings.xml,27,device/google/atv,libraries/BluetoothServices/res
New software available,values/strings.xml,31,New software available,values-en-rCA/strings.xml,28,device/google/atv,libraries/BluetoothServices/res
Update available,values/strings.xml,32,Update available,values-en-rCA/strings.xml,29,device/google/atv,libraries/BluetoothServices/res
Remote is up to date,values/strings.xml,33,Remote is up to date,values-en-rCA/strings.xml,30,device/google/atv,libraries/BluetoothServices/res
Remote update failed,values/strings.xml,34,Remote update failed,values-en-rCA/strings.xml,31,device/google/atv,libraries/BluetoothServices/res
We experienced an issue while updating your remote. Please try again.,values/strings.xml,35,We experienced an issue while updating your remote. Please try again.,values-en-rCA/strings.xml,32,device/google/atv,libraries/BluetoothServices/res
Please wait,values/strings.xml,36,Please wait,values-en-rCA/strings.xml,33,device/google/atv,libraries/BluetoothServices/res
Pair your remote again,values/strings.xml,37,Pair your remote again,values-en-rCA/strings.xml,34,device/google/atv,libraries/BluetoothServices/res
