Installing system update,values/strings.xml,17,Süsteemivärskenduse installimine,values-et/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Kustutamine,values-et/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Käsk puudub,values-et/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Viga!,values-et/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Turvavärskenduse installimine,values-et/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Android-süsteemi ei saa laadida. Teie andmed on võib-olla rikutud. Kui jätkate selle sõnumi hankimist, peate võib-olla tegema tehaseandmetele lähtestamise ja kustutama kõik sellesse seadmesse salvestatud kasutajaandmed.",values-et/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Proovige uuesti,values-et/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Tehaseandmetele lähtestamine,values-et/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Kas kustutada kõik kasutajaandmed?\n\n SEDA TOIMINGUT EI SAA TAGASI VÕTTA!,values-et/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Tühista,values-et/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Taandepilt,values-et/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Toetuseta toiming,values-et/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Seda toimingut praegu ei toetata.,values-et/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Rakenduse ANGLE eelistused,values-et/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Rakenduse ANGLE seadete muutmine,values-et/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Üldine,values-et/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Kasuta kõigi rakenduste puhul rakendust ANGLE,values-et/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,"Kuva dialoogiboks, kui ANGLE on laaditud",values-et/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,OpenGL-i draiveri valimine,values-et/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
