Installing system update,values/strings.xml,17,Instalando actualización do sistema,values-gl/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Borrando,values-gl/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Non hai ningún comando,values-gl/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Erro,values-gl/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Instalando actualización de seguranza,values-gl/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Non se puido cargar o sistema Android. Os teus datos poden estar danados. Se segue aparecendo esta mensaxe, pode ser necesario restablecer os datos de fábrica e borrar todos os datos do usuario almacenados neste dispositivo.",values-gl/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Tentar de novo,values-gl/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Restablecemento dos datos de fábrica,values-gl/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Queres borrar todos os datos do usuario?\n\n ESTA ACCIÓN NON SE PODE DESFACER.,values-gl/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Cancelar,values-gl/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Fallback,values-gl/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Acción non admitida,values-gl/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Actualmente non se admite esa acción.,values-gl/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Preferencias de ANGLE,values-gl/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Modifica a configuración de ANGLE,values-gl/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Xeral,values-gl/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Utilizar ANGLE para todas as aplicacións,values-gl/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,Mostrar caixa de diálogo cando se cargue ANGLE,values-gl/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,Seleccionar controlador de OpenGL,values-gl/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, gráficos",values-gl/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Usando ANGLE,values-gl/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,Non hai ningunha aplicación dispoñible,values-gl/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,Non hay ningunha aplicación instalada que poida utilizar ANGLE,values-gl/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Activity Stub,values/strings.xml,5,Stub de actividade,values-gl/strings.xml,4,device/google/atv,FrameworkPackageStubs/res
You don't have an app that can do this,values/strings.xml,8,Non tes ningunha aplicación que poida realizar esta acción,values-gl/strings.xml,5,device/google/atv,FrameworkPackageStubs/res
None,values/strings.xml,11,Ningún,values-gl/strings.xml,6,device/google/atv,FrameworkPackageStubs/res
N/A,values/strings.xml,19,Non dispoñible,values-gl/strings.xml,19,device/google/atv,libraries/BluetoothServices/res
Critical,values/strings.xml,20,Mínimo,values-gl/strings.xml,20,device/google/atv,libraries/BluetoothServices/res
Low,values/strings.xml,21,Baixo,values-gl/strings.xml,21,device/google/atv,libraries/BluetoothServices/res
Good,values/strings.xml,22,Bo,values-gl/strings.xml,22,device/google/atv,libraries/BluetoothServices/res
Confirm remote update,values/strings.xml,24,Confirma a actualización do mando a distancia,values-gl/strings.xml,23,device/google/atv,libraries/BluetoothServices/res
During the update your remote may briefly disconnect.,values/strings.xml,25,"Durante a actualización, o mando a distancia pode desconectarse un intre.",values-gl/strings.xml,24,device/google/atv,libraries/BluetoothServices/res
Continue,values/strings.xml,27,Continuar,values-gl/strings.xml,25,device/google/atv,libraries/BluetoothServices/res
Cancel,values/strings.xml,28,Cancelar,values-gl/strings.xml,26,device/google/atv,libraries/BluetoothServices/res
Remote update,values/strings.xml,30,Actualización do mando a distancia,values-gl/strings.xml,27,device/google/atv,libraries/BluetoothServices/res
New software available,values/strings.xml,31,Hai software novo dispoñible,values-gl/strings.xml,28,device/google/atv,libraries/BluetoothServices/res
Update available,values/strings.xml,32,Hai dispoñible unha actualización,values-gl/strings.xml,29,device/google/atv,libraries/BluetoothServices/res
Remote is up to date,values/strings.xml,33,O mando a distancia está actualizado,values-gl/strings.xml,30,device/google/atv,libraries/BluetoothServices/res
Remote update failed,values/strings.xml,34,Produciuse un erro na actualización do mando a distancia,values-gl/strings.xml,31,device/google/atv,libraries/BluetoothServices/res
We experienced an issue while updating your remote. Please try again.,values/strings.xml,35,Produciuse un problema ao actualizar o mando a distancia. Téntao de novo.,values-gl/strings.xml,32,device/google/atv,libraries/BluetoothServices/res
Please wait,values/strings.xml,36,Agarda,values-gl/strings.xml,33,device/google/atv,libraries/BluetoothServices/res
Pair your remote again,values/strings.xml,37,Vincula o mando a distancia outra vez,values-gl/strings.xml,34,device/google/atv,libraries/BluetoothServices/res
Enabled,values/strings.xml,39,Activado,values-gl/strings.xml,35,device/google/atv,libraries/BluetoothServices/res
Disabled,values/strings.xml,40,Desactivado,values-gl/strings.xml,36,device/google/atv,libraries/BluetoothServices/res
Battery level,values/strings.xml,42,Nivel de batería,values-gl/strings.xml,37,device/google/atv,libraries/BluetoothServices/res
%1$d%%,values/strings.xml,44,%1$d %%,values-gl/strings.xml,38,device/google/atv,libraries/BluetoothServices/res
Firmware,values/strings.xml,45,Firmware,values-gl/strings.xml,39,device/google/atv,libraries/BluetoothServices/res
Bluetooth address,values/strings.xml,46,Enderezo Bluetooth,values-gl/strings.xml,40,device/google/atv,libraries/BluetoothServices/res
Please replace battery,values/strings.xml,48,Cambia a batería,values-gl/strings.xml,41,device/google/atv,libraries/BluetoothServices/res
Low battery,values/strings.xml,49,Pouca batería,values-gl/strings.xml,42,device/google/atv,libraries/BluetoothServices/res
Connected Devices,values/strings.xml,52,Dispositivos conectados,values-gl/strings.xml,43,device/google/atv,libraries/BluetoothServices/res
Remotes & Accessories,values/strings.xml,54,Mandos a distancia e accesorios,values-gl/strings.xml,44,device/google/atv,libraries/BluetoothServices/res
Update your remote,values/strings.xml,56,Actualiza o mando a distancia,values-gl/strings.xml,45,device/google/atv,libraries/BluetoothServices/res
Ready to install,values/strings.xml,57,Listo para instalar,values-gl/strings.xml,46,device/google/atv,libraries/BluetoothServices/res
UPDATE,values/strings.xml,58,ACTUALIZAR,values-gl/strings.xml,47,device/google/atv,libraries/BluetoothServices/res
DISMISS,values/strings.xml,59,IGNORAR,values-gl/strings.xml,48,device/google/atv,libraries/BluetoothServices/res
Remote battery low,values/strings.xml,63,Queda pouca batería remota,values-gl/strings.xml,49,device/google/atv,libraries/BluetoothServices/res
Replace battery soon,values/strings.xml,64,Substitúe a batería axiña,values-gl/strings.xml,50,device/google/atv,libraries/BluetoothServices/res
Remote battery almost empty,values/strings.xml,65,A batería remota case está esgotada,values-gl/strings.xml,51,device/google/atv,libraries/BluetoothServices/res
Replace battery soon,values/strings.xml,66,Substitúe a batería axiña,values-gl/strings.xml,52,device/google/atv,libraries/BluetoothServices/res
Remote battery empty,values/strings.xml,67,A batería remota está esgotada,values-gl/strings.xml,53,device/google/atv,libraries/BluetoothServices/res
Replace battery to use remote,values/strings.xml,68,Substitúe a batería pola remota,values-gl/strings.xml,54,device/google/atv,libraries/BluetoothServices/res
Yes,values/strings.xml,72,Si,values-gl/strings.xml,55,device/google/atv,libraries/BluetoothServices/res
No,values/strings.xml,73,Non,values-gl/strings.xml,56,device/google/atv,libraries/BluetoothServices/res
Disconnect from %1$s,values/strings.xml,75,Desconectar de %1$s,values-gl/strings.xml,57,device/google/atv,libraries/BluetoothServices/res
Connect to %1$s,values/strings.xml,76,Conectar a: %1$s,values-gl/strings.xml,58,device/google/atv,libraries/BluetoothServices/res
Forget %1$s,values/strings.xml,77,Esquecer %1$s,values-gl/strings.xml,59,device/google/atv,libraries/BluetoothServices/res
Rename your connected device,values/strings.xml,78,Cambia o nome do dispositivo conectado,values-gl/strings.xml,60,device/google/atv,libraries/BluetoothServices/res
HDMI-CEC,values/strings.xml,80,HDMI-CEC,values-gl/strings.xml,61,device/google/atv,libraries/BluetoothServices/res
Enable HDMI-CEC,values/strings.xml,81,Activar HDMI-CEC,values-gl/strings.xml,62,device/google/atv,libraries/BluetoothServices/res
"HDMI-CEC allows you to control and automatically turn on/off other HDMI-CEC enabled devices with a single remote control.\n\nNote: Ensure HDMI-CEC is enabled on your TV and other HDMI devices. Manufacturers often have different names for HDMI-CEC, for example:",values/strings.xml,82,"HDMI-CEC permíteche controlar e activar ou desactivar manualmente dispositivos habilitados con HDMI-CEC a través dun único mando a distancia.\n\nNota: Asegúrate de que a función HDMI-CEC estea activada na televisión e nos outros dispositivos HDMI. Os fabricantes adoitan chamarlle á función HDMI-CEC de diferentes formas, por exemplo:",values-gl/strings.xml,63,device/google/atv,libraries/BluetoothServices/res
Samsung: Anynet+\nLG: SimpLink\nSony: BRAVIA Sync\nPhilips: EasyLink\nSharp: Aquos Link,values/strings.xml,83,Samsung: Anynet+\nLG: SimpLink\nSony: BRAVIA Sync\nPhilips: EasyLink\nSharp: Aquos Link,values-gl/strings.xml,64,device/google/atv,libraries/BluetoothServices/res
Set up remote buttons,values/strings.xml,85,Configurar botóns do mando a distancia,values-gl/strings.xml,65,device/google/atv,libraries/BluetoothServices/res
"Control volume, power, input on TVs, receivers and soundbars",values/strings.xml,86,"Controla o volume, o acendido e a entrada nos receptores, barras de son e televisións",values-gl/strings.xml,66,device/google/atv,libraries/BluetoothServices/res
Battery level: %1$s,values/strings.xml,88,Nivel de batería: %1$s,values-gl/strings.xml,67,device/google/atv,libraries/BluetoothServices/res
Accessories,values/strings.xml,89,Accesorios,values-gl/strings.xml,68,device/google/atv,libraries/BluetoothServices/res
Remote Control,values/strings.xml,91,Mando a distancia,values-gl/strings.xml,69,device/google/atv,libraries/BluetoothServices/res
Connected,values/strings.xml,92,Conectado,values-gl/strings.xml,70,device/google/atv,libraries/BluetoothServices/res
Previously connected,values/strings.xml,93,Dispositivos conectados previamente,values-gl/strings.xml,71,device/google/atv,libraries/BluetoothServices/res
Pair remote or accessory,values/strings.xml,95,Vincular mando a distancia ou accesorio,values-gl/strings.xml,72,device/google/atv,libraries/BluetoothServices/res
Disconnect,values/strings.xml,97,Desconectar,values-gl/strings.xml,73,device/google/atv,libraries/BluetoothServices/res
Connect,values/strings.xml,98,Conectar,values-gl/strings.xml,74,device/google/atv,libraries/BluetoothServices/res
Rename,values/strings.xml,99,Cambiar nome,values-gl/strings.xml,75,device/google/atv,libraries/BluetoothServices/res
Forget,values/strings.xml,100,Esquecer,values-gl/strings.xml,76,device/google/atv,libraries/BluetoothServices/res
Connected,values/strings.xml,103,Conectado,values-gl/strings.xml,77,device/google/atv,libraries/BluetoothServices/res
Disconnected,values/strings.xml,105,Desconectado,values-gl/strings.xml,78,device/google/atv,libraries/BluetoothServices/res
Device control,values/strings.xml,107,Control do dispositivo,values-gl/strings.xml,79,device/google/atv,libraries/BluetoothServices/res
Connect new device,values/strings.xml,109,Conectar un novo dispositivo,values-gl/strings.xml,80,device/google/atv,libraries/BluetoothServices/res
