Installing system update,values/strings.xml,17,מתקין עדכון מערכת,values-iw/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,מתבצעת מחיקה,values-iw/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,אין פקודה,values-iw/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,שגיאה!,values-iw/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,התקנת עדכון אבטחה מתבצעת,values-iw/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"‏לא ניתן לטעון את מערכת Android. ייתכן שהנתונים שלך פגומים. אם הודעה זו תופיע שוב, ייתכן שיהיה עליך לבצע איפוס לנתוני היצרן ולמחוק את כל נתוני המשתמש ששמורים במכשיר זה.",values-iw/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,ניסיון נוסף,values-iw/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,איפוס לנתוני היצרן,values-iw/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,לאפס את כל נתוני המשתמש?\n\n לא ניתן לבטל פעולה זו!,values-iw/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,ביטול,values-iw/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,חלופי,values-iw/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,פעולה לא נתמכת,values-iw/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,הפעולה אינה נתמכת בשלב זה.,values-iw/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,העדפות של ANGLE,values-iw/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,שינוי של הגדרות ANGLE,values-iw/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,כללי,values-iw/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,הפעלה של ANGLE לכל האפליקציות,values-iw/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,הצגת תיבת דו-שיח כש-ANGLE נטען,values-iw/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,בחירת מנהל ההתקן ל-OpenGL,values-iw/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle,‏ opengl, גרפיקה",values-iw/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
