Installing system update,values/strings.xml,17,Instaliranje ažuriranja sustava,values-hr/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Brisanje,values-hr/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Nema naredbe,values-hr/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Pogreška!,values-hr/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Instaliranje sigurnosnog ažuriranja,values-hr/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Sustav Android ne može se učitati. Podaci su možda oštećeni. Ako opet primite ovu poruku, možda ćete morati vratiti uređaj na tvorničko stanje i izbrisati sve podatke korisnika pohranjene na ovom uređaju.",values-hr/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Pokušaj ponovo,values-hr/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Vraćanje na tvorničko stanje,values-hr/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Želite li izbrisati sve podatke korisnika?\n\n TO SE NE MOŽE PONIŠTITI!,values-hr/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Odustani,values-hr/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Pričuvna aplikacija,values-hr/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Nepodržana radnja,values-hr/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Ova radnja trenutno nije podržana.,values-hr/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Postavke za ANGLE,values-hr/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Izmijenite postavke za ANGLE,values-hr/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Općenito,values-hr/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Koristi ANGLE za sve aplikacije,values-hr/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,Prikaži dijaloški okvir kad se ANGLE učita,values-hr/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,Odaberite upravljački program za OpenGL,values-hr/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, grafika",values-hr/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Upotrebljava se ANGLE,values-hr/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,Nema dostupnih aplikacija,values-hr/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,Nijedna instalirana aplikacija ne može upotrebljavati ANGLE,values-hr/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Activity Stub,values/strings.xml,5,Zamjenski kôd aktivnosti,values-hr/strings.xml,4,device/google/atv,FrameworkPackageStubs/res
You don't have an app that can do this,values/strings.xml,8,Nemate aplikaciju koja to može učiniti,values-hr/strings.xml,5,device/google/atv,FrameworkPackageStubs/res
None,values/strings.xml,11,Ništa,values-hr/strings.xml,6,device/google/atv,FrameworkPackageStubs/res
N/A,values/strings.xml,19,nije dostupna,values-hr/strings.xml,19,device/google/atv,libraries/BluetoothServices/res
Critical,values/strings.xml,20,kritična,values-hr/strings.xml,20,device/google/atv,libraries/BluetoothServices/res
Low,values/strings.xml,21,niska,values-hr/strings.xml,21,device/google/atv,libraries/BluetoothServices/res
Good,values/strings.xml,22,dobra,values-hr/strings.xml,22,device/google/atv,libraries/BluetoothServices/res
Confirm remote update,values/strings.xml,24,Potvrdite ažuriranje daljinskog upravljača,values-hr/strings.xml,23,device/google/atv,libraries/BluetoothServices/res
During the update your remote may briefly disconnect.,values/strings.xml,25,Tijekom ažuriranja možda će se nakratko prekinuti veza s daljinskim upravljačem.,values-hr/strings.xml,24,device/google/atv,libraries/BluetoothServices/res
Continue,values/strings.xml,27,Nastavi,values-hr/strings.xml,25,device/google/atv,libraries/BluetoothServices/res
Cancel,values/strings.xml,28,Odustani,values-hr/strings.xml,26,device/google/atv,libraries/BluetoothServices/res
Remote update,values/strings.xml,30,Ažuriranje daljinskog upravljača,values-hr/strings.xml,27,device/google/atv,libraries/BluetoothServices/res
New software available,values/strings.xml,31,Dostupan je novi softver,values-hr/strings.xml,28,device/google/atv,libraries/BluetoothServices/res
Update available,values/strings.xml,32,Dostupno je ažuriranje,values-hr/strings.xml,29,device/google/atv,libraries/BluetoothServices/res
Remote is up to date,values/strings.xml,33,Daljinski je upravljač ažuran,values-hr/strings.xml,30,device/google/atv,libraries/BluetoothServices/res
Remote update failed,values/strings.xml,34,Ažuriranje daljinskog upravljača nije uspjelo,values-hr/strings.xml,31,device/google/atv,libraries/BluetoothServices/res
We experienced an issue while updating your remote. Please try again.,values/strings.xml,35,Pojavio se problem prilikom ažuriranja daljinskog upravljača. Pokušajte ponovo.,values-hr/strings.xml,32,device/google/atv,libraries/BluetoothServices/res
Please wait,values/strings.xml,36,Pričekajte,values-hr/strings.xml,33,device/google/atv,libraries/BluetoothServices/res
Pair your remote again,values/strings.xml,37,Ponovo uparite daljinski upravljač,values-hr/strings.xml,34,device/google/atv,libraries/BluetoothServices/res
Enabled,values/strings.xml,39,Omogućeno,values-hr/strings.xml,35,device/google/atv,libraries/BluetoothServices/res
Disabled,values/strings.xml,40,Onemogućeno,values-hr/strings.xml,36,device/google/atv,libraries/BluetoothServices/res
Battery level,values/strings.xml,42,Razina baterije,values-hr/strings.xml,37,device/google/atv,libraries/BluetoothServices/res
%1$d%%,values/strings.xml,44,%1$d%%,values-hr/strings.xml,38,device/google/atv,libraries/BluetoothServices/res
Firmware,values/strings.xml,45,Oprema,values-hr/strings.xml,39,device/google/atv,libraries/BluetoothServices/res
