Installing system update,values/strings.xml,17,Համակարգի թարմացման տեղադրում,values-hy/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Ջնջում,values-hy/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Հրամանը տրված չէ,values-hy/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Սխալ,values-hy/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Անվտանգության թարմացման տեղադրում,values-hy/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Չհաջողվեց բեռնել Android համակարգը։ Հնարավոր է՝ ձեր տվյալները վնասված են։ Եթե նորից տեսնեք այս հաղորդագրությունը, փորձեք վերակայել սարքի կարգավորումները և ջնջել օգտատիրոջ բոլոր տվյալները։",values-hy/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Նորից փորձել,values-hy/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Վերակայել բոլոր տվյալները,values-hy/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Ջնջե՞լ օգտատիրոջ բոլոր տվյալները։\n\n ԱՅՍ ԳՈՐԾՈՂՈՒԹՅՈՒՆԸ ՀՆԱՐԱՎՈՐ ՉԻ ԼԻՆԻ ՀԵՏԱՐԿԵԼ,values-hy/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Չեղարկել,values-hy/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Fallback,values-hy/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Չաջակցվող գործողություն,values-hy/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Այդ գործողությունն այժմ չի աջակցվում:,values-hy/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,ANGLE-ի կարգավորումներ,values-hy/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Փոխեք ANGLE-ի կարգավորումները,values-hy/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Ընդհանուր,values-hy/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Օգտագործել ANGLE-ը բոլոր հավելվածների համար,values-hy/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,"Ցույց տալ երկխոսության պատուհանը, երբ ANGLE-ը բեռնվում է",values-hy/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,Ընտրեք OpenGL սարքավարը,values-hy/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"ANGLE, OpenGL, գծապատկերներ",values-hy/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Օգտագործվում է ANGLE հավելվածը,values-hy/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,Հասանելի հավելվածներ չկան,values-hy/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,Տեղադրված հավելվածներից ոչ մեկը չի աջակցում ANGLE-ը:,values-hy/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Activity Stub,values/strings.xml,5,Ակտիվության մոդուլ,values-hy/strings.xml,4,device/google/atv,FrameworkPackageStubs/res
You don't have an app that can do this,values/strings.xml,8,Այս գործողությունը կատարելու համար դուք չունեք հավելված,values-hy/strings.xml,5,device/google/atv,FrameworkPackageStubs/res
None,values/strings.xml,11,Չկա,values-hy/strings.xml,6,device/google/atv,FrameworkPackageStubs/res
N/A,values/strings.xml,19,Նշված չէ,values-hy/strings.xml,19,device/google/atv,libraries/BluetoothServices/res
Critical,values/strings.xml,20,Կրիտիկական,values-hy/strings.xml,20,device/google/atv,libraries/BluetoothServices/res
Low,values/strings.xml,21,Սպառվում է,values-hy/strings.xml,21,device/google/atv,libraries/BluetoothServices/res
Good,values/strings.xml,22,Բավարար,values-hy/strings.xml,22,device/google/atv,libraries/BluetoothServices/res
Confirm remote update,values/strings.xml,24,Հաստատեք հեռակառավարման վահանակի թարմացումը,values-hy/strings.xml,23,device/google/atv,libraries/BluetoothServices/res
During the update your remote may briefly disconnect.,values/strings.xml,25,Թարմացման ընթացքում կապը սարքի հետ կարող է կարճ ժամանակով ընդհատվել:,values-hy/strings.xml,24,device/google/atv,libraries/BluetoothServices/res
Continue,values/strings.xml,27,Շարունակել,values-hy/strings.xml,25,device/google/atv,libraries/BluetoothServices/res
Cancel,values/strings.xml,28,Չեղարկել,values-hy/strings.xml,26,device/google/atv,libraries/BluetoothServices/res
Remote update,values/strings.xml,30,Հեռակառավարման վահանակի թարմացում,values-hy/strings.xml,27,device/google/atv,libraries/BluetoothServices/res
New software available,values/strings.xml,31,Հասանելի է նոր ծրագրակազմ,values-hy/strings.xml,28,device/google/atv,libraries/BluetoothServices/res
Update available,values/strings.xml,32,Հասանելի է նոր տարբերակը,values-hy/strings.xml,29,device/google/atv,libraries/BluetoothServices/res
Remote is up to date,values/strings.xml,33,Հեռակառավարման վահանակը թարմացված է,values-hy/strings.xml,30,device/google/atv,libraries/BluetoothServices/res
Remote update failed,values/strings.xml,34,Չհաջողվեց թարմացնել հեռակառավարման վահանակը,values-hy/strings.xml,31,device/google/atv,libraries/BluetoothServices/res
We experienced an issue while updating your remote. Please try again.,values/strings.xml,35,Չհաջողվեց թարմացնել հեռակառավարման վահանակը: Նորից փորձեք։,values-hy/strings.xml,32,device/google/atv,libraries/BluetoothServices/res
Please wait,values/strings.xml,36,Սպասեք,values-hy/strings.xml,33,device/google/atv,libraries/BluetoothServices/res
Pair your remote again,values/strings.xml,37,Նորից զուգակցեք հեռակառավարման վահանակը,values-hy/strings.xml,34,device/google/atv,libraries/BluetoothServices/res
Enabled,values/strings.xml,39,Միացված է,values-hy/strings.xml,35,device/google/atv,libraries/BluetoothServices/res
Disabled,values/strings.xml,40,Անջատված է,values-hy/strings.xml,36,device/google/atv,libraries/BluetoothServices/res
Battery level,values/strings.xml,42,Մարտկոցի մակարդակը,values-hy/strings.xml,37,device/google/atv,libraries/BluetoothServices/res
%1$d%%,values/strings.xml,44,%1$d%%,values-hy/strings.xml,38,device/google/atv,libraries/BluetoothServices/res
