Installing system update,values/strings.xml,17,Memasang pembaruan sistem,values-in/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Menghapus,values-in/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Tidak ada perintah,values-in/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Error!,values-in/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Memasang pembaruan keamanan,values-in/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Tidak dapat memuat sistem Android. Data Anda mungkin rusak. Jika terus mendapatkan pesan ini, Anda mungkin perlu melakukan reset ke setelan pabrik dan menghapus semua data pengguna yang disimpan di perangkat ini.",values-in/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Coba lagi,values-in/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Reset ke setelan pabrik,values-in/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Hapus total semua data pengguna?\n\n TINDAKAN INI TIDAK DAPAT DIURUNGKAN!,values-in/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Batal,values-in/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Pengganti,values-in/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Tindakan yang tidak didukung,values-in/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Saat ini tindakan tersebut tidak didukung.,values-in/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Preferensi ANGLE,values-in/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Ubah setelan ANGLE,values-in/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Umum,values-in/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Gunakan ANGLE untuk semua aplikasi,values-in/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,Tampilkan kotak dialog saat ANGLE dimuat,values-in/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,Pilih Driver OpenGL,values-in/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, grafis",values-in/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Menggunakan ANGLE,values-in/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,Tidak ada aplikasi yang tersedia,values-in/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,Tidak ada aplikasi terinstal yang dapat menggunakan ANGLE,values-in/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Activity Stub,values/strings.xml,5,Activity Stub,values-in/strings.xml,4,device/google/atv,FrameworkPackageStubs/res
You don't have an app that can do this,values/strings.xml,8,Anda tidak memiliki aplikasi yang dapat melakukan tindakan ini,values-in/strings.xml,5,device/google/atv,FrameworkPackageStubs/res
None,values/strings.xml,11,Tidak ada,values-in/strings.xml,6,device/google/atv,FrameworkPackageStubs/res
N/A,values/strings.xml,19,T/A,values-in/strings.xml,19,device/google/atv,libraries/BluetoothServices/res
Critical,values/strings.xml,20,Kritis,values-in/strings.xml,20,device/google/atv,libraries/BluetoothServices/res
Low,values/strings.xml,21,Rendah,values-in/strings.xml,21,device/google/atv,libraries/BluetoothServices/res
Good,values/strings.xml,22,Baik,values-in/strings.xml,22,device/google/atv,libraries/BluetoothServices/res
Confirm remote update,values/strings.xml,24,Konfirmasi update remote,values-in/strings.xml,23,device/google/atv,libraries/BluetoothServices/res
During the update your remote may briefly disconnect.,values/strings.xml,25,"Selama proses update, sambungan remote Anda mungkin terputus sebentar.",values-in/strings.xml,24,device/google/atv,libraries/BluetoothServices/res
Continue,values/strings.xml,27,Lanjutkan,values-in/strings.xml,25,device/google/atv,libraries/BluetoothServices/res
Cancel,values/strings.xml,28,Batal,values-in/strings.xml,26,device/google/atv,libraries/BluetoothServices/res
Remote update,values/strings.xml,30,Update remote,values-in/strings.xml,27,device/google/atv,libraries/BluetoothServices/res
New software available,values/strings.xml,31,Software baru tersedia,values-in/strings.xml,28,device/google/atv,libraries/BluetoothServices/res
Update available,values/strings.xml,32,Update tersedia,values-in/strings.xml,29,device/google/atv,libraries/BluetoothServices/res
Remote is up to date,values/strings.xml,33,Remote telah diupdate,values-in/strings.xml,30,device/google/atv,libraries/BluetoothServices/res
Remote update failed,values/strings.xml,34,Update remote gagal,values-in/strings.xml,31,device/google/atv,libraries/BluetoothServices/res
We experienced an issue while updating your remote. Please try again.,values/strings.xml,35,Kami mengalami masalah selagi mengupdate remote Anda. Coba lagi.,values-in/strings.xml,32,device/google/atv,libraries/BluetoothServices/res
Please wait,values/strings.xml,36,Harap tunggu,values-in/strings.xml,33,device/google/atv,libraries/BluetoothServices/res
Pair your remote again,values/strings.xml,37,Sambungkan remote kembali,values-in/strings.xml,34,device/google/atv,libraries/BluetoothServices/res
Enabled,values/strings.xml,39,Diaktifkan,values-in/strings.xml,35,device/google/atv,libraries/BluetoothServices/res
Disabled,values/strings.xml,40,Dinonaktifkan,values-in/strings.xml,36,device/google/atv,libraries/BluetoothServices/res
Battery level,values/strings.xml,42,Tingkat daya baterai,values-in/strings.xml,37,device/google/atv,libraries/BluetoothServices/res
%1$d%%,values/strings.xml,44,%1$d%%,values-in/strings.xml,38,device/google/atv,libraries/BluetoothServices/res
Firmware,values/strings.xml,45,Firmware,values-in/strings.xml,39,device/google/atv,libraries/BluetoothServices/res
Bluetooth address,values/strings.xml,46,Alamat bluetooth,values-in/strings.xml,40,device/google/atv,libraries/BluetoothServices/res
Please replace battery,values/strings.xml,48,Harap ganti baterai,values-in/strings.xml,41,device/google/atv,libraries/BluetoothServices/res
Low battery,values/strings.xml,49,Daya baterai lemah,values-in/strings.xml,42,device/google/atv,libraries/BluetoothServices/res
Connected Devices,values/strings.xml,52,Perangkat yang Terhubung,values-in/strings.xml,43,device/google/atv,libraries/BluetoothServices/res
Remotes & Accessories,values/strings.xml,54,Remote & Aksesori,values-in/strings.xml,44,device/google/atv,libraries/BluetoothServices/res
Update your remote,values/strings.xml,56,Update remote Anda,values-in/strings.xml,45,device/google/atv,libraries/BluetoothServices/res
Ready to install,values/strings.xml,57,Siap diinstal,values-in/strings.xml,46,device/google/atv,libraries/BluetoothServices/res
UPDATE,values/strings.xml,58,UPDATE,values-in/strings.xml,47,device/google/atv,libraries/BluetoothServices/res
DISMISS,values/strings.xml,59,TUTUP,values-in/strings.xml,48,device/google/atv,libraries/BluetoothServices/res
Remote battery low,values/strings.xml,63,Daya baterai remote lemah,values-in/strings.xml,49,device/google/atv,libraries/BluetoothServices/res
Replace battery soon,values/strings.xml,64,Segera ganti baterai,values-in/strings.xml,50,device/google/atv,libraries/BluetoothServices/res
Remote battery almost empty,values/strings.xml,65,Daya baterai remote hampir habis,values-in/strings.xml,51,device/google/atv,libraries/BluetoothServices/res
Replace battery soon,values/strings.xml,66,Segera ganti baterai,values-in/strings.xml,52,device/google/atv,libraries/BluetoothServices/res
Remote battery empty,values/strings.xml,67,Daya baterai remote habis,values-in/strings.xml,53,device/google/atv,libraries/BluetoothServices/res
Replace battery to use remote,values/strings.xml,68,Ganti baterai untuk menggunakan remote,values-in/strings.xml,54,device/google/atv,libraries/BluetoothServices/res
Yes,values/strings.xml,72,Ya,values-in/strings.xml,55,device/google/atv,libraries/BluetoothServices/res
No,values/strings.xml,73,Tidak,values-in/strings.xml,56,device/google/atv,libraries/BluetoothServices/res
Disconnect from %1$s,values/strings.xml,75,Putuskan sambungan dari %1$s,values-in/strings.xml,57,device/google/atv,libraries/BluetoothServices/res
Connect to %1$s,values/strings.xml,76,Terhubung ke %1$s,values-in/strings.xml,58,device/google/atv,libraries/BluetoothServices/res
Forget %1$s,values/strings.xml,77,Lupakan %1$s,values-in/strings.xml,59,device/google/atv,libraries/BluetoothServices/res
Rename your connected device,values/strings.xml,78,Ganti nama perangkat Anda yang terhubung,values-in/strings.xml,60,device/google/atv,libraries/BluetoothServices/res
HDMI-CEC,values/strings.xml,80,HDMI-CEC,values-in/strings.xml,61,device/google/atv,libraries/BluetoothServices/res
Enable HDMI-CEC,values/strings.xml,81,Aktifkan HDMI-CEC,values-in/strings.xml,62,device/google/atv,libraries/BluetoothServices/res
"HDMI-CEC allows you to control and automatically turn on/off other HDMI-CEC enabled devices with a single remote control.\n\nNote: Ensure HDMI-CEC is enabled on your TV and other HDMI devices. Manufacturers often have different names for HDMI-CEC, for example:",values/strings.xml,82,"HDMI-CEC memungkinkan Anda mengontrol dan secara otomatis mengaktifkan/menonaktifkan perangkat lain yang berkemampuan HDMI-CEC dengan remote kontrol tunggal.\n\nCatatan: Pastikan HDMI-CEC telah diaktifkan di TV dan perangkat HDMI lainnya. Produsen sering memiliki nama berbeda untuk HDMI-CEC, misalnya:",values-in/strings.xml,63,device/google/atv,libraries/BluetoothServices/res
Samsung: Anynet+\nLG: SimpLink\nSony: BRAVIA Sync\nPhilips: EasyLink\nSharp: Aquos Link,values/strings.xml,83,Samsung: Anynet+\nLG: SimpLink\nSony: BRAVIA Sync\nPhilips: EasyLink\nSharp: Aquos Link,values-in/strings.xml,64,device/google/atv,libraries/BluetoothServices/res
Set up remote buttons,values/strings.xml,85,Siapkan tombol remote,values-in/strings.xml,65,device/google/atv,libraries/BluetoothServices/res
"Control volume, power, input on TVs, receivers and soundbars",values/strings.xml,86,"Mengontrol volume, daya, input di TV, penerima, dan soundbar",values-in/strings.xml,66,device/google/atv,libraries/BluetoothServices/res
Battery level: %1$s,values/strings.xml,88,Level daya baterai: %1$s,values-in/strings.xml,67,device/google/atv,libraries/BluetoothServices/res
Accessories,values/strings.xml,89,Aksesori,values-in/strings.xml,68,device/google/atv,libraries/BluetoothServices/res
Remote Control,values/strings.xml,91,Remote Control,values-in/strings.xml,69,device/google/atv,libraries/BluetoothServices/res
Connected,values/strings.xml,92,Terhubung,values-in/strings.xml,70,device/google/atv,libraries/BluetoothServices/res
Previously connected,values/strings.xml,93,Perangkat yang terhubung sebelumnya,values-in/strings.xml,71,device/google/atv,libraries/BluetoothServices/res
Pair remote or accessory,values/strings.xml,95,Sambungkan remote atau aksesori,values-in/strings.xml,72,device/google/atv,libraries/BluetoothServices/res
Disconnect,values/strings.xml,97,Putuskan koneksi,values-in/strings.xml,73,device/google/atv,libraries/BluetoothServices/res
Connect,values/strings.xml,98,Sambungkan,values-in/strings.xml,74,device/google/atv,libraries/BluetoothServices/res
Rename,values/strings.xml,99,Ganti nama,values-in/strings.xml,75,device/google/atv,libraries/BluetoothServices/res
Forget,values/strings.xml,100,Lupakan,values-in/strings.xml,76,device/google/atv,libraries/BluetoothServices/res
Connected,values/strings.xml,103,Terhubung,values-in/strings.xml,77,device/google/atv,libraries/BluetoothServices/res
Disconnected,values/strings.xml,105,Terputus,values-in/strings.xml,78,device/google/atv,libraries/BluetoothServices/res
Device control,values/strings.xml,107,Kontrol perangkat,values-in/strings.xml,79,device/google/atv,libraries/BluetoothServices/res
Connect new device,values/strings.xml,109,Sambungkan perangkat baru,values-in/strings.xml,80,device/google/atv,libraries/BluetoothServices/res
"Before connecting new Bluetooth devices, make sure they're in pairing mode. To connect %1$s, press and hold %2$s + %3$s for 3 seconds.",values/strings.xml,110,"Sebelum menyambungkan perangkat Bluetooth baru, pastikan perangkat dalam mode penyambungan. Untuk menyambungkan %1$s, tekan dan tahan %2$s + %3$s selama 3 detik.",values-in/strings.xml,81,device/google/atv,libraries/BluetoothServices/res
an Android TV remote,values/strings.xml,111,Remote Android TV,values-in/strings.xml,82,device/google/atv,libraries/BluetoothServices/res
Available devices,values/strings.xml,112,Perangkat yang tersedia,values-in/strings.xml,83,device/google/atv,libraries/BluetoothServices/res
Looking for devices…,values/strings.xml,113,Mencari perangkat…,values-in/strings.xml,84,device/google/atv,libraries/BluetoothServices/res
Error,values/strings.xml,114,Error,values-in/strings.xml,85,device/google/atv,libraries/BluetoothServices/res
Connecting…,values/strings.xml,115,Menyambungkan…,values-in/strings.xml,86,device/google/atv,libraries/BluetoothServices/res
Connected,values/strings.xml,116,Terhubung,values-in/strings.xml,87,device/google/atv,libraries/BluetoothServices/res
Cancelled,values/strings.xml,117,Dibatalkan,values-in/strings.xml,88,device/google/atv,libraries/BluetoothServices/res
%1$s failed to connect,values/strings.xml,119,%1$s gagal disambungkan,values-in/strings.xml,89,device/google/atv,libraries/BluetoothServices/res
%1$s connected,values/strings.xml,120,%1$s terhubung,values-in/strings.xml,90,device/google/atv,libraries/BluetoothServices/res
%1$s disconnected,values/strings.xml,121,%1$s terputus,values-in/strings.xml,91,device/google/atv,libraries/BluetoothServices/res
" You have held both the back and down buttons for three seconds to use %1$s.\n\n To enable %1$s now, hold the back and down buttons for three seconds again. Use this shortcut anytime to enable or disable %1$s.\n\n You can adjust your preferences in Settings > System > Accessibility. ",values/strings.xml,21,"Anda harus menahan tombol kembali dan panah bawah selama tiga detik untuk menggunakan %1$s.\n\n Untuk mengaktifkan %1$s sekarang, tahan tombol kembali dan panah bawah selama tiga detik lagi. Gunakan pintasan ini kapan saja untuk mengaktifkan atau menonaktifkan %1$s.\n\n Anda dapat menyesuaikan preferensi di Setelan > Sistem > Aksesibilitas.",values-in/strings.xml,19,device/google/atv,overlay/TvFrameworkOverlay/res
" When the shortcut is on, pressing both the back and down buttons for 3 seconds will start an accessibility feature.\n\n Current accessibility feature:\n %1$s\n\n You can change the feature in Settings > Accessibility. ",values/strings.xml,35,"Jika pintasan aktif, menekan tombol kembali dan panah bawah selama 3 detik akan memulai fitur aksesibilitas.\n\n Fitur aksesibilitas saat ini:\n %1$s\n\n Anda dapat mengubah fitur di Setelan > Aksesibilitas.",values-in/strings.xml,20,device/google/atv,overlay/TvFrameworkOverlay/res
 Held back and down buttons. %1$s turned on. ,values/strings.xml,44,Tahan tombol kembali dan panah bawah. %1$s diaktifkan.,values-in/strings.xml,21,device/google/atv,overlay/TvFrameworkOverlay/res
 Held back and down buttons. %1$s turned off. ,values/strings.xml,51,Tahan tombol kembali dan panah bawah. %1$s dinonaktifkan.,values-in/strings.xml,22,device/google/atv,overlay/TvFrameworkOverlay/res
