Installing system update,values/strings.xml,17,システム アップデートをインストールしています,values-ja/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,消去しています,values-ja/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,コマンドが指定されていません,values-ja/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,エラーが発生しました。,values-ja/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,セキュリティ アップデートをインストールしています,values-ja/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,Android システムを読み込めません。データが破損している可能性があります。このメッセージが引き続き表示される場合は、データの初期化を行い、このデバイスに保存されているすべてのユーザー データを消去することが必要な場合があります。,values-ja/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,再試行,values-ja/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,データの初期化,values-ja/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,すべてのユーザー データをワイプしますか？\n\nこの操作は元に戻せません。,values-ja/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,キャンセル,values-ja/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Fallback,values-ja/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,サポートされていない操作,values-ja/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,現在サポートされていない操作です。,values-ja/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,ANGLE の設定,values-ja/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,ANGLE の設定を変更,values-ja/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,全般,values-ja/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,すべてのアプリで ANGLE を使用,values-ja/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,ANGLE の読み込み時にダイアログ ボックスを表示,values-ja/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
