Installing system update,values/strings.xml,17,Жүйе жаңартуы орнатылуда,values-kk/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Өшірілуде,values-kk/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Пәрмен жоқ,values-kk/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Қате!,values-kk/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Қауіпсіздік жаңартуы орнатылуда,values-kk/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Android жүйесі жүктелмейді. Деректеріңіз бүлінген болуы мүмкін. Егер осы хабар қайта шықса, зауыттық деректерді қалпына келтіріп, пайдаланушы деректерін жойып көріңіз.",values-kk/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Қайталау,values-kk/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Зауыттық деректерді қалпына келтіру,values-kk/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Пайдаланушының барлық деректері жойылсын ба?\n\n БҰЛ ӘРЕКЕТТІ ҚАЙТАРЫЛМАЙДЫ!,values-kk/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Бас тарту,values-kk/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Резервтік күй,values-kk/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Әрекетке қолдау көрсетілмейді,values-kk/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Бұл әрекетке қазірше қолдау көрсетілмейді.,values-kk/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,ANGLE параметрлері,values-kk/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,ANGLE параметрлерін өзгерту,values-kk/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Жалпы,values-kk/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Барлық қолданбаларға ANGLE пайдалану,values-kk/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,"ANGLE жүктелген кезде, диалогтік терезені көрсету",values-kk/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,OpenGL драйверін таңдау,values-kk/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, графика",values-kk/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,ANGLE қолданбасын пайдалану,values-kk/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,Қолжтемді қолданбалар жоқ,values-kk/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
