Installing system update,values/strings.xml,17,Система жаңырууда,values-ky/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Тазаланууда,values-ky/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Буйрук берилген жок,values-ky/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Ката!,values-ky/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Коопсуздук жаңырууда,values-ky/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Android системасы жүктөлбөй жатат. Дайын-даректериңиз бузук болушу мүмкүн. Бул билдирүү дагы деле келе берсе, түзмөктү кайра башынан жөндөп, анда сакталган бардык колдонуучу дайындарын тазалашыңыз керек.",values-ky/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Кайталоо,values-ky/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Кайра башынан жөндөө,values-ky/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Колдонуучу дайындарынын баары жашырылсынбы?\n\n МУНУ АРТКА КАЙТАРУУ МҮМКҮН ЭМЕС!,values-ky/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Жок,values-ky/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Fallback,values-ky/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Аракет колдоого алынбайт,values-ky/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Учурда мындай аракет колдоого алынбайт.,values-ky/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,ANGLE параметрлери,values-ky/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,ANGLE жөндөөлөрүн өзгөртүү,values-ky/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Жалпы,values-ky/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Бардык колдонмолордо ANGLE колдонулсун,values-ky/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,"ANGLE жүктөлгөндө, диалог кутусу көрсөтүлсүн",values-ky/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,OpenGL драйверин тандоо,values-ky/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, графика",values-ky/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,ANGLE колдонулууда,values-ky/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,Жеткиликтүү колдонмолор жок,values-ky/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,ANGLE'ди пайдалана турган бир да колдонмо орнотулган жок,values-ky/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Activity Stub,values/strings.xml,5,Аракеттер тилкеси,values-ky/strings.xml,4,device/google/atv,FrameworkPackageStubs/res
You don't have an app that can do this,values/strings.xml,8,Муну аткара турган колдонмоңуз жок,values-ky/strings.xml,5,device/google/atv,FrameworkPackageStubs/res
None,values/strings.xml,11,Жок,values-ky/strings.xml,6,device/google/atv,FrameworkPackageStubs/res
N/A,values/strings.xml,19,Жок,values-ky/strings.xml,19,device/google/atv,libraries/BluetoothServices/res
Critical,values/strings.xml,20,Өтө төмөн,values-ky/strings.xml,20,device/google/atv,libraries/BluetoothServices/res
Low,values/strings.xml,21,Төмөн,values-ky/strings.xml,21,device/google/atv,libraries/BluetoothServices/res
Good,values/strings.xml,22,Жакшы,values-ky/strings.xml,22,device/google/atv,libraries/BluetoothServices/res
Confirm remote update,values/strings.xml,24,Пультту жаңыртууну ырастоо,values-ky/strings.xml,23,device/google/atv,libraries/BluetoothServices/res
During the update your remote may briefly disconnect.,values/strings.xml,25,Жаңыртуу учурунда алыстан башкарылган түзмөгүңүз бир саамга ажыратылышы мүмкүн.,values-ky/strings.xml,24,device/google/atv,libraries/BluetoothServices/res
Continue,values/strings.xml,27,Улантуу,values-ky/strings.xml,25,device/google/atv,libraries/BluetoothServices/res
Cancel,values/strings.xml,28,Жокко чыгаруу,values-ky/strings.xml,26,device/google/atv,libraries/BluetoothServices/res
Remote update,values/strings.xml,30,Пультту жаңыртуу,values-ky/strings.xml,27,device/google/atv,libraries/BluetoothServices/res
New software available,values/strings.xml,31,Жаңы программа чыкты,values-ky/strings.xml,28,device/google/atv,libraries/BluetoothServices/res
Update available,values/strings.xml,32,Жаңы версия бар,values-ky/strings.xml,29,device/google/atv,libraries/BluetoothServices/res
Remote is up to date,values/strings.xml,33,Алыстан башкаруу куралы жаңыртылган,values-ky/strings.xml,30,device/google/atv,libraries/BluetoothServices/res
Remote update failed,values/strings.xml,34,Пульт жаңыртылбай койду,values-ky/strings.xml,31,device/google/atv,libraries/BluetoothServices/res
We experienced an issue while updating your remote. Please try again.,values/strings.xml,35,Пультуңузду жаңыртууда маселеге кабылдык. Кайталап көрүңүз.,values-ky/strings.xml,32,device/google/atv,libraries/BluetoothServices/res
Please wait,values/strings.xml,36,Күтө туруңуз,values-ky/strings.xml,33,device/google/atv,libraries/BluetoothServices/res
Pair your remote again,values/strings.xml,37,Пультуңузду кайрадан жупташтырыңыз,values-ky/strings.xml,34,device/google/atv,libraries/BluetoothServices/res
Enabled,values/strings.xml,39,Иштетилген,values-ky/strings.xml,35,device/google/atv,libraries/BluetoothServices/res
Disabled,values/strings.xml,40,Өчүрүлгөн,values-ky/strings.xml,36,device/google/atv,libraries/BluetoothServices/res
Battery level,values/strings.xml,42,Батареянын деңгээли,values-ky/strings.xml,37,device/google/atv,libraries/BluetoothServices/res
%1$d%%,values/strings.xml,44,%1$d%%,values-ky/strings.xml,38,device/google/atv,libraries/BluetoothServices/res
Firmware,values/strings.xml,45,Орнотулган программа,values-ky/strings.xml,39,device/google/atv,libraries/BluetoothServices/res
Bluetooth address,values/strings.xml,46,Bluetooth дареги,values-ky/strings.xml,40,device/google/atv,libraries/BluetoothServices/res
Please replace battery,values/strings.xml,48,Батареяны алмаштырыңыз,values-ky/strings.xml,41,device/google/atv,libraries/BluetoothServices/res
Low battery,values/strings.xml,49,Батареянын кубаты аз,values-ky/strings.xml,42,device/google/atv,libraries/BluetoothServices/res
Connected Devices,values/strings.xml,52,Байланышкан түзмөктөр,values-ky/strings.xml,43,device/google/atv,libraries/BluetoothServices/res
Remotes & Accessories,values/strings.xml,54,Пульттар жана Көмөкчү жабдыктар,values-ky/strings.xml,44,device/google/atv,libraries/BluetoothServices/res
Update your remote,values/strings.xml,56,Пультту жаңыртуу,values-ky/strings.xml,45,device/google/atv,libraries/BluetoothServices/res
Ready to install,values/strings.xml,57,Орнотууга даяр,values-ky/strings.xml,46,device/google/atv,libraries/BluetoothServices/res
UPDATE,values/strings.xml,58,ЖАҢЫРТУУ,values-ky/strings.xml,47,device/google/atv,libraries/BluetoothServices/res
DISMISS,values/strings.xml,59,ЖАБУУ,values-ky/strings.xml,48,device/google/atv,libraries/BluetoothServices/res
Remote battery low,values/strings.xml,63,Пульттун батареясынын кубаты аз,values-ky/strings.xml,49,device/google/atv,libraries/BluetoothServices/res
Replace battery soon,values/strings.xml,64,Бир аздан кийин батареяны алмашытырыңыз,values-ky/strings.xml,50,device/google/atv,libraries/BluetoothServices/res
Remote battery almost empty,values/strings.xml,65,Пульттун батареясынын кубаты аз калды,values-ky/strings.xml,51,device/google/atv,libraries/BluetoothServices/res
Replace battery soon,values/strings.xml,66,Бир аздан кийин батареяны алмашытырыңыз,values-ky/strings.xml,52,device/google/atv,libraries/BluetoothServices/res
