Installing system update,values/strings.xml,17,Diegiamas sistemos naujinys,values-lt/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Ištrinama,values-lt/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Nėra jokių komandų,values-lt/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Klaida!,values-lt/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Diegiamas saugos naujinys,values-lt/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Negalima įkelti „Android“ sistemos. Duomenys gali būti pažeisti. Jei ir toliau gausite šį pranešimą, jums gali reikėti atkurti gamyklinius duomenis ir ištrinti visus naudotojo duomenis, saugomus šiame įrenginyje.",values-lt/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Bandyti dar kartą,values-lt/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Gamyklinių duomenų atkūrimas,values-lt/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Išvalyti visus naudotojo duomenis?\n\n ŠIO VEIKSMO NEGALIMA ANULIUOTI!,values-lt/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Atšaukti,values-lt/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Fallback,values-lt/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Nepalaikomas veiksmas,values-lt/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Šis veiksmas šiuo metu nepalaikomas.,values-lt/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,ANGLE nuostatos,values-lt/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Keisti ANGLE nustatymus,values-lt/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Bendrieji,values-lt/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Naudoti ANGLE visose programose,values-lt/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,"Rodyti dialogo langą, kai ANGLE įkelta",values-lt/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,Pasirinkti „OpenGL“ tvarkyklę,values-lt/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, grafika",values-lt/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Naudojama programa ANGLE,values-lt/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,Nėra jokių pasiekiamų programų,values-lt/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,"Nėra jokių įdiegtų programų, galinčių naudoti ANGLE",values-lt/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Activity Stub,values/strings.xml,5,Veiklos šaknelė,values-lt/strings.xml,4,device/google/atv,FrameworkPackageStubs/res
You don't have an app that can do this,values/strings.xml,8,Neturite programos šiam veiksmui atlikti,values-lt/strings.xml,5,device/google/atv,FrameworkPackageStubs/res
None,values/strings.xml,11,Nėra,values-lt/strings.xml,6,device/google/atv,FrameworkPackageStubs/res
N/A,values/strings.xml,19,Nepasiekiama,values-lt/strings.xml,19,device/google/atv,libraries/BluetoothServices/res
Critical,values/strings.xml,20,Kritinis,values-lt/strings.xml,20,device/google/atv,libraries/BluetoothServices/res
Low,values/strings.xml,21,Mažas,values-lt/strings.xml,21,device/google/atv,libraries/BluetoothServices/res
Good,values/strings.xml,22,Geras,values-lt/strings.xml,22,device/google/atv,libraries/BluetoothServices/res
Confirm remote update,values/strings.xml,24,Patvirtinti nuotolinio valdymo pultelio atnaujinimą,values-lt/strings.xml,23,device/google/atv,libraries/BluetoothServices/res
During the update your remote may briefly disconnect.,values/strings.xml,25,"Atnaujinant nuotolinio valdymo pultelį, jis gali būti laikinai atjungtas.",values-lt/strings.xml,24,device/google/atv,libraries/BluetoothServices/res
Continue,values/strings.xml,27,Tęsti,values-lt/strings.xml,25,device/google/atv,libraries/BluetoothServices/res
Cancel,values/strings.xml,28,Atšaukti,values-lt/strings.xml,26,device/google/atv,libraries/BluetoothServices/res
Remote update,values/strings.xml,30,Nuotolinio valdymo pultelio atnaujinimas,values-lt/strings.xml,27,device/google/atv,libraries/BluetoothServices/res
New software available,values/strings.xml,31,Pasiekiama nauja programinė įranga,values-lt/strings.xml,28,device/google/atv,libraries/BluetoothServices/res
Update available,values/strings.xml,32,Pasiekiamas naujinys,values-lt/strings.xml,29,device/google/atv,libraries/BluetoothServices/res
Remote is up to date,values/strings.xml,33,Nuotolinio valdymo pultelis atnaujintas,values-lt/strings.xml,30,device/google/atv,libraries/BluetoothServices/res
Remote update failed,values/strings.xml,34,Nepavyko atnaujinti nuotolinio valdymo pultelio,values-lt/strings.xml,31,device/google/atv,libraries/BluetoothServices/res
We experienced an issue while updating your remote. Please try again.,values/strings.xml,35,Atnaujinant nuotolinio valdymo pultelį kilo problema. Bandykite dar kartą.,values-lt/strings.xml,32,device/google/atv,libraries/BluetoothServices/res
Please wait,values/strings.xml,36,Palaukite,values-lt/strings.xml,33,device/google/atv,libraries/BluetoothServices/res
Pair your remote again,values/strings.xml,37,Susiekite nuotolinio valdymo pultelį dar kartą,values-lt/strings.xml,34,device/google/atv,libraries/BluetoothServices/res
Enabled,values/strings.xml,39,Įgalinta,values-lt/strings.xml,35,device/google/atv,libraries/BluetoothServices/res
Disabled,values/strings.xml,40,Išjungta,values-lt/strings.xml,36,device/google/atv,libraries/BluetoothServices/res
Battery level,values/strings.xml,42,Akumuliatoriaus energijos lygis,values-lt/strings.xml,37,device/google/atv,libraries/BluetoothServices/res
%1$d%%,values/strings.xml,44,%1$d %%,values-lt/strings.xml,38,device/google/atv,libraries/BluetoothServices/res
Firmware,values/strings.xml,45,Programinė aparatinė įranga,values-lt/strings.xml,39,device/google/atv,libraries/BluetoothServices/res
Bluetooth address,values/strings.xml,46,„Bluetooth“ adresas,values-lt/strings.xml,40,device/google/atv,libraries/BluetoothServices/res
Please replace battery,values/strings.xml,48,Pakeiskite akumuliatorių,values-lt/strings.xml,41,device/google/atv,libraries/BluetoothServices/res
Low battery,values/strings.xml,49,Senka akumuliatorius,values-lt/strings.xml,42,device/google/atv,libraries/BluetoothServices/res
Connected Devices,values/strings.xml,52,Prijungti įrenginiai,values-lt/strings.xml,43,device/google/atv,libraries/BluetoothServices/res
Remotes & Accessories,values/strings.xml,54,Nuotolinis valdymas ir priedai,values-lt/strings.xml,44,device/google/atv,libraries/BluetoothServices/res
Update your remote,values/strings.xml,56,Atnaujinkite nuotolinio valdymo pultelį,values-lt/strings.xml,45,device/google/atv,libraries/BluetoothServices/res
Ready to install,values/strings.xml,57,Paruošta įdiegti,values-lt/strings.xml,46,device/google/atv,libraries/BluetoothServices/res
UPDATE,values/strings.xml,58,ATNAUJINTI,values-lt/strings.xml,47,device/google/atv,libraries/BluetoothServices/res
DISMISS,values/strings.xml,59,ATSISAKYTI,values-lt/strings.xml,48,device/google/atv,libraries/BluetoothServices/res
Remote battery low,values/strings.xml,63,Senka nuotolinio valdymo pultelio akumuliatorius,values-lt/strings.xml,49,device/google/atv,libraries/BluetoothServices/res
Replace battery soon,values/strings.xml,64,Netrukus turėsite pakeisti akumuliatorių,values-lt/strings.xml,50,device/google/atv,libraries/BluetoothServices/res
Remote battery almost empty,values/strings.xml,65,Nuotolinio valdymo pultelio akumuliatorius beveik išseko,values-lt/strings.xml,51,device/google/atv,libraries/BluetoothServices/res
Replace battery soon,values/strings.xml,66,Netrukus turėsite pakeisti akumuliatorių,values-lt/strings.xml,52,device/google/atv,libraries/BluetoothServices/res
