Installing system update,values/strings.xml,17,Се инсталира ажурирање на системот,values-mk/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Се брише,values-mk/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Нема наредба,values-mk/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Грешка!,values-mk/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Се инсталира безбедносно ажурирање,values-mk/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Не може да се вчита системот Android. Можно е податоците да се оштетени. Ако и понатаму ја примате поракава, можеби ќе треба да извршите ресетирање на фабрички податоци и да ги избришете сите кориснички податоци меморирани на уредов.",values-mk/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Обиди се пак,values-mk/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Ресетирање на фабрички податоци,values-mk/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Да се избришат ли сите кориснички податоци?\n\n ОВА НЕ МОЖЕ ДА СЕ ВРАТИ!,values-mk/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Откажи,values-mk/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Резервен план,values-mk/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Неподдржано дејство,values-mk/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Тоа дејство не е поддржано во моментов.,values-mk/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Поставки за ANGLE,values-mk/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Изменете ги поставките за ANGLE,values-mk/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Општо,values-mk/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Користи ANGLE за сите апликации,values-mk/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,Прикажувај рамка за дијалог при вчитувањето на ANGLE,values-mk/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,Изберете драјвер за OpenGL,values-mk/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, графика",values-mk/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Се користи ANGLE,values-mk/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,Нема достапни апликации,values-mk/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,Нема инсталирани апликации што можат да користат ANGLE,values-mk/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Activity Stub,values/strings.xml,5,Заменски код за активноста,values-mk/strings.xml,4,device/google/atv,FrameworkPackageStubs/res
You don't have an app that can do this,values/strings.xml,8,Немате апликација што може да го направи ова,values-mk/strings.xml,5,device/google/atv,FrameworkPackageStubs/res
None,values/strings.xml,11,Нема,values-mk/strings.xml,6,device/google/atv,FrameworkPackageStubs/res
N/A,values/strings.xml,19,Недостапно,values-mk/strings.xml,19,device/google/atv,libraries/BluetoothServices/res
Critical,values/strings.xml,20,Критично,values-mk/strings.xml,20,device/google/atv,libraries/BluetoothServices/res
