Installing system update,values/strings.xml,17,ସିଷ୍ଟମ ଅପଡେଟ ଇନଷ୍ଟଲ କରୁଛି,values-or/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,ଲିଭାଉଛି,values-or/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,କୌଣସି କମାଣ୍ଡ ନାହିଁ,values-or/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,ତ୍ରୁଟି!,values-or/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,ସୁରକ୍ଷା ଅପ୍‌ଡେଟ୍‌ ଇନ୍‌ଷ୍ଟଲ୍‌ କରୁଛି,values-or/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Android ସିଷ୍ଟମ୍‍ ଲୋଡ୍‍ କରାଯାଇପାରିବ ନାହିଁ। ଆପଣଙ୍କ ଡାଟା ହୁଏତ ତ୍ରୁଟି ରହିଥାଇ ପାରେ। ଯଦି ଆପଣ ଏହି ମେସେଜ୍‍ ପାଇବା ଜାରି ରଖନ୍ତି, ତେବେ ଆପଣଙ୍କୁ ଫ୍ୟାକ୍ଟେରୀ ଡାଟା ରିସେଟ୍‍ କରିବାକୁ ହେବ ଏବଂ ଏହି ଡିଭାଇସ୍‍‍ରେ ଷ୍ଟୋର୍‍ ହୋଇଥିବା ସମସ୍ତ ଡାଟା ଇରେଜ୍‍ କରନ୍ତୁ।",values-or/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,ପୁଣି ଚେଷ୍ଟା କରନ୍ତୁ,values-or/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,ଫ୍ୟାକ୍ଟୋରୀ ଡାଟା ରିସେଟ୍‌,values-or/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,ସମସ୍ଯ ଉପଯୋଗକର୍ତ୍ତା ଡାଟା ୱାଇପ୍‍ କରିବେ?\n\n ଏହା ଫେରାଇ ନିଆଯାଇପାରିବ ନାହିଁ!,values-or/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,ବାତିଲ କରନ୍ତୁ,values-or/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,ଫଲବ୍ୟାକ୍‌,values-or/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,ସପୋର୍ଟ ହେଉ ନଥିବା କାର୍ଯ୍ୟ,values-or/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,ବର୍ତ୍ତମାନରେ ଏହି କାର୍ଯ୍ୟଟି କରିହେବ ନାହିଁ।,values-or/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,ANGLE ଅଗ୍ରାଧିକାର,values-or/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,ANGLE ସେଟିଂସ୍ ପରିବର୍ତ୍ତନ କରନ୍ତୁ,values-or/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,ସାଧାରଣ,values-or/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,ସମସ୍ତ ଆପ୍ ପାଇଁ ANGLE ବ୍ୟବହାର କରନ୍ତୁ,values-or/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,ANGLE ଲୋଡ୍ ହେବା ପରେ ଡାଏଲଗ୍‍ ବକ୍ସ ଦେଖନ୍ତୁ,values-or/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,OpenGL ଡ୍ରାଇଭର୍ ଚୟନ କରନ୍ତୁ,values-or/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, ଗ୍ରାଫିକ୍ସ",values-or/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Using ANGLE ବ୍ୟବହାର କରାଯାଉଛି,values-or/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,କୌଣସି ଆପ୍ସ ଉପଲବ୍ଧ ନାହିଁ,values-or/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
