Installing system update,values/strings.xml,17,Instaluję aktualizację systemu,values-pl/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Kasuję,values-pl/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Brak polecenia,values-pl/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Błąd,values-pl/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Instaluję aktualizację zabezpieczeń,values-pl/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Nie można załadować systemu Android. Dane mogą być uszkodzone. Jeśli ten komunikat nadal będzie się pojawiać, może być konieczne przywrócenie danych fabrycznych urządzenia i usunięcie wszystkich zapisanych na nim danych użytkownika.",values-pl/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Ponów próbę,values-pl/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Przywracanie danych fabrycznych,values-pl/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Wyczyścić wszystkie dane użytkownika?\n\n TEJ CZYNNOŚCI NIE MOŻNA COFNĄĆ.,values-pl/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Anuluj,values-pl/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Wycofanie,values-pl/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Nieobsługiwana czynność,values-pl/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Ta czynność nie jest aktualnie obsługiwana.,values-pl/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Ustawienia ANGLE,values-pl/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Zmień ustawienia ANGLE,values-pl/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Ogólne,values-pl/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
