Installing system update,values/strings.xml,17,Instalando atualização do sistema,values-pt-rBR/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Apagando,values-pt-rBR/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Nenhum comando,values-pt-rBR/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Erro!,values-pt-rBR/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Instalando atualização de segurança,values-pt-rBR/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Não é possível carregar o sistema Android. Seus dados podem estar corrompidos. Se você continuar recebendo esta mensagem, talvez seja necessário realizar uma redefinição para a configuração original e limpar todos os dados do usuário armazenados neste dispositivo.",values-pt-rBR/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Tentar novamente,values-pt-rBR/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Redefinição para configuração original,values-pt-rBR/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Limpar todos os dados do usuário?\n\n NÃO É POSSÍVEL DESFAZER ESSA AÇÃO.,values-pt-rBR/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Cancelar,values-pt-rBR/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
" When the shortcut is on, pressing both the back and down buttons for 3 seconds will start an accessibility feature.\n\n Current accessibility feature:\n %1$s\n\n You can change the feature in Settings > Accessibility. ",values/strings.xml,22,"Quando o atalho estiver ativado, pressione os botões de voltar e para baixo por três segundos para iniciar um recurso de acessibilidade.\n\n Recurso de acessibilidade atual:\n %1$s\n\n É possível alterar o recurso em Config. > Acessibilidade.",values-pt-rBR/strings.xml,19,device/google/atv,overlay/frameworks/base/core/res/res
com.google.android.tv.remote.service,values/config.xml,27,com.google.android.tv.remote.service,values-pt-rBR/config.xml,20,device/google/atv,overlay/frameworks/base/packages/SystemUI/res
com.google.android.apps.mediashell,values/config.xml,28,com.google.android.apps.mediashell,values-pt-rBR/config.xml,21,device/google/atv,overlay/frameworks/base/packages/SystemUI/res
Hide,values/strings.xml,20,Ocultar,values-pt-rBR/strings.xml,20,device/google/crosshatch,crosshatch/overlay/packages/apps/overlays/NoCutoutOverlay/res
B,values/strings.xml,22,B,values-pt-rBR/strings.xml,23,frameworks/base,core/res/res
kB,values/strings.xml,26,KB,values-pt-rBR/strings.xml,24,frameworks/base,core/res/res
MB,values/strings.xml,28,MB,values-pt-rBR/strings.xml,25,frameworks/base,core/res/res
GB,values/strings.xml,30,GB,values-pt-rBR/strings.xml,26,frameworks/base,core/res/res
