Installing system update,values/strings.xml,17,A instalar atualização do sistema,values-pt-rPT/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,A apagar,values-pt-rPT/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Nenhum comando,values-pt-rPT/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Erro!,values-pt-rPT/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,A instalar atualização de segurança,values-pt-rPT/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Não é possível carregar o sistema Android. Os seus dados podem estar danificados. Se continuar a receber esta mensagem, pode ter de efetuar uma reposição de dados de fábrica e apagar todos os dados do utilizador armazenados neste dispositivo.",values-pt-rPT/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Tentar novamente,values-pt-rPT/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Reposição de dados de fábrica,values-pt-rPT/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Pretende limpar todos os dados do utilizador?\n\n NÃO É POSSÍVEL ANULAR ESTA AÇÃO.,values-pt-rPT/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Cancelar,values-pt-rPT/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Fallback,values-pt-rPT/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Acção não suportada,values-pt-rPT/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Esta ação ainda não é suportada.,values-pt-rPT/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Preferências do ANGLE,values-pt-rPT/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Modificar definições ANGLE,values-pt-rPT/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Geral,values-pt-rPT/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
