Installing system update,values/strings.xml,17,Se instalează actualizarea de sistem,values-ro/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Se șterge,values-ro/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Nicio comandă,values-ro/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Eroare!,values-ro/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Se instalează actualizarea de securitate,values-ro/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Nu se poate încărca sistemul Android. Datele dvs. pot fi corupte. Dacă primiți în continuare acest mesaj, poate fi necesar să reveniți la setările din fabrică și să ștergeți toate datele utilizatorului stocate pe acest dispozitiv.",values-ro/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Reîncercați,values-ro/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Revenire la setările din fabrică,values-ro/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Ștergeți toate datele utilizatorului?\n\n ACEST LUCRU NU POATE FI ANULAT!,values-ro/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Anulați,values-ro/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Alternativă,values-ro/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Acțiune neacceptată,values-ro/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Această acțiune nu este acceptată în prezent.,values-ro/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Preferințe ANGLE,values-ro/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Modifică setările ANGLE,values-ro/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,General,values-ro/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Folosește ANGLE pentru toate aplicațiile,values-ro/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,Afișează caseta de dialog când ANGLE este încărcat,values-ro/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,Selectează driverul OpenGL,values-ro/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, grafică",values-ro/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Folosind ANGLE,values-ro/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,Nu există aplicații disponibile,values-ro/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,Nu există aplicații instalate care pot folosi ANGLE,values-ro/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
" When the shortcut is on, pressing both the back and down buttons for 3 seconds will start an accessibility feature.\n\n Current accessibility feature:\n %1$s\n\n You can change the feature in Settings > Accessibility. ",values/strings.xml,22,"Când comanda rapidă este activată, dacă apăsați simultan pe butoanele înapoi și în jos timp de 3 secunde, veți lansa o funcție de accesibilitate.\n\n Funcția actuală de accesibilitate:\n %1$s\n\n Puteți schimba funcția în Setări > Accesibilitate.",values-ro/strings.xml,19,device/google/atv,overlay/frameworks/base/core/res/res
com.google.android.tv.remote.service,values/config.xml,27,com.google.android.tv.remote.service,values-ro/config.xml,20,device/google/atv,overlay/frameworks/base/packages/SystemUI/res
com.google.android.apps.mediashell,values/config.xml,28,com.google.android.apps.mediashell,values-ro/config.xml,21,device/google/atv,overlay/frameworks/base/packages/SystemUI/res
Hide,values/strings.xml,20,Ascundeți,values-ro/strings.xml,20,device/google/crosshatch,crosshatch/overlay/packages/apps/overlays/NoCutoutOverlay/res
B,values/strings.xml,22,B,values-ro/strings.xml,23,frameworks/base,core/res/res
kB,values/strings.xml,26,kB,values-ro/strings.xml,24,frameworks/base,core/res/res
MB,values/strings.xml,28,MB,values-ro/strings.xml,25,frameworks/base,core/res/res
GB,values/strings.xml,30,GB,values-ro/strings.xml,26,frameworks/base,core/res/res
TB,values/strings.xml,32,TO,values-ro/strings.xml,27,frameworks/base,core/res/res
PB,values/strings.xml,34,PO,values-ro/strings.xml,28,frameworks/base,core/res/res
%1$s %2$s,values/strings.xml,39,%1$s %2$s,values-ro/strings.xml,29,frameworks/base,core/res/res
<Untitled>,values/strings.xml,43,<Fără titlu>,values-ro/strings.xml,30,frameworks/base,core/res/res
(No phone number),values/strings.xml,46,(Niciun număr de telefon),values-ro/strings.xml,31,frameworks/base,core/res/res
Unknown,values/strings.xml,49,Necunoscut,values-ro/strings.xml,32,frameworks/base,core/res/res
Voicemail,values/strings.xml,52,Mesagerie vocală,values-ro/strings.xml,33,frameworks/base,core/res/res
MSISDN1,values/strings.xml,55,MSISDN1,values-ro/strings.xml,34,frameworks/base,core/res/res
Connection problem or invalid MMI code.,values/strings.xml,60,Problemă de conexiune sau cod MMI nevalid.,values-ro/strings.xml,35,frameworks/base,core/res/res
Operation is restricted to fixed dialing numbers only.,values/strings.xml,63,Operația este limitată la numerele cu apelări restricționate.,values-ro/strings.xml,36,frameworks/base,core/res/res
Can not change call forwarding settings from your phone while you are roaming.,values/strings.xml,65,Nu puteți schimba setările de redirecționare a apelurilor de pe telefon când sunteți în roaming.,values-ro/strings.xml,37,frameworks/base,core/res/res
Service was enabled.,values/strings.xml,68,Serviciul a fost activat.,values-ro/strings.xml,38,frameworks/base,core/res/res
Service was enabled for:,values/strings.xml,71,Serviciul a fost activat pentru:,values-ro/strings.xml,39,frameworks/base,core/res/res
Service has been disabled.,values/strings.xml,73,Serviciul a fost dezactivat.,values-ro/strings.xml,40,frameworks/base,core/res/res
Registration was successful.,values/strings.xml,75,Înregistrarea a reușit.,values-ro/strings.xml,41,frameworks/base,core/res/res
Erasure was successful.,values/strings.xml,77,Ștergerea a reușit.,values-ro/strings.xml,42,frameworks/base,core/res/res
Incorrect password.,values/strings.xml,79,Parolă incorectă.,values-ro/strings.xml,43,frameworks/base,core/res/res
MMI complete.,values/strings.xml,81,MMI finalizat.,values-ro/strings.xml,44,frameworks/base,core/res/res
