Installing system update,values/strings.xml,17,Установка обновления системы…,values-ru/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Удаление…,values-ru/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Команды нет,values-ru/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Ошибка,values-ru/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Установка обновления системы безопасности…,values-ru/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Не удалось загрузить систему Android. Возможно, данные повреждены. Если вы снова увидите это сообщение, попробуйте сбросить настройки устройства и удалить все пользовательские данные.",values-ru/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Повторить попытку,values-ru/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Сбросить настройки,values-ru/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Стереть все пользовательские данные?\n\nЭТО ДЕЙСТВИЕ НЕЛЬЗЯ ОТМЕНИТЬ.,values-ru/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Отмена,values-ru/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Переход в обходной режим,values-ru/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Неподдерживаемое действие,values-ru/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,В настоящее время это действие не поддерживается.,values-ru/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Настройки ANGLE,values-ru/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Изменение настроек ANGLE.,values-ru/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Общие,values-ru/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Использовать ANGLE для всех приложений,values-ru/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,Показывать диалоговое окно при запуске ANGLE,values-ru/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,Выберите драйвер OpenGL,values-ru/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, графика",values-ru/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Используется ANGLE,values-ru/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,Нет доступных приложений,values-ru/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,Ни одно из установленных приложений не поддерживает ANGLE.,values-ru/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Activity Stub,values/strings.xml,5,Activity Stub,values-ru/strings.xml,4,device/google/atv,FrameworkPackageStubs/res
You don't have an app that can do this,values/strings.xml,8,"У вас нет приложения, чтобы выполнить это действие.",values-ru/strings.xml,5,device/google/atv,FrameworkPackageStubs/res
None,values/strings.xml,11,Нет,values-ru/strings.xml,6,device/google/atv,FrameworkPackageStubs/res
N/A,values/strings.xml,19,Н/Д,values-ru/strings.xml,19,device/google/atv,libraries/BluetoothServices/res
Critical,values/strings.xml,20,Критический,values-ru/strings.xml,20,device/google/atv,libraries/BluetoothServices/res
Low,values/strings.xml,21,Низкий,values-ru/strings.xml,21,device/google/atv,libraries/BluetoothServices/res
Good,values/strings.xml,22,Высокий,values-ru/strings.xml,22,device/google/atv,libraries/BluetoothServices/res
Confirm remote update,values/strings.xml,24,Подтвердить обновление пульта ДУ,values-ru/strings.xml,23,device/google/atv,libraries/BluetoothServices/res
During the update your remote may briefly disconnect.,values/strings.xml,25,Во время обновления ПО связь с пультом ДУ может ненадолго прерваться,values-ru/strings.xml,24,device/google/atv,libraries/BluetoothServices/res
Continue,values/strings.xml,27,Продолжить,values-ru/strings.xml,25,device/google/atv,libraries/BluetoothServices/res
Cancel,values/strings.xml,28,Отмена,values-ru/strings.xml,26,device/google/atv,libraries/BluetoothServices/res
Remote update,values/strings.xml,30,Обновление ПО пульта ДУ,values-ru/strings.xml,27,device/google/atv,libraries/BluetoothServices/res
New software available,values/strings.xml,31,Доступно новое ПО,values-ru/strings.xml,28,device/google/atv,libraries/BluetoothServices/res
Update available,values/strings.xml,32,Доступно обновление,values-ru/strings.xml,29,device/google/atv,libraries/BluetoothServices/res
Remote is up to date,values/strings.xml,33,Обновление ПО не требуется,values-ru/strings.xml,30,device/google/atv,libraries/BluetoothServices/res
Remote update failed,values/strings.xml,34,Не удалось обновить ПО пульта ДУ,values-ru/strings.xml,31,device/google/atv,libraries/BluetoothServices/res
We experienced an issue while updating your remote. Please try again.,values/strings.xml,35,Не удалось обновить ПО пульта ДУ. Повторите попытку.,values-ru/strings.xml,32,device/google/atv,libraries/BluetoothServices/res
Please wait,values/strings.xml,36,Подождите…,values-ru/strings.xml,33,device/google/atv,libraries/BluetoothServices/res
Pair your remote again,values/strings.xml,37,Подключите пульт ДУ ещё раз,values-ru/strings.xml,34,device/google/atv,libraries/BluetoothServices/res
Enabled,values/strings.xml,39,Включено,values-ru/strings.xml,35,device/google/atv,libraries/BluetoothServices/res
Disabled,values/strings.xml,40,Отключено,values-ru/strings.xml,36,device/google/atv,libraries/BluetoothServices/res
Battery level,values/strings.xml,42,Уровень заряда батареи,values-ru/strings.xml,37,device/google/atv,libraries/BluetoothServices/res
%1$d%%,values/strings.xml,44,%1$d %%,values-ru/strings.xml,38,device/google/atv,libraries/BluetoothServices/res
Firmware,values/strings.xml,45,Встроенное ПО,values-ru/strings.xml,39,device/google/atv,libraries/BluetoothServices/res
Bluetooth address,values/strings.xml,46,Адрес Bluetooth,values-ru/strings.xml,40,device/google/atv,libraries/BluetoothServices/res
Please replace battery,values/strings.xml,48,Замените батарею,values-ru/strings.xml,41,device/google/atv,libraries/BluetoothServices/res
Low battery,values/strings.xml,49,Низкий уровень заряда батареи,values-ru/strings.xml,42,device/google/atv,libraries/BluetoothServices/res
Connected Devices,values/strings.xml,52,Подключенные устройства,values-ru/strings.xml,43,device/google/atv,libraries/BluetoothServices/res
Remotes & Accessories,values/strings.xml,54,Пульты и аксессуары,values-ru/strings.xml,44,device/google/atv,libraries/BluetoothServices/res
Update your remote,values/strings.xml,56,Установите обновление ПО пульта ДУ,values-ru/strings.xml,45,device/google/atv,libraries/BluetoothServices/res
Ready to install,values/strings.xml,57,Оно готово к установке.,values-ru/strings.xml,46,device/google/atv,libraries/BluetoothServices/res
UPDATE,values/strings.xml,58,ОБНОВИТЬ,values-ru/strings.xml,47,device/google/atv,libraries/BluetoothServices/res
DISMISS,values/strings.xml,59,ОТКАЗАТЬСЯ,values-ru/strings.xml,48,device/google/atv,libraries/BluetoothServices/res
Remote battery low,values/strings.xml,63,Низкий уровень заряда батареи в пульте ДУ,values-ru/strings.xml,49,device/google/atv,libraries/BluetoothServices/res
Replace battery soon,values/strings.xml,64,Замените ее в ближайшее время.,values-ru/strings.xml,50,device/google/atv,libraries/BluetoothServices/res
Remote battery almost empty,values/strings.xml,65,Батарея в пульте ДУ почти разряжена,values-ru/strings.xml,51,device/google/atv,libraries/BluetoothServices/res
Replace battery soon,values/strings.xml,66,Замените ее в ближайшее время.,values-ru/strings.xml,52,device/google/atv,libraries/BluetoothServices/res
Remote battery empty,values/strings.xml,67,Батарея в пульте ДУ разряжена,values-ru/strings.xml,53,device/google/atv,libraries/BluetoothServices/res
Replace battery to use remote,values/strings.xml,68,"Замените ее, чтобы пользоваться пультом ДУ.",values-ru/strings.xml,54,device/google/atv,libraries/BluetoothServices/res
Yes,values/strings.xml,72,Да,values-ru/strings.xml,55,device/google/atv,libraries/BluetoothServices/res
No,values/strings.xml,73,Нет,values-ru/strings.xml,56,device/google/atv,libraries/BluetoothServices/res
Disconnect from %1$s,values/strings.xml,75,"Отключиться от устройства ""%1$s""",values-ru/strings.xml,57,device/google/atv,libraries/BluetoothServices/res
Connect to %1$s,values/strings.xml,76,Подключиться к устройству (%1$s)?,values-ru/strings.xml,58,device/google/atv,libraries/BluetoothServices/res
Forget %1$s,values/strings.xml,77,"Удалить устройство ""%1$s""",values-ru/strings.xml,59,device/google/atv,libraries/BluetoothServices/res
Rename your connected device,values/strings.xml,78,Переименовать подключенное устройство,values-ru/strings.xml,60,device/google/atv,libraries/BluetoothServices/res
HDMI-CEC,values/strings.xml,80,HDMI-CEC,values-ru/strings.xml,61,device/google/atv,libraries/BluetoothServices/res
Enable HDMI-CEC,values/strings.xml,81,Включить HDMI-CEC,values-ru/strings.xml,62,device/google/atv,libraries/BluetoothServices/res
"HDMI-CEC allows you to control and automatically turn on/off other HDMI-CEC enabled devices with a single remote control.\n\nNote: Ensure HDMI-CEC is enabled on your TV and other HDMI devices. Manufacturers often have different names for HDMI-CEC, for example:",values/strings.xml,82,"Устройствами, совместимыми с протоколом HDMI-CEC, можно управлять (в том числе автоматически включать и выключать их) с помощью одного пульта ДУ.\n\nПримечание. Убедитесь, что протокол включен на телевизоре и на других HDMI-устройствах. Разные производители используют для HDMI-CEC разные названия, например:",values-ru/strings.xml,63,device/google/atv,libraries/BluetoothServices/res
Samsung: Anynet+\nLG: SimpLink\nSony: BRAVIA Sync\nPhilips: EasyLink\nSharp: Aquos Link,values/strings.xml,83,Samsung – Anynet+;\nLG – SimpLink;\nSony – BRAVIA Sync;\nPhilips – EasyLink;\nSharp – Aquos Link.,values-ru/strings.xml,64,device/google/atv,libraries/BluetoothServices/res
Set up remote buttons,values/strings.xml,85,Задайте настройки для кнопок на пульте ДУ,values-ru/strings.xml,65,device/google/atv,libraries/BluetoothServices/res
"Control volume, power, input on TVs, receivers and soundbars",values/strings.xml,86,"Управляйте громкостью, питанием и выбирайте источники сигнала на телевизорах, ресиверах и саундбарах",values-ru/strings.xml,66,device/google/atv,libraries/BluetoothServices/res
Battery level: %1$s,values/strings.xml,88,Уровень заряда батареи: %1$s,values-ru/strings.xml,67,device/google/atv,libraries/BluetoothServices/res
Accessories,values/strings.xml,89,Аксессуары,values-ru/strings.xml,68,device/google/atv,libraries/BluetoothServices/res
Remote Control,values/strings.xml,91,Пульт ДУ,values-ru/strings.xml,69,device/google/atv,libraries/BluetoothServices/res
Connected,values/strings.xml,92,Связь установлена,values-ru/strings.xml,70,device/google/atv,libraries/BluetoothServices/res
Previously connected,values/strings.xml,93,Ранее подключенные устройства,values-ru/strings.xml,71,device/google/atv,libraries/BluetoothServices/res
Pair remote or accessory,values/strings.xml,95,Подключить пульт или аксессуар,values-ru/strings.xml,72,device/google/atv,libraries/BluetoothServices/res
Disconnect,values/strings.xml,97,Отключить,values-ru/strings.xml,73,device/google/atv,libraries/BluetoothServices/res
Connect,values/strings.xml,98,Подключить,values-ru/strings.xml,74,device/google/atv,libraries/BluetoothServices/res
Rename,values/strings.xml,99,Переименовать,values-ru/strings.xml,75,device/google/atv,libraries/BluetoothServices/res
Forget,values/strings.xml,100,Удалить,values-ru/strings.xml,76,device/google/atv,libraries/BluetoothServices/res
Connected,values/strings.xml,103,Подключено,values-ru/strings.xml,77,device/google/atv,libraries/BluetoothServices/res
Disconnected,values/strings.xml,105,Отключено,values-ru/strings.xml,78,device/google/atv,libraries/BluetoothServices/res
Device control,values/strings.xml,107,Управление устройствами,values-ru/strings.xml,79,device/google/atv,libraries/BluetoothServices/res
Connect new device,values/strings.xml,109,Подключить новое устройство,values-ru/strings.xml,80,device/google/atv,libraries/BluetoothServices/res
"Before connecting new Bluetooth devices, make sure they're in pairing mode. To connect %1$s, press and hold %2$s + %3$s for 3 seconds.",values/strings.xml,110,"Прежде чем подключать новые устройства Bluetooth, убедитесь, что они находятся в режиме подключения. Чтобы подключить устройство ""%1$s"", нажмите и удерживайте кнопки %2$s + %3$s в течение трех секунд.",values-ru/strings.xml,81,device/google/atv,libraries/BluetoothServices/res
an Android TV remote,values/strings.xml,111,Пульт Android TV,values-ru/strings.xml,82,device/google/atv,libraries/BluetoothServices/res
Available devices,values/strings.xml,112,Доступные устройства,values-ru/strings.xml,83,device/google/atv,libraries/BluetoothServices/res
Looking for devices…,values/strings.xml,113,Поиск устройств…,values-ru/strings.xml,84,device/google/atv,libraries/BluetoothServices/res
Error,values/strings.xml,114,Ошибка,values-ru/strings.xml,85,device/google/atv,libraries/BluetoothServices/res
Connecting…,values/strings.xml,115,Подключение…,values-ru/strings.xml,86,device/google/atv,libraries/BluetoothServices/res
Connected,values/strings.xml,116,Связь установлена,values-ru/strings.xml,87,device/google/atv,libraries/BluetoothServices/res
Cancelled,values/strings.xml,117,Подключение отменено,values-ru/strings.xml,88,device/google/atv,libraries/BluetoothServices/res
%1$s failed to connect,values/strings.xml,119,"Не удалось подключиться к устройству ""%1$s"".",values-ru/strings.xml,89,device/google/atv,libraries/BluetoothServices/res
%1$s connected,values/strings.xml,120,"Устройство ""%1$s"" подключено.",values-ru/strings.xml,90,device/google/atv,libraries/BluetoothServices/res
%1$s disconnected,values/strings.xml,121,"Устройство ""%1$s"" отключено.",values-ru/strings.xml,91,device/google/atv,libraries/BluetoothServices/res
" You have held both the back and down buttons for three seconds to use %1$s.\n\n To enable %1$s now, hold the back and down buttons for three seconds again. Use this shortcut anytime to enable or disable %1$s.\n\n You can adjust your preferences in Settings > System > Accessibility. ",values/strings.xml,21,"Вы удерживали кнопки ""Назад"" и ""Вниз"" в течение трех секунд, чтобы использовать функцию ""%1$s"".\n\n Чтобы включить сервис ""%1$s"", повторите это действие. Используйте сочетание кнопок ""Назад"" и ""Вниз"", чтобы включать и отключать функцию ""%1$s"" в дальнейшем.\n\n Чтобы изменить параметры, выберите ""Настройки > Система > Спец. возможности"".",values-ru/strings.xml,19,device/google/atv,overlay/TvFrameworkOverlay/res
" When the shortcut is on, pressing both the back and down buttons for 3 seconds will start an accessibility feature.\n\n Current accessibility feature:\n %1$s\n\n You can change the feature in Settings > Accessibility. ",values/strings.xml,35,"Чтобы использовать функцию специальных возможностей, когда она включена, нажмите и удерживайте кнопки ""Назад"" и ""Вниз"" в течение трех секунд.\n\nТекущая функция специальных возможностей:\n%1$s\n\nВы можете изменить ее в разделе ""Настройки > Специальные возможности"".",values-ru/strings.xml,20,device/google/atv,overlay/TvFrameworkOverlay/res
 Held back and down buttons. %1$s turned on. ,values/strings.xml,44,"Использовано сочетание кнопок ""Назад"" и ""Вниз"". Функция ""%1$s"" включена.",values-ru/strings.xml,21,device/google/atv,overlay/TvFrameworkOverlay/res
 Held back and down buttons. %1$s turned off. ,values/strings.xml,51,"Использовано сочетание кнопок ""Назад"" и ""Вниз"". Функция ""%1$s"" отключена.",values-ru/strings.xml,22,device/google/atv,overlay/TvFrameworkOverlay/res
" You have held both the back and down buttons for three seconds to use %1$s. To enable %1$s now, hold the back and down buttons for three seconds again. Use this shortcut anytime to enable or disable %1$s. ",values/strings.xml,60,"Вы удерживали кнопки ""Назад"" и ""Вниз"" в течение трех секунд, чтобы использовать функцию ""%1$s"". Чтобы включить ""%1$s"", повторите это действие. Используйте сочетание кнопок ""Назад"" и ""Вниз"", чтобы включать и отключать функцию ""%1$s"" в дальнейшем.",values-ru/strings.xml,23,device/google/atv,overlay/TvFrameworkOverlay/res
" You have held both the back and down buttons for three seconds to use %1$s.\n\n To enable %1$s now, hold the back and down buttons for three seconds again.\n Use this shortcut anytime to enable or disable %1$s.\n\n You can adjust your preferences in Settings > System > Accessibility. ",values/strings.xml,72,"Вы удерживали кнопки ""Назад"" и ""Вниз"" в течение трех секунд, чтобы использовать функцию ""%1$s"".\n\n Чтобы включить сервис ""%1$s"", повторите это действие.\n Используйте сочетание кнопок ""Назад"" и ""Вниз"", чтобы включать и отключать функцию ""%1$s"" в дальнейшем.\n\n Чтобы изменить параметры, выберите ""Настройки > Система > Спец. возможности"".",values-ru/strings.xml,24,device/google/atv,overlay/TvFrameworkOverlay/res
Not now,values/strings.xml,85,Не сейчас,values-ru/strings.xml,25,device/google/atv,overlay/TvFrameworkOverlay/res
Turn on now,values/strings.xml,89,Включить,values-ru/strings.xml,26,device/google/atv,overlay/TvFrameworkOverlay/res
Sprint,values/strings.xml,19,Sprint,values-ru/strings.xml,20,device/google/gs101,overlay-vendor/vendor/google/apps/SetupWizard/res
"The SIM card tray is located on the bottom left edge of your phone.\n\nUse the SIM ejection tool that comes with your phone to eject the tray and insert a nano SIM card.\n\nOnce you insert your SIM card, it may take a few seconds to activate.",values/strings.xml,22,"Лоток для SIM-карты расположен внизу слева на боковой поверхности телефона.\n\nЧтобы извлечь лоток и вставить Nano-SIM, используйте специальный инструмент, поставляемый в комплекте с телефоном.\n\nSIM-карта активируется через несколько секунд после установки.",values-ru/strings.xml,21,device/google/gs101,overlay-vendor/vendor/google/apps/SetupWizard/res
B,values/strings.xml,22,Б,values-ru/strings.xml,23,frameworks/base,core/res/res
%1$s %2$s,values/strings.xml,27,%1$s %2$s,values-ru/strings.xml,24,frameworks/base,core/res/res
<Untitled>,values/strings.xml,31,<Без названия>,values-ru/strings.xml,25,frameworks/base,core/res/res
(No phone number),values/strings.xml,34,(Нет номера телефона),values-ru/strings.xml,26,frameworks/base,core/res/res
Unknown,values/strings.xml,37,Неизвестно,values-ru/strings.xml,27,frameworks/base,core/res/res
Voicemail,values/strings.xml,40,Голосовая почта,values-ru/strings.xml,28,frameworks/base,core/res/res
MSISDN1,values/strings.xml,43,MSISDN1,values-ru/strings.xml,29,frameworks/base,core/res/res
Connection problem or invalid MMI code.,values/strings.xml,48,Неполадки подключения или неверный код MMI.,values-ru/strings.xml,30,frameworks/base,core/res/res
Operation is restricted to fixed dialing numbers only.,values/strings.xml,51,Операция возможна только для разрешенных номеров.,values-ru/strings.xml,31,frameworks/base,core/res/res
Can not change call forwarding settings from your phone while you are roaming.,values/strings.xml,53,"Вы не можете изменить настройки переадресации вызовов, поскольку находитесь в роуминге.",values-ru/strings.xml,32,frameworks/base,core/res/res
Service was enabled.,values/strings.xml,68,Служба включена.,values-ru/strings.xml,33,frameworks/base,core/res/res
Service was enabled for:,values/strings.xml,81,Служба подключена для:,values-ru/strings.xml,34,frameworks/base,core/res/res
Service has been disabled.,values/strings.xml,94,Служба отключена.,values-ru/strings.xml,35,frameworks/base,core/res/res
Registration was successful.,values/strings.xml,108,Регистрация пройдена успешно.,values-ru/strings.xml,36,frameworks/base,core/res/res
Erasure was successful.,values/strings.xml,123,Удаление выполнено успешно.,values-ru/strings.xml,37,frameworks/base,core/res/res
Incorrect password.,values/strings.xml,125,Неверный пароль.,values-ru/strings.xml,38,frameworks/base,core/res/res
MMI complete.,values/strings.xml,127,Запрос MMI завершен.,values-ru/strings.xml,39,frameworks/base,core/res/res
The old PIN you typed isn't correct.,values/strings.xml,129,Прежний PIN-код введен неверно.,values-ru/strings.xml,40,frameworks/base,core/res/res
The PUK you typed isn't correct.,values/strings.xml,131,Введен неверный PUK-код.,values-ru/strings.xml,41,frameworks/base,core/res/res
The PINs you typed don't match.,values/strings.xml,133,Введенные PIN-коды не совпадают.,values-ru/strings.xml,42,frameworks/base,core/res/res
Type a PIN that is 4 to 8 numbers.,values/strings.xml,135,Введите PIN-код (от 4 до 8 цифр).,values-ru/strings.xml,43,frameworks/base,core/res/res
Type a PUK that is 8 numbers or longer.,values/strings.xml,137,Введите PUK-код из 8 или более цифр.,values-ru/strings.xml,44,frameworks/base,core/res/res
Your SIM card is PUK-locked. Type the PUK code to unlock it.,values/strings.xml,140,SIM-карта заблокирована с помощью кода PUK. Для разблокировки введите код PUK.,values-ru/strings.xml,45,frameworks/base,core/res/res
Type PUK2 to unblock SIM card.,values/strings.xml,141,Для разблокировки SIM-карты введите PUK2.,values-ru/strings.xml,46,frameworks/base,core/res/res
"Unsuccessful, enable SIM/RUIM Lock.",values/strings.xml,143,Произошла ошибка. Включите блокировку SIM-карты или карты R-UIM.,values-ru/strings.xml,47,frameworks/base,core/res/res
You have %d remaining attempt before SIM is locked.,values/strings.xml,146,Осталась %d попытка. После этого SIM-карта будет заблокирована.,values-ru/strings.xml,49,frameworks/base,core/res/res
You have %d remaining attempts before SIM is locked.,values/strings.xml,147,Осталось %d попытки. После этого SIM-карта будет заблокирована.,values-ru/strings.xml,50,frameworks/base,core/res/res
You have %d remaining attempts before SIM is locked.,values/strings.xml,147,Осталось %d попыток. После этого SIM-карта будет заблокирована.,values-ru/strings.xml,51,frameworks/base,core/res/res
