Installing system update,values/strings.xml,17,Systemuppdatering installeras,values-sv/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Rensar,values-sv/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Inget kommando,values-sv/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Fel!,values-sv/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Säkerhetsuppdatering installeras,values-sv/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,Det gick inte att läsa in Android-systemet. Data kan ha skadats. Om det här meddelandet visas igen kan du behöva återställa standardinställningarna så att all användardata som sparats på enheten raderas.,values-sv/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Försök igen,values-sv/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Återställ standardinställningarna,values-sv/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Vill du rensa bort all användardata?\n\n DET GÅR INTE ATT ÅNGRA DENNA ÅTGÄRD.,values-sv/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Avbryt,values-sv/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Reserv,values-sv/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Åtgärden stöds inte,values-sv/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Den här åtgärden stöds inte för närvarande.,values-sv/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Inställningar för ANGLE,values-sv/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
