Installing system update,values/strings.xml,17,Inasakinisha sasisho la mfumo,values-sw/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Inafuta,values-sw/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Hakuna amri,values-sw/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Hitilafu fulani imetokea!,values-sw/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Inasakinisha sasisho la usalama,values-sw/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Imeshindwa kupakia mfumo wa Android. Huenda data yako imeharibika. Kama utandelea kupata ujumbe huu, huenda ukahitaji kurejesha data iliyotoka nayo kiwandani na ufute data yote ya mtumiaji iliyohifadhiwa kwenye kifaa hiki.",values-sw/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Jaribu tena,values-sw/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Kurejesha data iliyotoka nayo kiwandani,values-sw/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Ungependa kufuta data yote ya mtumiaji?\n\n KITENDO HIKI HAKIWEZI KUTENDULIWA!,values-sw/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Ghairi,values-sw/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Kimbilio,values-sw/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Kitendo kisichohimiliwa,values-sw/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Kitendo hakihimili kwa sasa.,values-sw/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Mapendeleo ya ANGLE,values-sw/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Badilisha mipangilio ya ANGLE,values-sw/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Jumla,values-sw/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Tumia ANGLE katika programu zote,values-sw/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,Onyesha kidirisha cha mazungumzo inapopakia ANGLE,values-sw/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,Chagua Kiendeshaji cha OpenGL,values-sw/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, michoro",values-sw/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Inatumia ANGLE,values-sw/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,Hakuna programu zinazopatikana,values-sw/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,Hakuna programu zilizosakinisha zinazoweka kutumia ANGLE,values-sw/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
