Installing system update,values/strings.xml,17,Nag-i-install ng pag-update ng system,values-tl/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Binubura,values-tl/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Walang command,values-tl/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Error!,values-tl/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Nag-i-install ng update sa seguridad,values-tl/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Hindi ma-load ang Android system. Maaaring sira ang iyong data. Kung patuloy mong matatanggap ang mensaheng ito, maaaring kailanganin mong magsagawa ng pag-reset ng factory data at burahin ang lahat ng data ng user na naka-store sa device na ito.",values-tl/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Subukang muli,values-tl/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Pag-reset ng factory data,values-tl/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,I-wipe ang lahat ng data ng user?\n\n HINDI ITO MAA-UNDO!,values-tl/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Kanselahin,values-tl/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Fallback,values-tl/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Hindi suportadong pagkilos,values-tl/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Hindi kasalukuyang suportado ang pagkilos na iyon.,values-tl/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,Mga Kagustuhan sa ANGLE,values-tl/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,Baguhin ang mga setting ng ANGLE,values-tl/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,Pangkalahatan,values-tl/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,Gamitin ang ANGLE para sa lahat ng app,values-tl/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,Ipakita ang dialog box kapag na-load ang ANGLE,values-tl/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,Piliin ang OpenGL Driver,values-tl/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, graphics",values-tl/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,Ginagamit ang ANGLE,values-tl/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,Walang available na app,values-tl/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,Walang naka-install na app na puwedeng gumamit ng ANGLE,values-tl/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
" When the shortcut is on, pressing both the back and down buttons for 3 seconds will start an accessibility feature.\n\n Current accessibility feature:\n %1$s\n\n You can change the feature in Settings > Accessibility. ",values/strings.xml,22,"Kapag naka-on ang shortcut, magsisimula ang isang feature ng pagiging accessible kapag pinindot nang sabay ang button na bumalik at button na pababa nang 3 segundo.\n\n Kasalukuyang feature ng pagiging accessible:\n %1$s\n\n Maaari mong baguhin ang feature sa Mga Setting > Pagiging Accessible.",values-tl/strings.xml,19,device/google/atv,overlay/frameworks/base/core/res/res
com.google.android.tv.remote.service,values/config.xml,27,com.google.android.tv.remote.service,values-tl/config.xml,20,device/google/atv,overlay/frameworks/base/packages/SystemUI/res
com.google.android.apps.mediashell,values/config.xml,28,com.google.android.apps.mediashell,values-tl/config.xml,21,device/google/atv,overlay/frameworks/base/packages/SystemUI/res
Hide,values/strings.xml,20,Itago,values-tl/strings.xml,20,device/google/crosshatch,crosshatch/overlay/packages/apps/overlays/NoCutoutOverlay/res
B,values/strings.xml,22,B,values-tl/strings.xml,23,frameworks/base,core/res/res
kB,values/strings.xml,26,kB,values-tl/strings.xml,24,frameworks/base,core/res/res
MB,values/strings.xml,28,MB,values-tl/strings.xml,25,frameworks/base,core/res/res
GB,values/strings.xml,30,GB,values-tl/strings.xml,26,frameworks/base,core/res/res
TB,values/strings.xml,32,TB,values-tl/strings.xml,27,frameworks/base,core/res/res
PB,values/strings.xml,34,PB,values-tl/strings.xml,28,frameworks/base,core/res/res
%1$s %2$s,values/strings.xml,39,%1$s %2$s,values-tl/strings.xml,29,frameworks/base,core/res/res
<Untitled>,values/strings.xml,43,<Walang pamagat>,values-tl/strings.xml,30,frameworks/base,core/res/res
