Installing system update,values/strings.xml,17,Tizim yangilanishi o‘rnatilmoqda,values-uz/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Tozalanmoqda…,values-uz/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Buyruq yo‘q,values-uz/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Xato!,values-uz/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Xavfsizlik yangilanishi o‘rnatilmoqda,values-uz/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Android tizimi yuklanmadi. Maʼlumotlaringiz buzuq shekilli. Yana shu xabarni olsangiz, zavod sozlamalarini tiklashingiz va bu qurilmadagi barcha maʼlumotlarni tozalab tashlashingiz lozim.",values-uz/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Qayta urinish,values-uz/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Zavod sozlamalarini tiklash,values-uz/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Barcha maʼlumotlar tozalab tashlansinmi?\n\n ULARNI TIKLASH IMKONSIZ!,values-uz/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Bekor qilish,values-uz/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Zaxiradagi rejim,values-uz/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Qo‘llab-quvvatlanmaydigan harakat,values-uz/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Ushbu harakat hozirda qo‘llab-quvvatlanmaydi.,values-uz/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,ANGLE sozlamalari,values-uz/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,ANGLE sozlamalarini oʻzgartirish,values-uz/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
