Installing system update,values/strings.xml,17,Đang cài đặt bản cập nhật hệ thống,values-vi/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,Đang xóa,values-vi/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,Không có lệnh nào,values-vi/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,Lỗi!,values-vi/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,Đang cài đặt bản cập nhật bảo mật,values-vi/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,"Không thể tải hệ thống Android. Dữ liệu của bạn có thể bị hỏng. Nếu tiếp tục thấy thông báo này, bạn có thể cần phải thiết lập lại dữ liệu ban đầu và xóa tất cả dữ liệu người dùng lưu trữ trên thiết bị này.",values-vi/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,Thử lại,values-vi/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,Thiết lập lại dữ liệu ban đầu,values-vi/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,Xóa sạch tất cả dữ liệu người dùng?\n\n KHÔNG THỂ HOÀN TÁC THAO TÁC NÀY!,values-vi/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,Hủy,values-vi/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,Dự phòng,values-vi/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,Tác vụ không được hỗ trợ,values-vi/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,Tác vụ đó hiện không được hỗ trợ.,values-vi/strings.xml,21,development,apps/Fallback/res
