Installing system update,values/strings.xml,17,正在安装系统更新,values-zh-rCN/strings.xml,4,bootable/recovery,tools/recovery_l10n/res
Erasing,values/strings.xml,22,正在清空,values-zh-rCN/strings.xml,5,bootable/recovery,tools/recovery_l10n/res
No command,values/strings.xml,28,无命令,values-zh-rCN/strings.xml,6,bootable/recovery,tools/recovery_l10n/res
Error!,values/strings.xml,33,出错了！,values-zh-rCN/strings.xml,7,bootable/recovery,tools/recovery_l10n/res
Installing security update,values/strings.xml,37,正在安装安全更新,values-zh-rCN/strings.xml,8,bootable/recovery,tools/recovery_l10n/res
"Cannot load Android system. Your data may be corrupt. If you continue to get this message, you may need to perform a factory data reset and erase all user data stored on this device.",values/strings.xml,42,无法加载 Android 系统。您的数据可能已损坏。如果系统仍然显示这条消息，您可能需要恢复出厂设置，并清空存储在此设备上的所有用户数据。,values-zh-rCN/strings.xml,9,bootable/recovery,tools/recovery_l10n/res
Try again,values/strings.xml,51,重试,values-zh-rCN/strings.xml,10,bootable/recovery,tools/recovery_l10n/res
Factory data reset,values/strings.xml,57,恢复出厂设置,values-zh-rCN/strings.xml,11,bootable/recovery,tools/recovery_l10n/res
Wipe all user data?\n\n THIS CAN NOT BE UNDONE!,values/strings.xml,62,是否清除所有用户数据？\n\n此操作无法撤消！,values-zh-rCN/strings.xml,12,bootable/recovery,tools/recovery_l10n/res
Cancel,values/strings.xml,69,取消,values-zh-rCN/strings.xml,13,bootable/recovery,tools/recovery_l10n/res
Fallback,values/strings.xml,20,后备,values-zh-rCN/strings.xml,19,development,apps/Fallback/res
Unsupported action,values/strings.xml,22,不支持此操作,values-zh-rCN/strings.xml,20,development,apps/Fallback/res
That action is not currently supported.,values/strings.xml,24,目前不支持该操作。,values-zh-rCN/strings.xml,21,development,apps/Fallback/res
ANGLE Preferences,values/strings.xml,20,ANGLE 偏好设置,values-zh-rCN/strings.xml,20,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Modify ANGLE settings,values/strings.xml,24,修改 ANGLE 设置,values-zh-rCN/strings.xml,21,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
General,values/strings.xml,27,一般,values-zh-rCN/strings.xml,22,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Use ANGLE for all apps,values/strings.xml,32,针对所有应用使用 ANGLE,values-zh-rCN/strings.xml,23,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Show dialog box when ANGLE is loaded,values/strings.xml,37,加载 ANGLE 后显示对话框,values-zh-rCN/strings.xml,24,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Select OpenGL Driver,values/strings.xml,40,选择 OpenGL 驱动程序,values-zh-rCN/strings.xml,25,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
"angle, opengl, graphics",values/strings.xml,44,"angle, opengl, 图形",values-zh-rCN/strings.xml,26,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Using ANGLE,values/strings.xml,48,使用 ANGLE,values-zh-rCN/strings.xml,27,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No available apps,values/strings.xml,51,没有可用的应用,values-zh-rCN/strings.xml,28,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
No apps installed that can use ANGLE,values/strings.xml,54,您没有安装可以使用 ANGLE 的应用,values-zh-rCN/strings.xml,29,device/generic/vulkan-cereal,third-party/angle/src/android_system_settings/res
Activity Stub,values/strings.xml,5,Activity Stub,values-zh-rCN/strings.xml,4,device/google/atv,FrameworkPackageStubs/res
You don't have an app that can do this,values/strings.xml,8,您没有可执行此操作的应用,values-zh-rCN/strings.xml,5,device/google/atv,FrameworkPackageStubs/res
None,values/strings.xml,11,无,values-zh-rCN/strings.xml,6,device/google/atv,FrameworkPackageStubs/res
N/A,values/strings.xml,19,不适用,values-zh-rCN/strings.xml,19,device/google/atv,libraries/BluetoothServices/res
Critical,values/strings.xml,20,严重不足,values-zh-rCN/strings.xml,20,device/google/atv,libraries/BluetoothServices/res
Low,values/strings.xml,21,低,values-zh-rCN/strings.xml,21,device/google/atv,libraries/BluetoothServices/res
Good,values/strings.xml,22,充足,values-zh-rCN/strings.xml,22,device/google/atv,libraries/BluetoothServices/res
Confirm remote update,values/strings.xml,24,确认遥控器更新,values-zh-rCN/strings.xml,23,device/google/atv,libraries/BluetoothServices/res
During the update your remote may briefly disconnect.,values/strings.xml,25,在更新过程中，您的遥控器可能会暂时断开连接。,values-zh-rCN/strings.xml,24,device/google/atv,libraries/BluetoothServices/res
Continue,values/strings.xml,27,继续,values-zh-rCN/strings.xml,25,device/google/atv,libraries/BluetoothServices/res
Cancel,values/strings.xml,28,取消,values-zh-rCN/strings.xml,26,device/google/atv,libraries/BluetoothServices/res
Remote update,values/strings.xml,30,遥控器更新,values-zh-rCN/strings.xml,27,device/google/atv,libraries/BluetoothServices/res
New software available,values/strings.xml,31,有可用的新软件,values-zh-rCN/strings.xml,28,device/google/atv,libraries/BluetoothServices/res
Update available,values/strings.xml,32,有可用的更新,values-zh-rCN/strings.xml,29,device/google/atv,libraries/BluetoothServices/res
Remote is up to date,values/strings.xml,33,遥控器已是最新版本,values-zh-rCN/strings.xml,30,device/google/atv,libraries/BluetoothServices/res
Remote update failed,values/strings.xml,34,遥控器更新失败,values-zh-rCN/strings.xml,31,device/google/atv,libraries/BluetoothServices/res
We experienced an issue while updating your remote. Please try again.,values/strings.xml,35,更新您的遥控器时出现问题。请重试。,values-zh-rCN/strings.xml,32,device/google/atv,libraries/BluetoothServices/res
Please wait,values/strings.xml,36,请稍候,values-zh-rCN/strings.xml,33,device/google/atv,libraries/BluetoothServices/res
Pair your remote again,values/strings.xml,37,重新配对遥控器,values-zh-rCN/strings.xml,34,device/google/atv,libraries/BluetoothServices/res
Enabled,values/strings.xml,39,已启用,values-zh-rCN/strings.xml,35,device/google/atv,libraries/BluetoothServices/res
Disabled,values/strings.xml,40,已停用,values-zh-rCN/strings.xml,36,device/google/atv,libraries/BluetoothServices/res
Battery level,values/strings.xml,42,电池电量,values-zh-rCN/strings.xml,37,device/google/atv,libraries/BluetoothServices/res
%1$d%%,values/strings.xml,44,%1$d%%,values-zh-rCN/strings.xml,38,device/google/atv,libraries/BluetoothServices/res
Firmware,values/strings.xml,45,固件,values-zh-rCN/strings.xml,39,device/google/atv,libraries/BluetoothServices/res
Bluetooth address,values/strings.xml,46,蓝牙地址,values-zh-rCN/strings.xml,40,device/google/atv,libraries/BluetoothServices/res
Please replace battery,values/strings.xml,48,请更换电池,values-zh-rCN/strings.xml,41,device/google/atv,libraries/BluetoothServices/res
Low battery,values/strings.xml,49,电量不足,values-zh-rCN/strings.xml,42,device/google/atv,libraries/BluetoothServices/res
Connected Devices,values/strings.xml,52,已连接的设备,values-zh-rCN/strings.xml,43,device/google/atv,libraries/BluetoothServices/res
Remotes & Accessories,values/strings.xml,54,遥控器和配件,values-zh-rCN/strings.xml,44,device/google/atv,libraries/BluetoothServices/res
Update your remote,values/strings.xml,56,更新您的遥控器,values-zh-rCN/strings.xml,45,device/google/atv,libraries/BluetoothServices/res
Ready to install,values/strings.xml,57,可以安装了,values-zh-rCN/strings.xml,46,device/google/atv,libraries/BluetoothServices/res
UPDATE,values/strings.xml,58,更新,values-zh-rCN/strings.xml,47,device/google/atv,libraries/BluetoothServices/res
DISMISS,values/strings.xml,59,关闭,values-zh-rCN/strings.xml,48,device/google/atv,libraries/BluetoothServices/res
Remote battery low,values/strings.xml,63,遥控器电池电量低,values-zh-rCN/strings.xml,49,device/google/atv,libraries/BluetoothServices/res
Replace battery soon,values/strings.xml,64,请尽快更换电池,values-zh-rCN/strings.xml,50,device/google/atv,libraries/BluetoothServices/res
