Disk Usage Analyzer,23,Skyfgebruik,24,baobab,po/af.po
Check folder sizes and available disk space,27,Kontroleer gidsgroottes en beskikbare skyfspasie,28,baobab,po/af.po
A simple application to keep your disk usage and available space under control.,31,'n Eenvoudige toepassing om u skyfgebruik en beskikbare spasie onder beheer te hou.,34,baobab,po/af.po
"Disk Usage Analyzer can scan specific folders, storage devices and online accounts. It provides both a tree and a graphical representation showing the size of each folder, making it easy to identify where disk space is wasted.",39,"Skyfgebruik kan spesifieke gidse, stoortoestelle en aanlynrekeninge skandeer. Dit bied 'n boom en 'n grafiese voorstelling wat die grootte van elke gids aandui, wat dit maklik maak om te identifiseer waar skyfspasie vermors word.",43,baobab,po/af.po
The GNOME Project,50,Die GNOME Projek,51,baobab,po/af.po
storage;space;cleanup;,55,stoor;spasie;skoonmaak;,56,baobab,po/af.po
Excluded partitions URIs,64,Uitgesluite partisies URIs,65,baobab,po/af.po
A list of URIs for partitions to be excluded from scanning.,68,'n lys URIs vir partisies wat nie geskandeer word nie.,69,baobab,po/af.po
Active Chart,72,Aktiewe grafiek,73,baobab,po/af.po
Which type of chart should be displayed.,76,Watter tipe grafiek moet vertoon word.,77,baobab,po/af.po
Window size,80,Venstergrootte,81,baobab,po/af.po
The initial size of the window,84,Die oorspronklike grootte van die venster,85,baobab,po/af.po
Window state,88,Vensterstaat,89,baobab,po/af.po
The GdkWindowState of the window,92,Die GdkWindowState van die venster,93,baobab,po/af.po
Print version information and exit,96,Druk weergawe-inligting en sluit af,97,baobab,po/af.po
%d item,101,%d items,104,baobab,po/af.po
Unknown,108,Onbekend,109,baobab,po/af.po
Today,113,Vandag,114,baobab,po/af.po
%lu day,119,%lu dag,121,baobab,po/af.po
%lu day,119,%lu dae,122,baobab,po/af.po
%lu month,127,%lu maand,129,baobab,po/af.po
%lu month,127,%lu maande,130,baobab,po/af.po
%lu year,135,%lu jaar,137,baobab,po/af.po
%lu year,135,%lu jare,138,baobab,po/af.po
This Computer,141,Die rekenaar,142,baobab,po/af.po
Remote Locations,145,Afgeleë liggings,146,baobab,po/af.po
%s Total,150,%s Totaal,151,baobab,po/af.po
%s Available,155,%s Beskikbaar,156,baobab,po/af.po
%s Used,162,%s Gebruik,163,baobab,po/af.po
Unmounted,166,Ontkoppel,167,baobab,po/af.po
Home folder,170,Tuisgids,171,baobab,po/af.po
Computer,174,Rekenaar,175,baobab,po/af.po
_Open Folder,178,_Open gids,179,baobab,po/af.po
_Copy Path to Clipboard,182,_Kopieer pad na knipbord,183,baobab,po/af.po
Mo_ve to Trash,186,_Skuif na asblik,187,baobab,po/af.po
Scan Folder…,190,Skandeer gids…,191,baobab,po/af.po
Close,194,Sluit,195,baobab,po/af.po
Folder,198,Gids,199,baobab,po/af.po
Size,202,Grootte,203,baobab,po/af.po
Contents,206,Inhoud,207,baobab,po/af.po
Modified,210,Verander,211,baobab,po/af.po
Rings Chart,214,Ring grafiek,215,baobab,po/af.po
Treemap Chart,218,Boomkaart grafiek,219,baobab,po/af.po
Select Folder,222,Kies gids,223,baobab,po/af.po
_Cancel,226,_Kanselleer,227,baobab,po/af.po
Recursively analyze mount points,234,Ontleed hegpunte herhaaldelik,235,baobab,po/af.po
Could not analyze volume.,238,Kon nie volume analiseer nie.,239,baobab,po/af.po
Failed to show help,242,Kon nie hulp vertoon nie,243,baobab,po/af.po
Baobab,246,Kremetart,247,baobab,po/af.po
A graphical tool to analyze disk usage.,250,'n Grafiese program om skyfgebruik mee te analiseer.,251,baobab,po/af.po
Failed to open file,260,Kon nie die lêer oopmaak nie,261,baobab,po/af.po
Failed to move file to the trash,264,Kon nie die lêer na die asblik skuif nie,265,baobab,po/af.po
Devices & Locations,268,Toestelle en Liggings,269,baobab,po/af.po
Could not scan folder “%s”,273,"Kon nie gids \""%s\"" skandeer nie",274,baobab,po/af.po
Could not scan some of the folders contained in “%s”,278,"Kon nie van die gidse in \""%s\"" skandeer nie",279,baobab,po/af.po
Could not detect occupied disk sizes.,282,Kon nie besette skyfgroottes opspoor nie.,283,baobab,po/af.po
Apparent sizes are shown instead.,286,In plaas daarvan word skynbare groottes vertoon.,287,baobab,po/af.po
“%s” is not a valid folder,292,"\""%s\"" is nie 'n geldige gids nie",293,baobab,po/af.po
Could not analyze disk usage.,296,Kon nie skyfgebruik analiseer nie.,297,baobab,po/af.po
_Help,300,_Hulp,301,baobab,po/af.po
_About,304,_Aangaande,305,baobab,po/af.po
_Quit,308,_Sluit af,309,baobab,po/af.po
Go to _parent folder,312,Gaan na _ouer gids,313,baobab,po/af.po
Zoom _in,316,Zoem _in,317,baobab,po/af.po
Zoom _out,320,Zoem _uit,321,baobab,po/af.po
Photo mode,25,Fotomodus,26,cheese,po/af.po
Photo,29,Foto,30,cheese,po/af.po
Video mode,33,Videomodus,34,cheese,po/af.po
Photo burst mode,41,Fotosarsiemodus,42,cheese,po/af.po
Burst,45,Sarsie,46,cheese,po/af.po
Take a photo using a webcam,49,Neem 'n foto met die webkamera,50,cheese,po/af.po
Navigate to the previous page of effects,53,Navigeer na die vorige effekte bladsy,54,cheese,po/af.po
Effects,57,Effekte,58,cheese,po/af.po
_Effects,61,_Effekte,62,cheese,po/af.po
Navigate to the next page of effects,65,Navigeer na die volgende effekte bladsy,66,cheese,po/af.po
Leave fullscreen mode and go back to windowed mode,69,Verlaat volskermmodus en gaan terug na venstermodus,70,cheese,po/af.po
Preferences,73,Voorkeure,74,cheese,po/af.po
_Help,77,_Hulp,78,cheese,po/af.po
_Close,81,_Sluit,82,cheese,po/af.po
Device,85,Toestel,86,cheese,po/af.po
Photo resolution,89,Fotoresolusie,90,cheese,po/af.po
Video resolution,93,Videoresolusie,94,cheese,po/af.po
Webcam,98,Webkamera,99,cheese,po/af.po
Brightness,102,Helderheid,103,cheese,po/af.po
Saturation,106,Versadiging,107,cheese,po/af.po
Hue,110,Tint,111,cheese,po/af.po
Contrast,114,Kontras,115,cheese,po/af.po
Image,118,Beeld,119,cheese,po/af.po
Shutter,122,Sluiter,123,cheese,po/af.po
_Countdown,126,_Aftel,127,cheese,po/af.po
Fire _flash,130,Gebruik _flits,131,cheese,po/af.po
Burst mode,134,Sarsiemodus,135,cheese,po/af.po
Number of photos,138,Aantal foto's,139,cheese,po/af.po
Delay between photos (seconds),142,Vertraging tussen foto's (sekondes),143,cheese,po/af.po
Capture,146,Afneem,147,cheese,po/af.po
Take a Photo,151,Neem 'n foto,152,cheese,po/af.po
_Fullscreen,155,_Volskerm,156,cheese,po/af.po
P_references,159,_Voorkeure,160,cheese,po/af.po
_About,163,_Aangaande,164,cheese,po/af.po
_Quit,167,_Sluit af,168,cheese,po/af.po
Save _As…,175,Stoor _As…,176,cheese,po/af.po
Move to _Trash,179,Skuif na _asblik,180,cheese,po/af.po
Delete,183,Skrap,184,cheese,po/af.po
"Take photos and videos with your webcam, with fun graphical effects",196,"Neem foto's en video's met die webkamera, met oulike grafiese effekte",197,cheese,po/af.po
"Cheese uses your webcam to take photos and videos, applies fancy special effects and lets you share the fun with others.",200,"Cheese gebruik jou webkamera om fotos en videos te neem, pas grafiese effekte toe en laat jou toe om die genot met ander te deel.",203,cheese,po/af.po
"Take multiple photos in quick succession with burst mode. Use the countdown to give yourself time to strike a pose, and wait for the flash!",208,"Neem baie fotos vinnig na mekaar met sarsiemodus. Gebruik die stophorlosie om jouself tyd te gee om reg te maak vir die foto, en wag vir die flits!",211,cheese,po/af.po
