Enable or disable system networking,24,চিস্টেম নেটৱাৰ্কিং সামৰ্থবান অথবা অসামৰ্থবান কৰক,25,NetworkManager,po/as.po
System policy prevents enabling or disabling system networking,28,চিস্টেম নীতিয়ে চিস্টেম নেটৱাৰ্কিং সামৰ্থবান অথবা অসামৰ্থবান কৰাটো প্ৰতিৰোধ কৰে,29,NetworkManager,po/as.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),44,NetworkManager ক নিদ্ৰা দিয়ক অথবা ইয়াক সাৰ পোৱাওক (কেৱল চিস্টেম শক্তি ব্যৱস্থাপনা দ্বাৰা ব্যৱহাৰ হব লাগিব),47,NetworkManager,po/as.po
System policy prevents putting NetworkManager to sleep or waking it up,52,চিস্টেম নীতিয়ে NetworkManager ক নিদ্ৰা দিয়াত অথবা ইয়াক সাৰ পোৱাৰ পৰা প্ৰতিৰোধ কৰে,53,NetworkManager,po/as.po
Enable or disable Wi-Fi devices,58,Wi-Fi ডিভাইচসমূহ সামৰ্থবান অথবা অসামৰ্থবান কৰক,59,NetworkManager,po/as.po
System policy prevents enabling or disabling Wi-Fi devices,62,চিস্টেম নীতিয়ে Wi-Fi ডিভাইচসমূহ সামৰ্থবান অথবা অসামৰ্থবান কৰাটো প্ৰতিৰোধ কৰে,63,NetworkManager,po/as.po
Enable or disable mobile broadband devices,67,ম'বাইল ব্ৰডবেণ্ড ডিভাইচসমূহ সামৰ্থবান অথবা অসামৰ্থবান কৰক,68,NetworkManager,po/as.po
System policy prevents enabling or disabling mobile broadband devices,71,চিস্টেম নীতিয়ে ম'বাইল বৰ্ডবেণ্ড ডিভাইচসমূহ সামৰ্থবান অথবা অসামৰ্থবান কৰাটো প্ৰতিৰোধ কৰে,72,NetworkManager,po/as.po
Enable or disable WiMAX mobile broadband devices,77,WiMAX ম'বাইল ব্ৰডবেণ্ড ডিভাইচসমূহ সামৰ্থবান অথবা অসামৰ্থবান কৰক,78,NetworkManager,po/as.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,81,চিস্টেম নীতিয়ে WiMAX ম'বাইল বৰ্ডবেণ্ড ডিভাইচসমূহ সামৰ্থবান অথবা অসামৰ্থবান কৰাটো প্ৰতিৰোধ কৰে,83,NetworkManager,po/as.po
Allow control of network connections,88,নেটৱৰ্ক সংযোগসমূহৰ নিয়ন্ত্ৰণৰ অনুমতি দিয়ক,89,NetworkManager,po/as.po
System policy prevents control of network connections,92,চিস্টেম নীতিয়ে নেটৱৰ্ক সংযোগসমূহৰ নিয়ন্ত্ৰণ প্ৰতিৰোধ কৰে,93,NetworkManager,po/as.po
Connection sharing via a protected Wi-Fi network,107,এটা সুৰক্ষিত Wi-Fi নেটৱৰ্কৰে সংযোগ অংশীদাৰী,108,NetworkManager,po/as.po
System policy prevents sharing connections via a protected Wi-Fi network,111,চিস্টেম নীতিয়ে এটা সুৰক্ষিত Wi-Fi নেটৱৰ্কৰে সংযোগসমূহৰ অংশীদাৰী প্ৰতিৰোধ কৰে,113,NetworkManager,po/as.po
Connection sharing via an open Wi-Fi network,116,এটা মুক্ত Wi-Fi নেটৱৰ্কৰে সংযোগৰ অংশীদাৰী,117,NetworkManager,po/as.po
System policy prevents sharing connections via an open Wi-Fi network,120,চিস্টেম নীতিয়ে এটা মুক্ত Wi-Fi নেটৱৰ্কৰে সংযোগসমূহৰ অংশীদাৰী প্ৰতিৰোধ কৰে,121,NetworkManager,po/as.po
Modify personal network connections,124,ব্যক্তিগত নেটৱৰ্ক সংযোগসমূহ পৰিবৰ্তন কৰক,125,NetworkManager,po/as.po
System policy prevents modification of personal network settings,128,চিস্টেম নীতিয়ে ব্যক্তিগত নেটৱৰ্ক সংহতিসমূহৰ পৰিবৰ্তন প্ৰতিৰোধ কৰে,129,NetworkManager,po/as.po
Modify network connections for all users,132,সকলো ব্যৱহাৰকাৰীৰ বাবে নেটৱৰ্ক সংযোগসমূহ পৰিবৰ্তন কৰক,133,NetworkManager,po/as.po
System policy prevents modification of network settings for all users,136,চিস্টেম নীতিয়ে সকলো ব্যৱহাৰকাৰীৰ বাবে নেটৱৰ্ক সংহতিসমূহৰ পৰিবৰ্তন প্ৰতিৰোধ কৰে,137,NetworkManager,po/as.po
Modify persistent system hostname,141,স্থায়ী চিস্টেম হস্টনাম পৰিবৰ্তন কৰক,142,NetworkManager,po/as.po
System policy prevents modification of the persistent system hostname,145,চিস্টেম নীতিয়ে স্থায়ী চিস্টেম হস্টনামৰ পৰিবৰ্তন প্ৰতিৰোধ কৰে,146,NetworkManager,po/as.po
ADSL connection,202,ADSL সংযোগ,203,NetworkManager,po/as.po
%s Network,207,%s নেটৱৰ্ক,208,NetworkManager,po/as.po
PAN connection,219,PAN সংযোগ,220,NetworkManager,po/as.po
GSM connection,232,GSM সংযোগ,233,NetworkManager,po/as.po
CDMA connection,237,CDMA সংযোগ,238,NetworkManager,po/as.po
Bond connection,255,বান্ধনী সংযোগ,256,NetworkManager,po/as.po
Bridge connection,259,ব্ৰিজ সংযোগ,260,NetworkManager,po/as.po
Wired connection %d,269,তাঁৰযুক্ত সংযোগ %d,270,NetworkManager,po/as.po
PPPoE connection,279,PPPoE সংযোগ,280,NetworkManager,po/as.po
Wired connection,283,তাঁৰযুক্ত সংযোগ,284,NetworkManager,po/as.po
InfiniBand connection,288,InfiniBand সংযোগ,289,NetworkManager,po/as.po
VLAN connection,308,VLAN সংযোগ,309,NetworkManager,po/as.po
Team connection,329,দল সংযোগ,330,NetworkManager,po/as.po
Mesh,334,মেশ্ব,335,NetworkManager,po/as.po
# Created by NetworkManager\n,490,# NetworkManager দ্বাৰা সৃষ্টি কৰা\n,491,NetworkManager,po/as.po
# Merged from %s\n\n,495,# %s ৰ পৰা একত্ৰিত কৰা\n\n,498,NetworkManager,po/as.po
Opening %s failed: %s\n,504,%s খোলিবলে ব্যৰ্থ: %s\n,505,NetworkManager,po/as.po
Writing to %s failed: %s\n,509,%s লে লিখা ব্যৰ্থ হল: %s\n,510,NetworkManager,po/as.po
Closing %s failed: %s\n,514,%s বন্ধ কৰা ব্যৰ্থ হল: %s\n,515,NetworkManager,po/as.po
%s.  Please use --help to see a list of valid options.\n,529,%s।  বৈধ বিকল্পসমূহৰ এটা তালিকা চাবলে অনুগ্ৰহ কৰি --help ব্যৱহাৰ কৰক।\n,530,NetworkManager,po/as.po
Print NetworkManager version and exit,538,NetworkManager সংস্কৰণ প্ৰিণ্ট কৰি প্ৰস্থান কৰক,539,NetworkManager,po/as.po
Don't become a daemon,542,এটা ডিমন নহব,543,NetworkManager,po/as.po
Log level: one of [%s],547,লগ স্তৰ: [%s] ৰ এটা,548,NetworkManager,po/as.po
"Log domains separated by ',': any combination of [%s]",552,"',' দ্বাৰা পৃথকিত লগ ডমেইনসমূহ: [%s] ৰ যিকোনো সংযুক্তি",553,NetworkManager,po/as.po
Make all warnings fatal,556,সকলো সতৰ্কবাৰ্তা মাৰাত্মক কৰক,557,NetworkManager,po/as.po
Specify the location of a PID file,560,এটা PID ফাইলৰ অৱস্থান ধাৰ্য্য কৰক,561,NetworkManager,po/as.po
NetworkManager monitors all network connections and automatically\nchooses the best connection to use.  It also allows the user to\nspecify wireless access points which wireless cards in the computer\nshould associate with.,569,NetworkManager এ সকলো নেটৱৰ্ক সংযোগ পৰ্যবেক্ষণ কৰে আৰু স্বচালিতভাৱে\nব্যৱহাৰ কৰিবলে সৰ্বোত্তম সংযোগ নিৰ্বাচন কৰে।  ই লগতে ব্যৱহাৰকাৰীজনক\nকমপিউটাৰত থকা বেতাঁৰ কাৰ্ডসমূহ সংযুক্ত হব লগিয়া বেতাঁৰ অভিগম বিন্দু ধাৰ্য্য কৰাৰ অনুমতি দিয়ে।,574,NetworkManager,po/as.po
Could not daemonize: %s [error %u]\n,582,ডিমনাইজ কৰিব পৰা নগল: %s [error %u]\n,583,NetworkManager,po/as.po
'%s' is not valid,590,'%s' বৈধ নহয়,591,NetworkManager,po/as.po
Config file location,599,Config ফাইলৰ অৱস্থান,600,NetworkManager,po/as.po
Config directory location,603,Config ডাইৰেকটৰি অৱস্থান,604,NetworkManager,po/as.po
State file location,617,ফাইলৰ অৱস্থান দেখুৱাওক,618,NetworkManager,po/as.po
"List of plugins separated by ','",625,"',' দ্বাৰা পৃথকিত প্লাগিনসমূহৰ তালিকা",626,NetworkManager,po/as.po
"Don't become a daemon, and log to stderr",634,"এটা ডিমন হৈ, stderr লৈ লগ নকৰিব",635,NetworkManager,po/as.po
An http(s) address for checking internet connectivity,638,ইণ্টাৰনেট সংযোগ নিৰীক্ষণ কৰিবলে এটা http(s) ঠিকনা,639,NetworkManager,po/as.po
The interval between connectivity checks (in seconds),642,সংযোগ নিৰীক্ষণৰ মাজৰ অন্তৰাল (ছেকেণ্ডত),643,NetworkManager,po/as.po
The expected start of the response,646,প্ৰতিক্ৰিয়াৰ প্ৰত্যাশিত আৰম্ভণি,647,NetworkManager,po/as.po
VPN connection,661,VPN সংযোগ,662,NetworkManager,po/as.po
Bond,668,বান্ধনী,669,NetworkManager,po/as.po
Team,675,দল,676,NetworkManager,po/as.po
Bridge,682,ব্ৰিজ,683,NetworkManager,po/as.po
Ethernet,915,ইথাৰনেট,916,NetworkManager,po/as.po
Bluetooth,923,ব্লুটুথ,924,NetworkManager,po/as.po
OLPC Mesh,927,OLPC মেশ,928,NetworkManager,po/as.po
Mobile Broadband,947,ম'বাইল ব্ৰ'ডবেণ্ড,948,NetworkManager,po/as.po
Unknown,1029,অজ্ঞাত,1030,NetworkManager,po/as.po
Wired,1033,তাঁৰযুক্ত,1034,NetworkManager,po/as.po
No service name specified,1074,কোনো সেৱা নাম ধাৰ্য্য কৰা হোৱা নাই,1075,NetworkManager,po/as.po
Unexpected failure to normalize the connection,1184,সংযোগ স্বাভাৱিক কৰিবলৈ অপ্ৰত্যাশিত ব্যৰ্থতা,1185,NetworkManager,po/as.po
Unexpected failure to verify the connection,1188,সংযোগ সত্যাপন কৰিবলৈ অপ্ৰত্যাশিত ব্যৰ্থতা,1189,NetworkManager,po/as.po
property is missing,1219,বৈশিষ্ট্য সন্ধানহীন,1220,NetworkManager,po/as.po
'%s' value doesn't match '%s=%s',1487,'%s' মান '%s=%s' ৰ সৈতে মিল নাখায়,1488,NetworkManager,po/as.po
'%s' is neither an UUID nor an interface name,1497,'%s' এটা UUID অথবা এটা আন্তঃপৃষ্ঠ নাম নহয়,1498,NetworkManager,po/as.po
CA certificate must be in X.509 format,1535,CA প্ৰমাণপত্ৰ X.509 বিন্যাসত হব লাগিব,1536,NetworkManager,po/as.po
invalid certificate format,1539,অবৈধ প্ৰমাণপত্ৰ বিন্যাস,1540,NetworkManager,po/as.po
property is empty,1571,বৈশিষ্ট্য ৰিক্ত,1572,NetworkManager,po/as.po
has to match '%s' property for PKCS#12,1576,PKCS#12 ৰ বাবে '%s' বৈশিষ্ট্য মিল খাব লাগিব,1577,NetworkManager,po/as.po
property is invalid,1613,বৈশিষ্ট্য অবৈধ,1614,NetworkManager,po/as.po
'%s' is not a valid value for the property,1626,'%s' বৈশিষ্ট্যৰ বাবে এটা বৈধ মান নহয়,1627,NetworkManager,po/as.po
'%s' option is empty,1661,'%s' বিকল্প ৰিক্ত,1662,NetworkManager,po/as.po
'%s' is not a valid IPv4 address for '%s' option,1666,'%s' বিকল্পৰ বাবে '%s' এটা বৈধ IPv4 ঠিকনা নহয়,1667,NetworkManager,po/as.po
mandatory option '%s' is missing,1686,বাধ্যতামূলক বিকল্প '%s' সন্ধানহীন,1687,NetworkManager,po/as.po
'%s' is not a valid value for '%s',1691,'%s' ৰ বাবে '%s' এটা বৈধ মান নহয়,1692,NetworkManager,po/as.po
'%s=%s' is incompatible with '%s > 0',1696,'%s > 0' ৰ সৈতে '%s=%s' সংগত নহয়,1697,NetworkManager,po/as.po
'%s' option is only valid for '%s=%s',1706,'%s' বিকল্প কেৱল '%s=%s' ৰ বাবে বৈধ,1707,NetworkManager,po/as.po
'%s=%s' is not a valid configuration for '%s',1711,'%s' ৰ বাবে '%s=%s' এটা বৈধ সংৰূপ নহয়,1712,NetworkManager,po/as.po
'%s' option requires '%s' option to be set,1729,'%s' বিকল্পৰ সংহতি হবলৈ '%s' বিকল্প সংহতি কৰা হব লাগিব,1730,NetworkManager,po/as.po
'%s' option is only valid with mode '%s',1734,'%s' বিকল্প কেৱল '%s' অৱস্থাৰ সৈতে বৈধ,1735,NetworkManager,po/as.po
A connection with a '%s' setting must have the slave-type set to '%s'. Instead it is '%s',1757,এটা '%s' সংহতিৰ সৈতে এটা সংযোগৰ স্লেইভ-ধৰণ '%s' হব লাগিব। কিন্তু ই '%s',1760,NetworkManager,po/as.po
value '%d' is out of range <%d-%d>,1764,মান '%d' বিস্তাৰৰ বাহিৰ <%d-%d>,1765,NetworkManager,po/as.po
is not a valid MAC address,1768,এটা বৈধ MAC ঠিকনা নহয়,1769,NetworkManager,po/as.po
Unknown slave type '%s',1802,অজ্ঞাত স্লেইভ ধৰণ '%s',1803,NetworkManager,po/as.po
'%s' is not a valid UUID,1817,'%s' এটা বৈধ UUID নহয়,1818,NetworkManager,po/as.po
connection type '%s' is not valid,1822,সংযোগ ধৰণ '%s' বৈধ নহয়,1823,NetworkManager,po/as.po
property type should be set to '%s',1859,বৈশিষ্ট্য ধৰণ '%s' লৈ সংহতি কৰিব লাগিব,1860,NetworkManager,po/as.po
slave-type '%s' requires a '%s' setting in the connection,1864,slave-type '%s' ৰ সংযোগত এটা '%s' সংহতিৰ প্ৰয়োজন,1865,NetworkManager,po/as.po
flags invalid,1884,ফ্লেগসমূহ অবৈধ,1885,NetworkManager,po/as.po
flags invalid - disabled,1888,ফ্লেগসমূহ অবৈধ - অসামৰ্থবান,1889,NetworkManager,po/as.po
property invalid (not enabled),1893,বৈশিষ্ট্য অবৈধ (সামৰ্থবান নহয়),1894,NetworkManager,po/as.po
element invalid,1897,উপাদান অবৈধ,1898,NetworkManager,po/as.po
sum not 100%,1901,ঘোগফল ১০০% নহয়,1902,NetworkManager,po/as.po
property invalid,1906,বৈশিষ্ট্য অবৈধ,1907,NetworkManager,po/as.po
property value '%s' is empty or too long (>64),1933,বৈশিষ্ট্য মান '%s' ৰিক্ত অথবা অতি দীঘল (>64),1934,NetworkManager,po/as.po
'%s' contains invalid char(s) (use [A-Za-z._-]),1938,'%s' এ অবৈধ আখৰ(সমূহ) অন্তৰ্ভুক্ত কৰে ([A-Za-z._-] ব্যৱহাৰ কৰক),1939,NetworkManager,po/as.po
'%s' length is invalid (should be 5 or 6 digits),1943,'%s'  দৈৰ্ঘ্য অবৈধ (৫ অথবা ৬ ডিজিট হব লাগিব),1944,NetworkManager,po/as.po
'%s' is not a number,1948,'%s' এটা সংখ্যা নহয়,1949,NetworkManager,po/as.po
Must specify a P_Key if specifying parent,1966,যদি উপধায়ক ধাৰ্য্য কৰা হৈছে এটা P_Key ধাৰ্য্য কৰিব লাগিব,1967,NetworkManager,po/as.po
InfiniBand P_Key connection did not specify parent interface name,1970,InfiniBand P_Key সংযোগে উপধায়ক আন্তঃপৃষ্ঠ নাম ধাৰ্য্য নকৰিলে,1971,NetworkManager,po/as.po
