_Edit,173,_Düzəlt,174,baobab,po/az.po
_Help,181,_Yardım,182,baobab,po/az.po
_Server:,405,_Verici:,406,baobab,po/az.po
_Port:,418,_Qapı:,419,baobab,po/az.po
Folder,465,Qovluq,466,baobab,po/az.po
Size,474,Böyüklük,475,baobab,po/az.po
Mo_ve to Trash,512,_Zibil Qutusuna Daşı,513,baobab,po/az.po
The document does not exist.,588,Sənəd mövcud deyil.,589,baobab,po/az.po
Developer's Help program,21,İnkişafçının Yardım proqramı,22,devhelp,po/az.po
Devhelp,25,DevHelp,26,devhelp,po/az.po
Devhelp Book,29,DevHelp Kitabı,30,devhelp,po/az.po
Specify the size and location of the window,97,Pəncərənin böyüklüyü və mövqeyini müəyyən edin,98,devhelp,po/az.po
WIDTHxHEIGHT+XOFF+YOFF,101,ENxHÜNDÜRLÜK+XOFF+YOFF,102,devhelp,po/az.po
Search for a function,105,Funksiya axtar,106,devhelp,po/az.po
Quit any running Devhelp,109,İşləyən hər hansı Devhelp-dən çıx,110,devhelp,po/az.po
"Expected '%s' got '%s' at line %d, column %d",114,"'%s' gözlənirdi '%s' alındı, sətir: %d, sütun: %d",115,devhelp,po/az.po
"Invalid namespace '%s' at line %d, column %d",119,"Hökmsüz ad boşluğu '%s' sətir: %d, sütun: %d",120,devhelp,po/az.po
"title, name, and link elements are required at line %d, column %d",124,"başlıq, ad və körpü elementləri məcburidir. sətir: %d, sütun: %d",125,devhelp,po/az.po
"name and link elements are required inside <sub> on line %d, column %d",129,"<sub> içində ad və körpü elementləri məcburidir. sətir: %d, sütun: %d",130,devhelp,po/az.po
"name and link elements are required inside <function> on line %d, column %d",134,"<function> içində ad və körpü elementləri məcburidir. sətir: %d, sütun: %d",136,devhelp,po/az.po
Could not create book parser,140,Kitab oxuyucusu yaradıla bilmir,141,devhelp,po/az.po
Could not create markup parser,144,İşarələmə oxuyucusu yaradıla bilmir,145,devhelp,po/az.po
Cannot uncompress book '%s': %s,149,'%s' kitabı açıla bilmir: %s,150,devhelp,po/az.po
_Search:,153,_Axtar:,154,devhelp,po/az.po
Section,157,Qisim,158,devhelp,po/az.po
_File,161,_Fayl,162,devhelp,po/az.po
_Go,169,_Get,170,devhelp,po/az.po
_Help,173,_Yardım,174,devhelp,po/az.po
Contents,182,Məzmun,183,devhelp,po/az.po
Search,186,Axtar,187,devhelp,po/az.po
A developer's help browser for GNOME 2,190,GNOME 2 üçün inkişafçının yardım səyyahı,191,devhelp,po/az.po
Devhelp project page,194,Devhelp layihə səhifəsi,195,devhelp,po/az.po
Bug report Devhelp,198,Devhelp xəta raportu,199,devhelp,po/az.po
Image Viewer,22,Rəsm Nümayişcisi,23,eog,po/az.po
View many different types of images,26,Bir çox rəsm növlərinin nümayişi,27,eog,po/az.po
<b>Image Interpolation</b>,50,<b>Rəsm İnterpolyasiyası</b>,51,eog,po/az.po
<b>Image Zoom</b>,54,<b>Rəsm Yaxınlaşdırması</b>,55,eog,po/az.po
<b>Sequence</b>,63,<b>Ardıcıllıq</b>,64,eog,po/az.po
<b>Transparent Parts</b>,67,<b>Şəffaf Hissələr</b>,68,eog,po/az.po
Allow _zoom greater than 100% initially,72,Başlanğıcda 100%-dən böyük _yaxınlıq dərəcəsinə icazə ver,73,eog,po/az.po
As _background,76,Arxa plan _olaraq,77,eog,po/az.po
As check _pattern,80,Na_xış olaraq,81,eog,po/az.po
As custom c_olor,84,Xüsusi rə_ng olaraq,85,eog,po/az.po
Color for Transparent Areas,88,Şəffaf Sahələrin Rəngi,89,eog,po/az.po
Eye of Gnome Preferences,97,Eye of Gnome Seçimləri,98,eog,po/az.po
Image _View,106,Rəsm _Görünüşü,107,eog,po/az.po
Show _next image automatically after:,128,Sonrakı rəsmin avtomatik göstərilmə _vaxtı:,129,eog,po/az.po
Sli_de Show,132,_Ardıcıl Nümayiş,133,eog,po/az.po
_Interpolate image on zoom,149,Böyüdüləndə rəsmi _interpolyasiya et,150,eog,po/az.po
_Loop sequence,153,_Təkrarlama ardıcıllığı,154,eog,po/az.po
seconds,157,saniyə,158,eog,po/az.po
Allow zoom greater than 100% initially,172,Başlanğıcda 100%-dən böyük yaxınlıq dərəcəsinə icazə ver,173,eog,po/az.po
Delay in seconds until showing the next image,176,Növbəti rəsmin göstərilincəyə dək saniyə olaraq gecikmə,177,eog,po/az.po
"Determines how transparency should be indicated. Valid values are CHECK_PATTERN, COLOR and NONE. If COLOR is choosen, then the trans_color key determines the used color value.",180,"Şəffaflığın necə göstəriləcəyini müəyyən edir. Hökmlü qiymətlər CHECK_PATTERN, COLOR və NONE-dur. Əgər COLOR seçilərsə, trans_color açarı işlədilən rəngin qitmətini müəyyən edir.",184,eog,po/az.po
"If the transparency key has the value COLOR, then this key determines the color which is used for indicating transparency.",190,"Əgər şəffaflıq açarının qiyməti COLOR isə, bu zaman bu açar şəffaflığı göstərən rəngi müəyyən edər.",193,eog,po/az.po
Interpolate Image,207,Rəsmi İnterpolyasiya et,208,eog,po/az.po
Loop through the image sequence,211,Rəsmlər arasında ilgəklə,212,eog,po/az.po
Open images in a new window,215,Rəsmi yeni pəncərədə aç,216,eog,po/az.po
Show/hide the window statusbar.,219,Pəncərə vəziyyət çubuğunu göstər/gizlət.,220,eog,po/az.po
Show/hide the window toolbar.,223,Pəncərə vasitə çubuğunu göstər/gizlət.,224,eog,po/az.po
Transparency color,227,Şəffaflıq rəngi,228,eog,po/az.po
Transparency indicator,231,Şəffaflıq işarəsi,232,eog,po/az.po
Whether opening an image should create a new window instead of replacing the image in the current window.,235,Açılan rəsmin başqa rəsmin olduğu pəncərədəki rəsmin yerini alması yerinə yeni pəncərədə açılması.,238,eog,po/az.po
Whether or not the sequence of images should be shown in an endless loop.,243,Rəsm ardıcıllığının sonsuz ilgək ilə göstərilməsi.,245,eog,po/az.po
Whether the image should be interpolated on zoom or not. This leads to better quality but is somewhat slower than non interpolated images.,248,Yaxınlaşdırma ərzində rəsmin interpolyasiya ediləcəyi. Bu daha ə'la keyfiyyətə yalnız interpolyasiya edilməmiş rəsmlərə nəzarən biraz daha yavaş sür'ətə yol açar.,251,eog,po/az.po
All Files,257,Bütün Fayllar,258,eog,po/az.po
All Images,261,Bütün Rəsmlər,262,eog,po/az.po
%s x %s pixel,273,%s x %s piksel,274,eog,po/az.po
Load Image,277,Rəsmi Yüklə,278,eog,po/az.po
Save Image,281,Rəsmi Qeyd Et,282,eog,po/az.po
Open Folder,285,Qovluğu Aç,286,eog,po/az.po
Couldn't create temporary file for saving: %s,290,Qeyd etmək üçün müvəqqəti fayl yaradıla bilmədi: %s,291,eog,po/az.po
Couldn't allocate memory for loading JPEG file,294,JPEG faylını yükləmək üçün yaddaş ayrıla bilmədi,295,eog,po/az.po
empty file,298,boş fayl,299,eog,po/az.po
File exists,302,Fayl mövcuddur,303,eog,po/az.po
No image loaded.,306,Yüklü rəsm yoxdur.,307,eog,po/az.po
Value,341,Qiymət,342,eog,po/az.po
Filename,346,Fayl adı,347,eog,po/az.po
Width,350,En,351,eog,po/az.po
Height,354,Hündürlük,355,eog,po/az.po
Filesize,358,Fayl böyüklüyü,359,eog,po/az.po
Attribute,362,Əlamət,363,eog,po/az.po
The GNOME image viewing and cataloging program.,463,GNOME rəsm nümayiş və kataloqlama proqramı,464,eog,po/az.po
Could not display help for Eye of Gnome.\n%s,468,Eye of Gnome üçün yardım göstərilə bilmədi.\n%s,471,eog,po/az.po
%i x %i pixel  %s    %i%%,535,%i x %i piksel  %s    %i%%,536,eog,po/az.po
_File,539,_Fayl,540,eog,po/az.po
_Edit,543,_Düzəlt,544,eog,po/az.po
_View,547,_Görünüş,548,eog,po/az.po
_Help,551,_Yardım,552,eog,po/az.po
_New,555,_Yeni,556,eog,po/az.po
Open a new window,559,Yeni pəncərə aç,560,eog,po/az.po
_Open...,563,_Aç...,564,eog,po/az.po
Open a file,567,Bir fayl aç,568,eog,po/az.po
Open a directory,576,Qovluq aç,577,eog,po/az.po
_Close,580,_Bağla,581,eog,po/az.po
Close window,584,Pəncərəni bağla,585,eog,po/az.po
Prefere_nces,588,Seçi_mlər,589,eog,po/az.po
Preferences for Eye of Gnome,592,Eye of Gnome Seçimləri,593,eog,po/az.po
_Contents,596,_Məzmun,597,eog,po/az.po
Help On this application,600,Bu proqram haqqında yardım,601,eog,po/az.po
_About,604,_Haqqında,605,eog,po/az.po
About this application,608,Bu proqram haqqında,609,eog,po/az.po
_Toolbar,612,_Vasitə Çubuğu,613,eog,po/az.po
_Statusbar,616,Və_ziyyət Çubuğu,617,eog,po/az.po
_Save,620,_Qeyd Et,621,eog,po/az.po
_Undo,629,_Geri Al,630,eog,po/az.po
