Give your application an accessibility workout,27,Зрабіце вашу праграму даступнай,28,accerciser,po/be.po
accessibility;development;test;,31,даступнасць;распрацаванне;тэсціраванне;,32,accerciser,po/be.po
Accerciser Accessibility Explorer,35,Прагляд сродкаў даступнасці Accerciser,36,accerciser,po/be.po
A list of plugins that are disabled by default,39,"Спіс дадаткаў, якія пачаткова выключаныя",40,accerciser,po/be.po
A list of plugins that are disabled by default.,43,"Спіс дадаткаў, якія пачаткова выключаныя.",44,accerciser,po/be.po
Highlight duration,47,Працягласць падсветкі,48,accerciser,po/be.po
The duration of the highlight box when selecting accessible nodes.,51,Працягласць падсветкі падчас вылучэння элементаў з сродкамі даступнасці.,52,accerciser,po/be.po
Highlight fill color,56,Асноўны колер падсветкі,57,accerciser,po/be.po
The color and opacity of the highlight fill.,60,Колер і празрыстасць цела падсветкі.,61,accerciser,po/be.po
Highlight border color,64,Колер рамкі падсветкі,65,accerciser,po/be.po
The color and opacity of the highlight border.,68,Колер і празрыстасць рамкі падсветкі.,69,accerciser,po/be.po
Horizontal split,72,Гарызантальны падзел,73,accerciser,po/be.po
Position of the horizontal split of the main window.,76,Пазіцыя гарызантальнага падзелу галоўнага акна.,77,accerciser,po/be.po
Vertical split,80,Вертыкальны падзел,81,accerciser,po/be.po
Position of the vertical split of the main window.,84,Пазіцыя вертыкальнага падзелу галоўнага акна.,85,accerciser,po/be.po
Default window height,88,Прадвызначаная вышыня акна,89,accerciser,po/be.po
The window height value.,92,Вышыня акна.,93,accerciser,po/be.po
Default window width,96,Прадвызначаная шырыня акна,97,accerciser,po/be.po
The window width value.,100,Шырыня акна.,101,accerciser,po/be.po
The layout for the bottom panel,104,Выклад для ніжняй панэлі,105,accerciser,po/be.po
The layout for the bottom panel pluginview.,108,Выклад для дадаткаў аглядальнікаў на ніжняй панэлі.,109,accerciser,po/be.po
The layout for the top panel,112,Выклад для верхняй панэлі,113,accerciser,po/be.po
The layout for the top panel pluginview.,116,Выклад для дадаткаў аглядальнікаў на верхняй панэлі.,117,accerciser,po/be.po
Single layout view,120,Адзіны выклад,121,accerciser,po/be.po
View plugins in a single layout.,124,Праглядзець дадаткі ў адзіным выкладзе.,125,accerciser,po/be.po
