Enable or disable system networking,25,Включване и изключване на мрежата на системно ниво,26,NetworkManager,po/bg.po
System policy prevents enabling or disabling system networking,29,Политиката на системата не позволява включване и изключване на мрежата на системно ниво,30,NetworkManager,po/bg.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),47,Приспиване и събуждане на NetworkManager (за целите на модула за управление на захранването на системата),50,NetworkManager,po/bg.po
System policy prevents putting NetworkManager to sleep or waking it up,55,Политиката на системата не позволява приспиване и събуждане на NetworkManager,56,NetworkManager,po/bg.po
Enable or disable Wi-Fi devices,60,Включване и изключване на устройства за безжични мрежи,61,NetworkManager,po/bg.po
System policy prevents enabling or disabling Wi-Fi devices,64,Политиката на системата не позволява включване и изключване на устройства за безжични мрежи,65,NetworkManager,po/bg.po
Enable or disable mobile broadband devices,70,Включване и изключване на устройства за достъп до мобилни мрежи,71,NetworkManager,po/bg.po
System policy prevents enabling or disabling mobile broadband devices,74,Политиката на системата не позволява включване и изключване на устройства за мобилни мрежи,75,NetworkManager,po/bg.po
Enable or disable WiMAX mobile broadband devices,80,Включване и изключване на устройства за достъп до мобилни мрежи по WiMAX,81,NetworkManager,po/bg.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,85,Политиката на системата не позволява включване и изключване на устройства за мобилни мрежи по WiMAX,87,NetworkManager,po/bg.po
Allow control of network connections,92,Разрешаване на управлението на мрежовите връзки,93,NetworkManager,po/bg.po
System policy prevents control of network connections,96,Политиката на системата не позволява управляване на мрежовите връзки,97,NetworkManager,po/bg.po
Connection sharing via a protected Wi-Fi network,112,Споделяне на връзката през защитена безжична мрежа,113,NetworkManager,po/bg.po
System policy prevents sharing connections via a protected Wi-Fi network,116,Политиката на системата не позволява споделяне на връзки през защитена безжична мрежа,118,NetworkManager,po/bg.po
Connection sharing via an open Wi-Fi network,123,Споделяне на връзката през отворена безжична мрежа,124,NetworkManager,po/bg.po
System policy prevents sharing connections via an open Wi-Fi network,127,Политиката на системата не позволява споделяне на връзки през отворена безжична мрежа,128,NetworkManager,po/bg.po
Modify persistent system hostname,153,Промяна на името на хоста,154,NetworkManager,po/bg.po
System policy prevents modification of the persistent system hostname,157,Политиката на системата не позволява промяна на името на хоста,158,NetworkManager,po/bg.po
# Created by NetworkManager\n,508,# Създаден от NetworkManager\n,509,NetworkManager,po/bg.po
# Merged from %s\n\n,513,# Слят от %s\n\n,516,NetworkManager,po/bg.po
%s.  Please use --help to see a list of valid options.\n,547,"%s. Ползвайте --help, за да видите списъка с опции.\n",548,NetworkManager,po/bg.po
Unknown,1027,Непознат,1028,NetworkManager,po/bg.po
Failed to initialize the crypto engine.,3445,Грешка при инициализиране на модула за шифриране.,3446,NetworkManager,po/bg.po
Failed to decrypt the private key: unexpected padding length.,3473,Грешка при дешифриране на частния ключ — неочаквана дължина на подравняването.,3474,NetworkManager,po/bg.po
Failed to decrypt the private key.,3481,Грешка при дешифриране на частния ключ.,3482,NetworkManager,po/bg.po
Error initializing certificate data: %s,3502,Грешка при инициализиране на данните от сертификата — %s,3503,NetworkManager,po/bg.po
Couldn't decode certificate: %s,3507,Грешка при декодиране на сертификата — %s,3508,NetworkManager,po/bg.po
Couldn't initialize PKCS#12 decoder: %s,3512,Грешка при инициализиране на модула за декодиране на PKCS#12 — %s,3513,NetworkManager,po/bg.po
Couldn't decode PKCS#12 file: %s,3517,Грешка при декодиране на файла PKCS#12 — %s,3518,NetworkManager,po/bg.po
Couldn't verify PKCS#12 file: %s,3522,Грешка при проверка на файла PKCS#12 — %s,3523,NetworkManager,po/bg.po
Failed to initialize the crypto engine: %d.,3537,Грешка при инициализиране на модула за шифриране — %d.,3538,NetworkManager,po/bg.po
Failed to initialize the decryption cipher slot.,3542,Грешка при инициализиране на буфер за шифъра за дешифриране.,3543,NetworkManager,po/bg.po
Failed to set symmetric key for decryption.,3547,Грешка при задаване на симетричния ключ за дешифриране.,3548,NetworkManager,po/bg.po
Failed to set IV for decryption.,3552,Грешка при задаване на началния вектор за дешифриране.,3553,NetworkManager,po/bg.po
Failed to initialize the decryption context.,3557,Грешка при инициализиране на контекста за дешифриране.,3558,NetworkManager,po/bg.po
