Give your application an accessibility workout,27,Dajte svom programu trening iz pristupačnosti,28,accerciser,po/bs.po
accessibility;development;test;,31,pristupačnost;razvoj;test;,32,accerciser,po/bs.po
Accerciser Accessibility Explorer,35,Accerciser istraživač pristupačnosti,36,accerciser,po/bs.po
A list of plugins that are disabled by default,39,List plugina koji su početno onemogućeni,40,accerciser,po/bs.po
A list of plugins that are disabled by default.,43,List plugina koji su početno onemogućeni.,44,accerciser,po/bs.po
Highlight duration,47,Trajanje isticanja,48,accerciser,po/bs.po
The duration of the highlight box when selecting accessible nodes.,51,Trajanje okvira za isticanje pri odabiru čvora pristupačnosti.,52,accerciser,po/bs.po
Highlight fill color,55,Boja ispune isticanja,56,accerciser,po/bs.po
The color and opacity of the highlight fill.,59,Boja i neprozirnost ispune isticanja.,60,accerciser,po/bs.po
Highlight border color,63,Boja okvira isticanja,64,accerciser,po/bs.po
The color and opacity of the highlight border.,67,Boja i neprozirnost okvira za isticanje.,68,accerciser,po/bs.po
Horizontal split,71,Horizontalno razdvajanje,72,accerciser,po/bs.po
Position of the horizontal split of the main window.,75,Pozicija horizontalnog razdvajanja glavnog prozora.,76,accerciser,po/bs.po
Vertical split,79,Vertikalno razdvajanje.,80,accerciser,po/bs.po
Position of the vertical split of the main window.,83,Pozicija vertikalnog razdvajanja glavnog prozora.,84,accerciser,po/bs.po
Default window height,87,Podrazumijevana visina prozora,88,accerciser,po/bs.po
The window height value.,91,Vrijednost za visinu prozora.,92,accerciser,po/bs.po
Default window width,95,Podrazumijevana širina prozora,96,accerciser,po/bs.po
The window width value.,99,Vrijednost za širinu prozora.,100,accerciser,po/bs.po
The layout for the bottom panel,103,Raspored za donju ploču,104,accerciser,po/bs.po
The layout for the bottom panel pluginview.,107,Raspored za donju ploču za pregled plugina.,108,accerciser,po/bs.po
The layout for the top panel,111,Raspored za gornju ploču,112,accerciser,po/bs.po
The layout for the top panel pluginview.,115,Raspored za gornju ploču za pregled plugina.,116,accerciser,po/bs.po
Single layout view,119,Jednostruki raspored,120,accerciser,po/bs.po
View plugins in a single layout.,123,Pregledajte plugine u jednostrukom rasporedu.,124,accerciser,po/bs.po
Available new pluginviews,127,Dostupni su novi pregledi za plugine,128,accerciser,po/bs.po
This list contains all the new available pluginviews,131,Lista sadrži sve nove dostupne preglede za plugine,132,accerciser,po/bs.po
The pluginview layout,135,Raspored pregleda plugina,136,accerciser,po/bs.po
The default plugin layout for the top panel.,139,Podrazumijevani raspored plugina za gornju ploču.,140,accerciser,po/bs.po
Window height,143,Visina prozora,144,accerciser,po/bs.po
Window height value.,147,Vrijednost za visinu prozora.,148,accerciser,po/bs.po
Window width,151,Širina prozora,152,accerciser,po/bs.po
Window width value.,155,Vrijednost za širinu prozora.,156,accerciser,po/bs.po
Hotkey combination,159,Kombinacija prečice,160,accerciser,po/bs.po
Hotkey combination for related action.,163,Kombinacija prečice za povezanu akciju.,164,accerciser,po/bs.po
Accessibility explorer for the GNOME desktop,167,Accerciser istraživač pristupačnosti,168,accerciser,po/bs.po
