Enable or disable system networking,31,Povolit nebo zakázat systémovou síť,32,NetworkManager,po/cs.po
System policy prevents enabling or disabling system networking,35,Systémová zásada zamezuje povolit nebo zakázat systémovou síť,36,NetworkManager,po/cs.po
Reload NetworkManager configuration,39,Znovu načíst konfiguraci NetworkManageru,40,NetworkManager,po/cs.po
System policy prevents reloading NetworkManager,43,Systémová zásada zamezuje opětovnému načtení NetworkManageru,44,NetworkManager,po/cs.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),47,Uspat Network Manager nebo jej probudit (mělo by být používáno pouze systémovou správou napájení),50,NetworkManager,po/cs.po
System policy prevents putting NetworkManager to sleep or waking it up,55,Systémová zásada zamezuje NetworkManager uspat nebo probudit,56,NetworkManager,po/cs.po
Enable or disable Wi-Fi devices,59,Povolit nebo zakázat zařízení Wi-Fi,60,NetworkManager,po/cs.po
System policy prevents enabling or disabling Wi-Fi devices,63,Systémová zásada zamezuje povolit nebo zakázat zařízení Wi-Fi,64,NetworkManager,po/cs.po
Enable or disable mobile broadband devices,67,Povolit nebo zakázat mobilní širokopásmová zařízení,68,NetworkManager,po/cs.po
System policy prevents enabling or disabling mobile broadband devices,71,Systémová zásada zamezuje povolení nebo zakázání mobilních širokopásmových zařízení,72,NetworkManager,po/cs.po
Enable or disable WiMAX mobile broadband devices,77,Povolit nebo zakázat mobilní širokopásmová zařízení WiMAX,78,NetworkManager,po/cs.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,81,Systémová zásada zamezuje povolení nebo zakázání mobilních širokopásmových zařízení WiMAX,83,NetworkManager,po/cs.po
Allow control of network connections,88,Povolit ovládání síťových připojení,89,NetworkManager,po/cs.po
System policy prevents control of network connections,92,Systémová zásada zamezuje ovládání síťových připojení,93,NetworkManager,po/cs.po
Connection sharing via a protected Wi-Fi network,106,Sdílení připojení přes chráněnou síť Wi-Fi,107,NetworkManager,po/cs.po
System policy prevents sharing connections via a protected Wi-Fi network,110,Systémová zásada zabránila sdílení připojení přes chráněnou síť Wi-Fi,112,NetworkManager,po/cs.po
Connection sharing via an open Wi-Fi network,115,Sdílení připojení přes otevřenou síť Wi-Fi,116,NetworkManager,po/cs.po
System policy prevents sharing connections via an open Wi-Fi network,119,Systémová zásada zabránila sdílení připojení přes otevřenou síť Wi-Fi,120,NetworkManager,po/cs.po
Modify personal network connections,123,Měnit osobní síťová připojení,124,NetworkManager,po/cs.po
