Toolbar is Visible,85,Bar Offer yn Weladwy,86,baobab,po/cy.po
Whether any change to the home directory should be monitored.,89,A ddylid monitro unrhyw newid i'r cyfeiriadur cartref.,90,baobab,po/cy.po
Whether the status bar at the bottom of main window should be visible.,93,A ddylai'r bar statws ar waelod y brif ffenestr fod yn weladwy.,94,baobab,po/cy.po
Whether the toolbar should be visible in main window.,97,A ddylai'r bar offer fod yn weladwy yn y brif ffenestr.,98,baobab,po/cy.po
Scan Folder,129,Sganio Plygell,130,baobab,po/cy.po
Scan _Filesystem,143,Sganio'r _System Ffeil,144,baobab,po/cy.po
Scan a remote folder,157,Sganio plygell bell,158,baobab,po/cy.po
Stop scanning,176,Gorffen sagnio,177,baobab,po/cy.po
_Contents,190,_Cynnwys,191,baobab,po/cy.po
_Edit,194,_Golygu,195,baobab,po/cy.po
_Help,202,_Cymorth,203,baobab,po/cy.po
_Toolbar,206,_Bar offer,207,baobab,po/cy.po
_View,210,_Golwg,211,baobab,po/cy.po
Scanning...,214,Yn sganio...,215,baobab,po/cy.po
Total filesystem capacity:,218,Uchafswm cynnwys y system ffeil:,219,baobab,po/cy.po
used:,222,defnyddiwyd:,223,baobab,po/cy.po
available:,226,ar gael:,227,baobab,po/cy.po
Calculating percentage bars...,231,Cyfrif y barrau canran...,232,baobab,po/cy.po
Ready,235,Barod,236,baobab,po/cy.po
contains hardlinks for:,249,cynnwys cysylltau caled ar gyfer:,250,baobab,po/cy.po
Zoom in,277,Chwyddo mewn,278,baobab,po/cy.po
Zoom out,281,Chwyddo allan,282,baobab,po/cy.po
Cannot create pixbuf image!,345,Methu creu delwedd picsfap!,346,baobab,po/cy.po
Scan,360,Sganio,361,baobab,po/cy.po
Device,364,Dyfais,365,baobab,po/cy.po
Custom Location,392,Lleoliad Addasedig,393,baobab,po/cy.po
Public FTP,400,FTP cyhoeddus,401,baobab,po/cy.po
FTP (with login),404,FTP (angen mewngofnodi),405,baobab,po/cy.po
Windows share,408,Rhaniad Windows,409,baobab,po/cy.po
Secure WebDAV (HTTPS),416,WebDAV Diogel (HTTPS),417,baobab,po/cy.po
Please enter a name and try again.,425,Rhowch enw a cheisiwch eto.,426,baobab,po/cy.po
_Location (URI):,429,_Lleoliad (URI):,430,baobab,po/cy.po
_Server:,433,_Gweinydd:,434,baobab,po/cy.po
Optional information:,437,Gwybodaeth ddewisol:,438,baobab,po/cy.po
_Share:,441,_Rhannu:,442,baobab,po/cy.po
_Port:,445,_Porth:,446,baobab,po/cy.po
_Folder:,449,_Plygell:,450,baobab,po/cy.po
_User Name:,453,Enw _Defnyddiwr:,454,baobab,po/cy.po
_Domain Name:,457,Enw _Parth:,458,baobab,po/cy.po
Service _type:,466,_Math gwasanaeth:,467,baobab,po/cy.po
