Usage: nmcli agent { COMMAND | help }\n\nCOMMAND := { secret | polkit | all }\n\n,39,Aufruf: nmcli agent { BEFEHL | help }\n\nBEFEHL := { secret | polkit | all }\n\n,44,NetworkManager,po/de.po
Usage: nmcli agent secret { help }\n\nRuns nmcli as NetworkManager secret agent. When NetworkManager requires\na password it asks registered agents for it. This command keeps nmcli running\nand if a password is required asks the user for it.\n\n,52,"Aufruf: nmcli agent secret { help }\n\nRuft nmcli als Passwort-Agent für NetworkManager auf. Sobald NetworkManager\nein Passwort verlangt fragt es bekannte Agenten danach. Der Befehl hält nmcli\nam Laufen und wenn ein Passwort notwendig ist, so wird der Benutzer gefragt.\n\n",60,NetworkManager,po/de.po
"Usage: nmcli agent polkit { help }\n\nRegisters nmcli as a polkit action for the user session.\nWhen a polkit daemon requires an authorization, nmcli asks the user and gives\nthe response back to polkit.\n\n",72,Aufruf: nmcli agent polkit { help }\n\nRegistriert nmcli als polkit-Aktion für die Benutzersitzung.\nWenn ein polkit-Dienst eine Legitimierung verlangt fragt nmcli den Benutzer\nan und gibt die Antwort zurück an polkit.\n\n,80,NetworkManager,po/de.po
Usage: nmcli agent all { help }\n\nRuns nmcli as both NetworkManager secret and a polkit agent.\n\n,90,Aufruf: nmcli agent all { help }\n\nnmcli ausführen als NetworkManager-Passwort und polkit-Agent.\n\n,95,NetworkManager,po/de.po
nmcli successfully registered as a NetworkManager's secret agent.\n,103,nmcli wurde erfolgreich als Passwort-Agent von NetworkManager angemeldet.\n,104,NetworkManager,po/de.po
Error: secret agent initialization failed,109,Fehler: Initialisierung des Passwort-Agenten fehlgeschlagen,110,NetworkManager,po/de.po
Error: polkit agent initialization failed: %s,114,Fehler: Initialisierung des Passwort-Agenten fehlgeschlagen: %s,115,NetworkManager,po/de.po
nmcli successfully registered as a polkit agent.\n,119,nmcli wurde erfolgreich als polkit-Agent angemeldet.\n,120,NetworkManager,po/de.po
GROUP,125,GRUPPE,126,NetworkManager,po/de.po
Error: openconnect failed: %s\n,130,Fehler: openconnect ist fehlgeschlagen: %s\n,131,NetworkManager,po/de.po
Error: openconnect failed with status %d\n,135,Fehler: openconnect fehlgeschlagen mit Status %d\n,136,NetworkManager,po/de.po
Error: openconnect failed with signal %d\n,140,Fehler: openconnect fehlgeschlagen mit Signal %d\n,141,NetworkManager,po/de.po
Warning: password for '%s' not given in 'passwd-file' and nmcli cannot ask without '--ask' option.\n,145,Warnung: Das Passwort für »%s« ist nicht in »passwd-file« definiert. nmcli darf nicht ohne die Option »--ask« fragen.\n,148,NetworkManager,po/de.po
Error: Could not create NMClient object: %s.,154,Fehler: NMClient-Objekt konnte nicht erstellt werden: %s.,155,NetworkManager,po/de.po
Error: NetworkManager is not running.,158,Fehler: NetworkManager wird nicht ausgeführt.,159,NetworkManager,po/de.po
Error: argument '%s' not understood. Try passing --help instead.,163,Fehler: Argument »%s« wird nicht verstanden. Versuchen Sie stattdessen »--help«.,164,NetworkManager,po/de.po
Error: missing argument. Try passing --help.,169,Fehler: Fehlendes Argument. Versuchen sie »--help« anzugeben.,170,NetworkManager,po/de.po
access denied,173,Zugriff verweigert,174,NetworkManager,po/de.po
unknown,188,unbekannt,189,NetworkManager,po/de.po
none,192,kein,193,NetworkManager,po/de.po
portal,196,Portal,197,NetworkManager,po/de.po
limited,200,begrenzt,201,NetworkManager,po/de.po
full,204,vollständig,205,NetworkManager,po/de.po
Setting name? ,209,Einstellungsname? ,210,NetworkManager,po/de.po
Property name? ,213,Eigenschaftenname? ,214,NetworkManager,po/de.po
Enter connection type: ,217,Geben Sie den Verbindungstyp an: ,218,NetworkManager,po/de.po
activating,242,wird aktiviert,243,NetworkManager,po/de.po
activated,246,aktiviert,247,NetworkManager,po/de.po
deactivating,250,wird deaktiviert,251,NetworkManager,po/de.po
deactivated,254,deaktiviert,255,NetworkManager,po/de.po
VPN connecting (prepare),258,VPN wird verbunden (wird vorbereitet),259,NetworkManager,po/de.po
VPN connecting (need authentication),262,VPN wird verbunden (Legitimierung wird benötigt),263,NetworkManager,po/de.po
VPN connecting,266,VPN wird verbunden,267,NetworkManager,po/de.po
VPN connecting (getting IP configuration),270,VPN wird verbunden (IP-Einstellungen werden ermittelt),271,NetworkManager,po/de.po
VPN connected,274,VPN verbunden,275,NetworkManager,po/de.po
VPN connection failed,278,VPN-Verbindung gescheitert,279,NetworkManager,po/de.po
VPN disconnected,282,VPN getrennt,283,NetworkManager,po/de.po
never,286,nie,287,NetworkManager,po/de.po
Usage: nmcli connection { COMMAND | help }\n\nCOMMAND := { show | up | down | add | modify | clone | edit | delete | monitor | reload | load | import | export }\n\n  show [--active] [--order <order spec>]\n  show [--active] [id | uuid | path | apath] <ID> ...\n\n  up [[id | uuid | path] <ID>] [ifname <ifname>] [ap <BSSID>] [passwd-file <file with passwords>]\n\n  down [id | uuid | path | apath] <ID> ...\n\n  add COMMON_OPTIONS TYPE_SPECIFIC_OPTIONS SLAVE_OPTIONS IP_OPTIONS [-- ([+|-]<setting>.<property> <value>)+]\n\n  modify [--temporary] [id | uuid | path] <ID> ([+|-]<setting>.<property> <value>)+\n\n  clone [--temporary] [id | uuid | path ] <ID> <new name>\n\n  edit [id | uuid | path] <ID>\n  edit [type <new_con_type>] [con-name <new_con_name>]\n\n  delete [id | uuid | path] <ID>\n\n  monitor [id | uuid | path] <ID> ...\n\n  reload\n\n  load <filename> [ <filename>... ]\n\n  import [--temporary] type <type> file <file to import>\n\n  export [id | uuid | path] <ID> [<output file>]\n\n,291,Aufruf: nmcli connection { BEFEHL | help }\n\nBEFEHL := { show | up | down | add | modify | clone | edit | delete | monitor | reload | load | import | export }\n\n  show [--active] [--order <order spec>]\n  show [--active] [id | uuid | path | apath] <KENNUNG> ...\n\n  up [[id | uuid | path] <KENNUNG>] [ifname <Schnittstellenname>] [ap <BSSID>] [passwd-file <Datei mit Passwörtern>]\n\n  down [id | uuid | path | apath] <KENNUNG> …\n\n  add NORMALE_OPTIONEN TYP_SPEZIFISCHE_OPTIONEN SLAVE_OPTIONEN IP_OPTIONEN  [-- ([+|-]<Einstellung>.<Eigenschaft> <Wert>)+]\n\n  modify [--temporary] [id | uuid | path] <KENNUNG> ([+|-]<Einstellung>.<Eigenschaft> <Wert>)+\n\n  clone [--temporary] [id | uuid | path ] <KENNUNG> <Neuer Name>\n\n  edit [id | uuid | path] <KENNUNG>\n  edit [type <Neuer Verbindungstyp>] [con-name <Neuer Verbindungsname>]\n\n  delete [id | uuid | path] <KENNUNG>\n\n  monitor [id | uuid | path] <KENNUNG> …\n\n  reload\n\n  load <Dateiname> [ <Dateiname> …]\n\n  import [--temporary] type <Typ> file <Importdatei>\n\n  export [id | uuid | path] <KENNUNG> [<Ausgabedatei>]\n\n,328,NetworkManager,po/de.po
"Usage: nmcli connection show { ARGUMENTS | help }\n\nARGUMENTS := [--active] [--order <order spec>]\n\nList in-memory and on-disk connection profiles, some of which may also be\nactive if a device is using that connection profile. Without a parameter, all\nprofiles are listed. When --active option is specified, only the active\nprofiles are shown. --order allows custom connection ordering (see manual page).\n\nARGUMENTS := [--active] [id | uuid | path | apath] <ID> ...\n\nShow details for specified connections. By default, both static configuration\nand active connection data are displayed. It is possible to filter the output\nusing global '--fields' option. Refer to the manual page for more information.\nWhen --active option is specified, only the active profiles are taken into\naccount. Use global --show-secrets option to reveal associated secrets as well.\n",368,"Aufruf: nmcli connection show { PARAMETER | help }\n\nPARAMETER := [--active] [--order <order spec>]\n\nZeigt Verbindungsprofile im Speicher und auf Datenträgern. Einige sind eventuell\naktiv, wenn ein Gerät dieses Verbindungsprofil verwendet. Ohne Parameter werden\nalle Profile angezeigt. Wenn die Option »--active« angegeben ist, so\nwerden nur aktive Profile angezeigt. »--order« ermöglicht eine angepasste\nVerbindungssortierung (schauen Sie ins Handbuch für weitere Informationen).\n\nPARAMETER := [--active] [id | uuid | path | apath] <Kennung> ...\n\nZeigt Details zu bestimmten Verbindungen. Standardmäßig werden sowohl statische\nKonfiguration als auch aktive Verbindungsdaten angezeigt. Die Ausgabe kann mit der\nallgemeinen Option »--fields« gefiltert werden. Lesen Sie im Handbuch für weitere Informationen.\nWenn die Option »--active« angegeben ist, so werden nur aktive Profile angezeigt.\nDie globale Option »--show-secrets« zeigt zusätzlich zugehörige Passwörter an.\n",391,NetworkManager,po/de.po
"Usage: nmcli connection up { ARGUMENTS | help }\n\nARGUMENTS := [id | uuid | path] <ID> [ifname <ifname>] [ap <BSSID>] [nsp <name>] [passwd-file <file with passwords>]\n\nActivate a connection on a device. The profile to activate is identified by its\nname, UUID or D-Bus path.\n\nARGUMENTS := ifname <ifname> [ap <BSSID>] [nsp <name>] [passwd-file <file with passwords>]\n\nActivate a device with a connection. The connection profile is selected\nautomatically by NetworkManager.\n\nifname      - specifies the device to active the connection on\nap          - specifies AP to connect to (only valid for Wi-Fi)\nnsp         - specifies NSP to connect to (only valid for WiMAX)\npasswd-file - file with password(s) required to activate the connection\n\n",419,"Aufruf: nmcli connection up { ARGUMENTE | help }\n\nARGUMENTE := [id | uuid | path] <Kennung> [ifname <Schnittstellenname>] [ap <BSSID>] [nsp <Name>] [passwd-file <Datei mit Passwörtern>]\n\nEine Verbindung auf einem Gerät aktivieren. Das zu aktivierende Profil wird\ndurch den Namen, die UUID oder den D-Bus-Pfad identifiziert.\n\nARGUMENTE := ifname <Schnittstellenname> [ap <BSSID>] [nsp <name>] [passwd-file <Datei mit Passwörtern>]\n\nEin Gerät mit einer Verbindung aktivieren. Das Verbindungsprofil\nwird durch NetworkManager automatisch gewählt.\n\nifname      - spezifiziert das Gerät auf dem die Verbindung aktiviert werden soll\nap          - spezifiziert den zu verbindenden Zugangspunkt (nur gültig für Drahtlosnetzwerke)\nnsp         - spezifiziert den Netzwerkdienstanbieter (nur gültig für WiMAX)\npasswd-file - Datei mit Passwörtern zum Aktivieren der Verbindung\n\n",440,NetworkManager,po/de.po
"Usage: nmcli connection down { ARGUMENTS | help }\n\nARGUMENTS := [id | uuid | path | apath] <ID> ...\n\nDeactivate a connection from a device (without preventing the device from\nfurther auto-activation). The profile to deactivate is identified by its name,\nUUID or D-Bus path.\n\n",466,"Aufruf: nmcli connection down { PARAMETER | help }\n\nPARAMETER := [id | uuid | path | apath] <Kennung>\n\nDeaktiviert eine Verbindung von einem Gerät (hindert das Gerät jedoch nicht\ndaran, weiterhin automatisch zu verbinden). Das zu deaktivierende Profil wird\nanhand dessen Name, UUID oder D-Bus-Pfad identifiziert.\n\n",476,NetworkManager,po/de.po
"Usage: nmcli connection modify { ARGUMENTS | help }\n\nARGUMENTS := [id | uuid | path] <ID> ([+|-]<setting>.<property> <value>)+\n\nModify one or more properties of the connection profile.\nThe profile is identified by its name, UUID or D-Bus path. For multi-valued\nproperties you can use optional '+' or '-' prefix to the property name.\nThe '+' sign allows appending items instead of overwriting the whole value.\nThe '-' sign allows removing selected items instead of the whole value.\n\nExamples:\nnmcli con mod home-wifi wifi.ssid rakosnicek\nnmcli con mod em1-1 ipv4.method manual ipv4.addr \""192.168.1.2/24, 10.10.1.5/8\""\nnmcli con mod em1-1 +ipv4.dns 8.8.4.4\nnmcli con mod em1-1 -ipv4.dns 1\nnmcli con mod em1-1 -ipv6.addr \""abbe::cafe/56\""\nnmcli con mod bond0 +bond.options mii=500\nnmcli con mod bond0 -bond.options downdelay\n\n",804,"Aufruf: nmcli connection modify { ARGUMENTE | help }\n\nARGUMENTE := [Kennung | uuid | Pfad] <Kennung>([+|-]<Einstellung>.<Eigenschaft> <Wert>)+\n\nBearbeitet eine oder mehrere Eigenschaften eines Verbindungsprofils.\nDas Profil wird anhand dessen Name, UUID oder D-Bus-Pfad identifiziert.\nbei Eigenschaften mit mehreren Werten wird optional dem Namen ein Präfix\n»+« oder »-« vorangestellt.\n»+« ermöglicht Objekte anzuhängen, anstatt den gesamten Wert zu überschreiben.\n»-« ermöglicht das Entfernen einzelner Objekte an Stelle des gesamten Werts.\n\nBeispiele:\nnmcli con mod home-wifi wifi.ssid rakosnicek\nnmcli con mod em1-1 ipv4.method manual ipv4.addr \""192.168.1.2/24, 10.10.1.5/8\""\nnmcli con mod em1-1 +ipv4.dns 8.8.4.4\nnmcli con mod em1-1 -ipv4.dns 1\nnmcli con mod em1-1 -ipv6.addr \""abbe::cafe/56\""\nnmcli con mod bond0 +bond.options mii=500\nnmcli con mod bond0 -bond.options downdelay\n\n",825,NetworkManager,po/de.po
"Usage: nmcli connection clone { ARGUMENTS | help }\n\nARGUMENTS := [--temporary] [id | uuid | path] <ID> <new name>\n\nClone an existing connection profile. The newly created connection will be\nthe exact copy of the <ID>, except the uuid property (will be generated) and\nid (provided as <new name> argument).\n\n",853,"Aufruf: nmcli connection clone { PARAMETER | help }\n\nPARAMETER := [--temporary] [id | uuid | path] <KENNUNG> <Neuer Name>\n\nDupliziert ein bestehendes Verbindungsprofil. Die neue Verbindung wird eine\nexakte Kopie von <KENNUNG>, mit Ausnahme der Eigenschaft uuid (wird neu erzeugt)\nund der id (wird als Parameter <Neuer Name> angegeben).\n\n",863,NetworkManager,po/de.po
"Usage: nmcli connection edit { ARGUMENTS | help }\n\nARGUMENTS := [id | uuid | path] <ID>\n\nEdit an existing connection profile in an interactive editor.\nThe profile is identified by its name, UUID or D-Bus path\n\nARGUMENTS := [type <new connection type>] [con-name <new connection name>]\n\nAdd a new connection profile in an interactive editor.\n\n",876,"Aufruf: nmcli connection edit { PARAMETER | help }\n\nPARAMETER := [id | uuid | path] <Kennung>\n\nBearbeitet ein vorhandenes Verbindungsprofil in einem interaktiven Editor.\nDas Profil wird anhand dessen Name, UUID oder D-Bus-Pfad identifiziert\n\nPARAMETER := [type <neuer Verbindungstyp>] [con-name <neuer Verbindungsname>]\n\nFügt ein neues Verbindungsprofil in einem interaktiven Editor hinzu.\n\n",888,NetworkManager,po/de.po
"Usage: nmcli connection delete { ARGUMENTS | help }\n\nARGUMENTS := [id | uuid | path] <ID>\n\nDelete a connection profile.\nThe profile is identified by its name, UUID or D-Bus path.\n\n",904,"Aufruf: nmcli connection delete { PARAMETER | help }\n\nPARAMETER := [id | uuid | path] <Kennung>\n\nLöscht ein Verbindungsprofil.\nDas Profil wird anhand dessen Name, UUID oder D-Bus-Pfad identifiziert.\n\n",912,NetworkManager,po/de.po
Usage: nmcli connection monitor { ARGUMENTS | help }\n\nARGUMENTS := [id | uuid | path] <ID> ...\n\nMonitor connection profile activity.\nThis command prints a line whenever the specified connection changes.\nMonitors all connection profiles in case none is specified.\n\n,923,"Aufruf: nmcli connection monitor { PARAMETER | help }\n\nPARAMETER := [id | uuid | path] <Kennung> …\n\nÜberwacht die Aktivität eines Verbindungsprofils.\nDieser Befehl gibt eine Zeile aus, sobald sich die angegebene Verbindung ändert.\nEs werden alle Verbindungsprofile überwacht, sofern keines angegeben wird.\n\n",932,NetworkManager,po/de.po
Usage: nmcli connection reload { help }\n\nReload all connection files from disk.\n\n,945,Aufruf: nmcli connection reload { help }\n\nLädt alle Verbindungsdateien neu von der Festplatte.\n\n,950,NetworkManager,po/de.po
Usage: nmcli connection load { ARGUMENTS | help }\n\nARGUMENTS := <filename> [<filename>...]\n\nLoad/reload one or more connection files from disk. Use this after manually\nediting a connection file to ensure that NetworkManager is aware of its latest\nstate.\n\n,958,"Aufruf: nmcli connection load { PARAMETER | help }\n\nPARAMETER := <Dateiname> [<Dateiname>...]\n\nLädt eine oder mehrere Verbindungsdateien von der Festplatte (bzw. lädt neu).\nVerwenden Sie dies nach einer manuellen Änderung an einer Verbindungsdatei,\num sicherzustellen, dass der NetworkManager die Änderungen übernimmt.\n\n",968,NetworkManager,po/de.po
Usage: nmcli connection import { ARGUMENTS | help }\n\nARGUMENTS := [--temporary] type <type> file <file to import>\n\nImport an external/foreign configuration as a NetworkManager connection profile.\nThe type of the input file is specified by type option.\nOnly VPN configurations are supported at the moment. The configuration\nis imported by NetworkManager VPN plugins.\n\n,981,Aufruf: nmcli connection import { PARAMETER | help }\n\nPARAMETER := [--temporary] type <Typ> file <Importdatei>\n\nImport eine externe/fremde Konfiguration als NetworkManager-Verbindungsprofil.\nDer Typ der Eingabedatei wird durch die Option »type« angegeben.\nEs werden derzeit nur VPN-Konfigurationen unterstützt. Die Konfiguration\nwird durch die VPN-Erweiterungen von NetworkManager importiert.\n\n\n,992,NetworkManager,po/de.po
Usage: nmcli connection export { ARGUMENTS | help }\n\nARGUMENTS := [id | uuid | path] <ID> [<output file>]\n\nExport a connection. Only VPN connections are supported at the moment.\nThe data are directed to standard output or to a file if a name is given.\n\n,1007,"Aufruf: nmcli connection export { PARAMETER | help }\n\nPARAMETER := [id | uuid | path] <Kennung> [<Ausgabedatei>]\n\nExportiert eine Verbindung. Derzeit werden nur VPN-Verbindungen unterstützt.\nDie Daten werden auf die Standardausgabe umgeleitet oder in eine Datei,\nsofern eine angegeben wird.\n\n",1015,NetworkManager,po/de.po
Error updating secrets for %s: %s\n,1028,Fehler beim Aktualisieren der Geheimnisse für %s: %s\n,1029,NetworkManager,po/de.po
Connection profile details,1032,Details des Verbindungsprofils,1033,NetworkManager,po/de.po
Error: 'connection show': %s,1037,Fehler: »connection show«: %s,1038,NetworkManager,po/de.po
Activate connection details,1041,Verbindungsdetails aktivieren,1042,NetworkManager,po/de.po
"invalid field '%s'; allowed fields: %s and %s, or %s,%s",1052,"Ungültiges Feld »%s«; erlaubte Felder: %s und %s oder %s,%s",1053,NetworkManager,po/de.po
'%s' has to be alone,1057,»%s« muss allein stehen,1058,NetworkManager,po/de.po
incorrect string '%s' of '--order' option,1062,Falsche Zeichenkette »%s« der Option »--order«,1063,NetworkManager,po/de.po
incorrect item '%s' in '--order' option,1067,Falsches Objekt »%s« der Option »--order«,1068,NetworkManager,po/de.po
No connection specified,1071,Keine Verbindung angegeben,1072,NetworkManager,po/de.po
%s argument is missing,1076,Argument %s fehlt,1077,NetworkManager,po/de.po
unknown connection '%s',1081,Unbekannte Verbindung »%s«,1082,NetworkManager,po/de.po
'--order' argument is missing,1085,Argument »--order« fehlt,1086,NetworkManager,po/de.po
NetworkManager active profiles,1089,NetworkManager aktive Profile,1090,NetworkManager,po/de.po
NetworkManager connection profiles,1093,NetworkManager Verbindungsprofile,1094,NetworkManager,po/de.po
Error: %s argument is missing.,1110,Fehler: Argument %s fehlt.,1111,NetworkManager,po/de.po
Error: %s - no such connection profile.,1115,Fehler: Verbindungsprofil %s existiert nicht.,1116,NetworkManager,po/de.po
Error: %s.,1126,Fehler: %s.,1127,NetworkManager,po/de.po
no active connection on device '%s',1131,Keine aktive Verbindung auf Gerät »%s«,1132,NetworkManager,po/de.po
no active connection or device,1135,Keine aktive Verbindung oder Gerät,1136,NetworkManager,po/de.po
device '%s' not compatible with connection '%s',1145,Gerät »%s« ist nicht mit der Verbindung »%s« kompatibel,1146,NetworkManager,po/de.po
no device found for connection '%s',1150,Für die Verbindung »%s« wurde kein Gerät gefunden,1151,NetworkManager,po/de.po
Connection successfully activated (%s) (D-Bus active path: %s)\n,1160,Verbindung wurde erfolgreich aktiviert (%s) (Aktiver D-Bus-Pfad: %s)\n,1161,NetworkManager,po/de.po
Connection successfully activated (D-Bus active path: %s)\n,1166,Verbindung wurde erfolgreich aktiviert (aktiver D-Bus-Pfad: %s)\n,1167,NetworkManager,po/de.po
Error: Connection activation failed: %s,1171,Fehler: Aktivierung der Verbindung ist gescheitert: %s,1172,NetworkManager,po/de.po
Error: Timeout expired (%d seconds),1176,Fehler: Zeitbeschränkung (%d Sekunden) ist abgelaufen.,1177,NetworkManager,po/de.po
failed to read passwd-file '%s': %s,1181,Fehler: Lesen der passwd-Datei »%s« ist fehlgeschlagen: %s,1182,NetworkManager,po/de.po
missing colon in 'password' entry '%s',1186,Fehlender Doppelpunkt im Passwort-Eintrag »%s«,1187,NetworkManager,po/de.po
missing dot in 'password' entry '%s',1191,Fehlender Punkt im Passwort-Eintrag »%s«,1192,NetworkManager,po/de.po
invalid setting name in 'password' entry '%s',1196,Ungültiger Einstellungsname im Passwort-Eintrag »%s«,1197,NetworkManager,po/de.po
unknown device '%s'.,1201,Unbekanntes Gerät »%s«.,1202,NetworkManager,po/de.po
neither a valid connection nor device given,1205,weder eine gültige Verbindung noch ein Gerät angegeben,1206,NetworkManager,po/de.po
Unknown parameter: %s\n,1212,Unbekannter Parameter: %s\n,1213,NetworkManager,po/de.po
preparing,1216,Vorbereitung läuft,1217,NetworkManager,po/de.po
Connection '%s' (%s) successfully deleted.\n,1221,Verbindung »%s« (%s) erfolgreich gelöscht.\n,1222,NetworkManager,po/de.po
Connection '%s' successfully deactivated (D-Bus active path: %s)\n,1226,Verbindung »%s« wurde erfolgreich deaktiviert (aktiver D-Bus-Pfad: %s)\n,1227,NetworkManager,po/de.po
Error: No connection specified.,1233,Fehler: Keine Verbindung angegeben.,1234,NetworkManager,po/de.po
Error: '%s' is not an active connection.\n,1238,Fehler: »%s« ist keine aktive Verbindung.\n,1239,NetworkManager,po/de.po
