Enable or disable system networking,30,Ενεργοποίηση ή απενεργοποίηση δικτύωσης συστήματος,31,NetworkManager,po/el.po
System policy prevents enabling or disabling system networking,34,Η πολιτική συστήματος δεν επιτρέπει ενεργοποίηση ή απενεργοποίηση της δικτύωσης του συστήματος,35,NetworkManager,po/el.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),52,Θέση της Διαχείρισης δικτύου σε αδράνεια ή ενεργοποίησή της (πρέπει να χρησιμοποιείται μόνο από τη διαχείριση ενέργειας του συστήματος),55,NetworkManager,po/el.po
System policy prevents putting NetworkManager to sleep or waking it up,60,Η πολιτική του συστήματος δεν επιτρέπει να τίθεται η διαχείριση δικτύου σε αδράνεια ή να ενεργοποιείται.,61,NetworkManager,po/el.po
Enable or disable Wi-Fi devices,66,Ενεργοποίηση ή απενεργοποίηση συσκευών ασύρματης δικτύωσης (WiFi),67,NetworkManager,po/el.po
System policy prevents enabling or disabling Wi-Fi devices,70,Η πολιτική συστήματος δεν επιτρέπει ενεργοποίηση ή απενεργοποίηση συσκευών ανοιχτού ασύρματου δικτύου (WiFi),71,NetworkManager,po/el.po
Enable or disable mobile broadband devices,76,Ενεργοποίηση ή απενεργοποίηση συσκευών ευρυζωνικότητας κινητής τηλεφωνίας,77,NetworkManager,po/el.po
System policy prevents enabling or disabling mobile broadband devices,81,Η πολιτική του συστήματος δεν επιτρέπει την ενεργοποίηση ή απενεργοποίηση συσκευών ευρυζωνικότητας κινητής τηλεφωνίας,82,NetworkManager,po/el.po
Enable or disable WiMAX mobile broadband devices,87,Ενεργοποίηση ή απενεργοποίηση WiMAX συσκευών ευρυζωνικότητας κινητής τηλεφωνίας,88,NetworkManager,po/el.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,93,Η πολιτική του συστήματος δεν επιτρέπει την ενεργοποίηση ή απενεργοποίηση WiMAX συσκευών ευρυζωνικότητας κινητής τηλεφωνίας,95,NetworkManager,po/el.po
Allow control of network connections,100,Να επιτρέπεται ο έλεγχος των συνδέσεων δικτύου,101,NetworkManager,po/el.po
System policy prevents control of network connections,104,Η πολιτική συστήματος δεν επιτρέπει τον έλεγχο των συνδέσεων δικτύου,105,NetworkManager,po/el.po
Connection sharing via a protected Wi-Fi network,120,Κοινή χρήση σύνδεσης μέσω προστατευμένου ασύρματου δικτύου,121,NetworkManager,po/el.po
System policy prevents sharing connections via a protected Wi-Fi network,124,Η πολιτική συστήματος δεν επιτρέπει κοινή χρήση συνδέσεων μέσω προστατευμένου ασύρματου δικτύου,126,NetworkManager,po/el.po
Connection sharing via an open Wi-Fi network,131,Κοινή χρήση σύνδεσης μέσω ανοιχτού ασύρματου δικτύου,132,NetworkManager,po/el.po
System policy prevents sharing connections via an open Wi-Fi network,135,Η πολιτική συστήματος δεν επιτρέπει κοινή χρήση συνδέσεων μέσω ανοιχτού ασύρματου δικτύου,136,NetworkManager,po/el.po
Modify personal network connections,141,Τροποποίηση προσωπικών συνδέσεων δικτύου,142,NetworkManager,po/el.po
System policy prevents modification of personal network settings,145,Η πολιτική συστήματος δεν επιτρέπει τροποποίηση των ρυθμίσεων δικτύου,146,NetworkManager,po/el.po
Modify network connections for all users,149,Τροποποίηση συνδέσεων δικτύου για όλους τους χρήστες,150,NetworkManager,po/el.po
System policy prevents modification of network settings for all users,153,Η πολιτική συστήματος δεν επιτρέπει τροποποίηση των ρυθμίσεων δικτύου για όλους τους χρήστες,154,NetworkManager,po/el.po
Modify persistent system hostname,159,Αλλαγή πάγιου ονόματος συστήματος,160,NetworkManager,po/el.po
System policy prevents modification of the persistent system hostname,163,Η πολιτική συστήματος δεν επιτρέπει τροποποίηση του πάγιου ονόματος συστήματος,164,NetworkManager,po/el.po
%s Network,234,Δίκτυο %s,235,NetworkManager,po/el.po
Wired connection %d,301,Ενσύρματη σύνδεση %d,302,NetworkManager,po/el.po
# Created by NetworkManager\n,528,# Δημιουργήθηκε από το NetworkManager\n,529,NetworkManager,po/el.po
# Merged from %s\n\n,533,# Συγχωνεύθηκαν από το %s\n\n,536,NetworkManager,po/el.po
