VPN disconnected,248,Disconnected,249,NetworkManager,po/en_GB.po
Modem initialization failed,3412,Modem initialisation failed,3413,NetworkManager,po/en_GB.po
Failed to initialize the crypto engine.,8704,Failed to initialise the crypto engine.,8705,NetworkManager,po/en_GB.po
Error initializing certificate data: %s,8754,Error initialising certificate data: %s,8755,NetworkManager,po/en_GB.po
Couldn't initialize PKCS#12 decoder: %s,8764,Couldn't initialise PKCS#12 decoder: %s,8765,NetworkManager,po/en_GB.po
Couldn't initialize PKCS#8 decoder: %s,8779,Couldn't initialise PKCS#8 decoder: %s,8780,NetworkManager,po/en_GB.po
Failed to initialize the crypto engine: %d.,8789,Failed to initialise the crypto engine: %d.,8790,NetworkManager,po/en_GB.po
Failed to initialize the decryption cipher slot.,8794,Failed to initialise the decryption cipher slot.,8795,NetworkManager,po/en_GB.po
Failed to initialize the decryption context.,8809,Failed to initialise the decryption context.,8810,NetworkManager,po/en_GB.po
Failed to finalize decryption of the private key: %d.,8824,Failed to finalise decryption of the private key: %d.,8825,NetworkManager,po/en_GB.po
Failed to initialize the encryption cipher slot.,8829,Failed to initialise the encryption cipher slot.,8830,NetworkManager,po/en_GB.po
Failed to initialize the encryption context.,8844,Failed to initialise the encryption context.,8845,NetworkManager,po/en_GB.po
Couldn't initialize PKCS#12 decoder: %d,8874,Couldn't initialise PKCS#12 decoder: %d,8875,NetworkManager,po/en_GB.po
Could not daemonize: %s [error %u]\n,11563,Could not daemonise: %s [error %u]\n,11564,NetworkManager,po/en_GB.po
Accerciser has a simple plugin framework which you can use to create custom views of accessibility information.,45,Accerciser has a simple plug-in framework which you can use to create custom views of accessibility information.,48,accerciser,po/en_GB.po
A list of plugins that are disabled by default,62,A list of plug-ins that are disabled by default,63,accerciser,po/en_GB.po
A list of plugins that are disabled by default.,66,A list of plug-ins that are disabled by default.,67,accerciser,po/en_GB.po
Highlight fill color,78,Highlight fill colour,79,accerciser,po/en_GB.po
The color and opacity of the highlight fill.,82,The colour and opacity of the highlight fill.,83,accerciser,po/en_GB.po
Highlight border color,86,Highlight border colour,87,accerciser,po/en_GB.po
The color and opacity of the highlight border.,90,The colour and opacity of the highlight border.,91,accerciser,po/en_GB.po
The layout for the bottom panel pluginview.,130,The layout for the bottom panel plug-in view.,131,accerciser,po/en_GB.po
The layout for the top panel pluginview.,138,The layout for the top panel plug-in view.,139,accerciser,po/en_GB.po
View plugins in a single layout.,146,View plug-ins in a single layout.,147,accerciser,po/en_GB.po
Available new pluginviews,150,Available new plug-in views,151,accerciser,po/en_GB.po
This list contains all the new available pluginviews,154,This list contains all the new available plug-in views,155,accerciser,po/en_GB.po
The pluginview layout,158,The plug-in view layout,159,accerciser,po/en_GB.po
The default plugin layout for the top panel.,162,The default plug-in layout for the top panel.,163,accerciser,po/en_GB.po
Event monitor,222,Event Monitor,223,accerciser,po/en_GB.po
Plugin with various methods of selecting accessibles quickly.,627,Plug-in with various methods of selecting accessibles quickly.,628,accerciser,po/en_GB.po
Plugins,884,Plug-ins,885,accerciser,po/en_GB.po
Border color:,900,Border colour:,901,accerciser,po/en_GB.po
The border color of the highlight box,904,The border colour of the highlight box,905,accerciser,po/en_GB.po
Fill color:,908,Fill colour:,909,accerciser,po/en_GB.po
The fill color of the highlight box,912,The fill colour of the highlight box,913,accerciser,po/en_GB.po
