GROUP,93,GRUPO,94,NetworkManager,po/eo.po
Error: NetworkManager is not running.,124,Eraro: NetworkManager ne rulas.,125,NetworkManager,po/eo.po
access denied,137,rifuzis aliron,138,NetworkManager,po/eo.po
NetworkManager is not running,141,NetworkManager ne rulas,142,NetworkManager,po/eo.po
unknown,161,nekonata,162,NetworkManager,po/eo.po
none,165,neniu,166,NetworkManager,po/eo.po
limited,173,limigita,174,NetworkManager,po/eo.po
full,177,plena,178,NetworkManager,po/eo.po
Setting name? ,182,Nomo de agordo? ,183,NetworkManager,po/eo.po
Property name? ,186,Nomo de atributo? ,187,NetworkManager,po/eo.po
activating,212,aktivigante,213,NetworkManager,po/eo.po
activated,216,ŝaltita,217,NetworkManager,po/eo.po
deactivating,220,malaktivigante,221,NetworkManager,po/eo.po
deactivated,224,malŝaltita,225,NetworkManager,po/eo.po
VPN connecting (prepare),228,VPR konektante (preparo),229,NetworkManager,po/eo.po
VPN connecting (need authentication),232,VPR konektante (bezonas aŭtentigon),233,NetworkManager,po/eo.po
VPN connecting,236,VPR konektante,237,NetworkManager,po/eo.po
VPN connecting (getting IP configuration),240,VPR konektante (akirante IP-agordaron),241,NetworkManager,po/eo.po
VPN connected,244,VPR konektita,245,NetworkManager,po/eo.po
VPN connection failed,248,VPR-konekto malsukcesis,249,NetworkManager,po/eo.po
VPN disconnected,252,VPR malkonektis,253,NetworkManager,po/eo.po
never,256,neniam,257,NetworkManager,po/eo.po
Error updating secrets for %s: %s\n,657,Eraro dum ĝisdatigo de sekretoj por %s: %s\n,658,NetworkManager,po/eo.po
Connection profile details,661,Detaloj de profilo de konekto,662,NetworkManager,po/eo.po
Activate connection details,670,Aktivigi detalojn de konekto,671,NetworkManager,po/eo.po
NAME,677,NOMO,678,NetworkManager,po/eo.po
'--order' argument is missing,715,'--order'-argumento mankas,716,NetworkManager,po/eo.po
Error: %s argument is missing.,743,Eraro: argumento %s mankas.,744,NetworkManager,po/eo.po
Error: %s.,760,Eraro: %s.,761,NetworkManager,po/eo.po
no active connection on device '%s',765,neniu aktiva konekto sur aparato '%s',766,NetworkManager,po/eo.po
no active connection or device,769,neniu aktiva konekto aŭ aparato,770,NetworkManager,po/eo.po
device '%s' not compatible with connection '%s',779,aparato '%s' ne kongruas kun konekto '%s',780,NetworkManager,po/eo.po
no device found for connection '%s',784,neniu aparato trovita por konekto '%s',785,NetworkManager,po/eo.po
Error: Connection activation failed: %s,805,Eraro: Aktivigo de konekto malsukcesis: %s,806,NetworkManager,po/eo.po
unknown device '%s'.,835,nekonata aparato '%s'.,836,NetworkManager,po/eo.po
preparing,854,preparante,855,NetworkManager,po/eo.po
