Enable or disable system networking,38,Activar o desactivar la red del sistema,39,NetworkManager,po/es.po
System policy prevents enabling or disabling system networking,42,La política del sistema evita activar o desactivar la red del sistema,43,NetworkManager,po/es.po
Reload NetworkManager configuration,46,Recargar la configuración de NetworkManager,47,NetworkManager,po/es.po
System policy prevents reloading NetworkManager,50,La política del sistema impide recargar NetworkManager,51,NetworkManager,po/es.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),54,Poner NetworkManager a dormir o despertarlo (sólo lo debería usar el gestor de energía del sistema),57,NetworkManager,po/es.po
System policy prevents putting NetworkManager to sleep or waking it up,62,La política del sistema evita poner a NetworkManager a dormir o despertarlo,63,NetworkManager,po/es.po
Enable or disable Wi-Fi devices,67,Activar o desactivar los dispositivos WiFi,68,NetworkManager,po/es.po
System policy prevents enabling or disabling Wi-Fi devices,71,La política del sistema evita activar o desactivar los dispositivos WiFi,72,NetworkManager,po/es.po
Enable or disable mobile broadband devices,76,Activar o desactivar los dispositivos de banda ancha móvil,77,NetworkManager,po/es.po
System policy prevents enabling or disabling mobile broadband devices,80,La política del sistema evita activar o desactivar los dispositivos de banda ancha móvil,81,NetworkManager,po/es.po
Enable or disable WiMAX mobile broadband devices,86,Activar o desactivar los dispositivos de banda ancha móvil WiMAX,87,NetworkManager,po/es.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,90,La política del sistema evita activar o desactivar los dispositivos de banda ancha móvil WiMAX,92,NetworkManager,po/es.po
Allow control of network connections,97,Permitir controlar las conexiones de red,98,NetworkManager,po/es.po
System policy prevents control of network connections,101,La política de sistema evita el control de las conexiones de red,102,NetworkManager,po/es.po
Connection sharing via a protected Wi-Fi network,116,Compartir conexión a través de una red WiFi protegida,117,NetworkManager,po/es.po
System policy prevents sharing connections via a protected Wi-Fi network,120,La política del sistema evita compartir conexiones a través de una red WiFi protegida,122,NetworkManager,po/es.po
Connection sharing via an open Wi-Fi network,127,Compartir conexión a través de una red WiFi abierta,128,NetworkManager,po/es.po
