# Created by NetworkManager\n,459,# Loodud NetworkManager'i poolt\n,460,NetworkManager,po/et.po
# Merged from %s\n\n,464,# Liidetud allikast %s\n\n,467,NetworkManager,po/et.po
Failed to initialize the crypto engine.,3346,Šifreerimismootori lähtestamine nurjus.,3347,NetworkManager,po/et.po
Error initializing certificate data: %s,3401,Sertifikaadi andmete lähtestamine nurjus: %s,3402,NetworkManager,po/et.po
Couldn't decode certificate: %s,3406,Sertifikaati ei saa dešifreerida: %s,3407,NetworkManager,po/et.po
Failed to initialize the crypto engine: %d.,3436,Šifrimootori lähtestamine nurjus: %d.,3437,NetworkManager,po/et.po
Failed to initialize the decryption cipher slot.,3441,Šifripesa lähtestamine nurjus.,3442,NetworkManager,po/et.po
Failed to set symmetric key for decryption.,3446,Sümmeetrilise võtme määramine dešifreerimiseks nurjus.,3447,NetworkManager,po/et.po
Failed to set IV for decryption.,3451,IV määramine dešifreerimiseks nurjus.,3452,NetworkManager,po/et.po
Failed to initialize the decryption context.,3456,Dešifreerimise konteksti lähtestamine nurjus.,3457,NetworkManager,po/et.po
Failed to decrypt the private key: %d.,3461,Privaatvõtme dešifreerimine nurjus: %d.,3462,NetworkManager,po/et.po
Failed to finalize decryption of the private key: %d.,3471,Privaatvõtme dešifreerimise lõpetamine nurjus: %d.,3472,NetworkManager,po/et.po
Couldn't decode certificate: %d,3506,Sertifikaati ei suudetud dekodeerida: %d,3507,NetworkManager,po/et.po
PEM key file had no end tag '%s'.,3557,PEM võtmefaili lõpus ei olnud '%s'.,3558,NetworkManager,po/et.po
Malformed PEM file: Proc-Type was not first tag.,3562,Vigane PEM fail: Proc-Type ei olnud esimene silt.,3563,NetworkManager,po/et.po
Malformed PEM file: unknown Proc-Type tag '%s'.,3567,Vigane PEM fail: tundmatu Proc-Type silt '%s'.,3568,NetworkManager,po/et.po
Malformed PEM file: DEK-Info was not the second tag.,3572,Vigane PEM fail: DEK-info ei olnud teine silt.,3573,NetworkManager,po/et.po
Malformed PEM file: no IV found in DEK-Info tag.,3577,Vigane PEM fail: IV ei leitud DEK-Info sildis.,3578,NetworkManager,po/et.po
Malformed PEM file: invalid format of IV in DEK-Info tag.,3582,Vigane PEM fail: IV vigane vorming DEK-Info sildis.,3583,NetworkManager,po/et.po
Malformed PEM file: unknown private key cipher '%s'.,3587,Vigane PEM fail: tunmatu privaatvõtme šiffer '%s'.,3588,NetworkManager,po/et.po
Could not decode private key.,3592,Privaatvõtit ei saa dešifreerida.,3593,NetworkManager,po/et.po
IV must be an even number of bytes in length.,3620,IV pikkus baitides peab olema paarisarv.,3621,NetworkManager,po/et.po
