unknown,148,ezezaguna,149,NetworkManager,po/eu.po
none,152,bat ere ez,153,NetworkManager,po/eu.po
activating,203,aktibatzen,204,NetworkManager,po/eu.po
activated,207,aktibatuta,208,NetworkManager,po/eu.po
VPN connecting (prepare),221,VPN konektatzen (prestatzen),222,NetworkManager,po/eu.po
VPN connecting (need authentication),225,VPN konektatzen (autentifikazioa behar da),226,NetworkManager,po/eu.po
VPN connecting,229,VPN konektatzen,230,NetworkManager,po/eu.po
VPN connecting (getting IP configuration),233,VPN konektatzen (IP konfigurazioa lortzen),234,NetworkManager,po/eu.po
VPN connected,237,VPN konektatuta,238,NetworkManager,po/eu.po
VPN connection failed,241,VPN konexioak huts egin du,242,NetworkManager,po/eu.po
VPN disconnected,245,VPN deskonektatuta,246,NetworkManager,po/eu.po
Error: %s argument is missing.,737,Errorea: %s argumentua falta da.,738,NetworkManager,po/eu.po
no active connection on device '%s',758,ez dago konexio aktiborik '%s' gailuan,759,NetworkManager,po/eu.po
no active connection or device,762,ez dago konexio edo gailu aktiborik,763,NetworkManager,po/eu.po
Error: Connection activation failed: %s,798,Errorea: konexioaren aktibazioak huts egin du: %s,799,NetworkManager,po/eu.po
Unknown parameter: %s\n,840,Parametro ezezagunak: %s\n,841,NetworkManager,po/eu.po
no,1009,ez,1010,NetworkManager,po/eu.po
yes,1019,bai,1020,NetworkManager,po/eu.po
(none),1846,(bat ere ez),1847,NetworkManager,po/eu.po
(unknown),1850,(ezezaguna),1851,NetworkManager,po/eu.po
Status of devices,2170,Gailuen egoera,2171,NetworkManager,po/eu.po
Error: Timeout %d sec expired.,2186,Errorea: denbora-muga %d segundotan iraungituta.,2187,NetworkManager,po/eu.po
Error: '%s' argument is missing.,2283,Errorea: '%s' argumentua falta da.,2284,NetworkManager,po/eu.po
Error: Device '%s' not found.,2338,Errorea: '%s' gailua ez da aurkitu.,2339,NetworkManager,po/eu.po
asleep,2491,lotan,2492,NetworkManager,po/eu.po
connecting,2495,konektatzen,2496,NetworkManager,po/eu.po
connected,2508,konektatuta,2509,NetworkManager,po/eu.po
disconnected,2517,deskonektatuta,2518,NetworkManager,po/eu.po
running,2525,exekutatzen,2526,NetworkManager,po/eu.po
enabled,2538,gaituta,2539,NetworkManager,po/eu.po
disabled,2542,desgaituta,2543,NetworkManager,po/eu.po
NetworkManager status,2733,NetworkManager-en egoera,2734,NetworkManager,po/eu.po
"nmcli tool, version %s\n",3023,"nmcli tresna, %s bertsioa\n",3024,NetworkManager,po/eu.po
Success,3037,Behar bezala egin da,3038,NetworkManager,po/eu.po
on,3172,piztu,3173,NetworkManager,po/eu.po
off,3176,itzali,3177,NetworkManager,po/eu.po
unmanaged,3219,kudeatu gabea,3220,NetworkManager,po/eu.po
unavailable,3223,ez dago erabilgarri,3224,NetworkManager,po/eu.po
connecting (prepare),3227,konektatzen (prestatzen),3228,NetworkManager,po/eu.po
connecting (configuring),3231,konektatzen (konfiguratzen),3232,NetworkManager,po/eu.po
connecting (need authentication),3235,konektatzen (autentifikazioa behar da),3236,NetworkManager,po/eu.po
connecting (getting IP configuration),3239,konektatzen (IParen konfigurazioa lortzen),3240,NetworkManager,po/eu.po
connection failed,3253,konexioak huts egin du,3254,NetworkManager,po/eu.po
Unknown,3268,Ezezaguna,3269,NetworkManager,po/eu.po
Service,4850,Zerbitzua,4851,NetworkManager,po/eu.po
Gateway,4977,Atebidea,4978,NetworkManager,po/eu.po
Device,7793,Gailua,7794,NetworkManager,po/eu.po
Prefix,8341,Aurrizkia,8342,NetworkManager,po/eu.po
PEM key file had no end tag '%s'.,8544,PEM gako-fitxategiak ez du amaierako '%s' etiketa.,8545,NetworkManager,po/eu.po
Malformed PEM file: Proc-Type was not first tag.,8549,Gaizki osatutako PEM fitxategia: Proc-Type ez da aurreneko etiketa.,8550,NetworkManager,po/eu.po
Malformed PEM file: unknown Proc-Type tag '%s'.,8554,Gaizki osatutako PEM fitxategia: Proc-Type '%s' etiketa ezezaguna.,8555,NetworkManager,po/eu.po
Malformed PEM file: DEK-Info was not the second tag.,8559,Gaizki osatutako PEM fitxategia: DEK-Info ez da bigarren etiketa.,8560,NetworkManager,po/eu.po
Malformed PEM file: no IV found in DEK-Info tag.,8564,Gaizki osatutako PEM fitxategia: ez da IV aurkitu DEK-Info etiketan.,8565,NetworkManager,po/eu.po
Malformed PEM file: invalid format of IV in DEK-Info tag.,8569,Gaizki osatutako PEM fitxategia: IV-ek okerreko formatua du DEK-Info etiketan.,8570,NetworkManager,po/eu.po
Malformed PEM file: unknown private key cipher '%s'.,8576,Gaizki osatutako PEM fitxategia: gako pribatuaren '%s' zifratua ezezaguna.,8577,NetworkManager,po/eu.po
Could not decode private key.,8582,Ezin izan da gako pribatua deskodetu.,8583,NetworkManager,po/eu.po
IV must be an even number of bytes in length.,8601,IV-ek byte-kopuru bikoitia izan behar du luzeran.,8602,NetworkManager,po/eu.po
IV contains non-hexadecimal digits.,8606,IV-ek hamaseitarrak ez diren digituak ditu.,8607,NetworkManager,po/eu.po
Unable to determine private key type.,8616,Huts egin du gako pribatuaren mota zehaztean.,8617,NetworkManager,po/eu.po
Failed to decode certificate.,8636,Huts egin du ziurtagiria deskodetzean.,8637,NetworkManager,po/eu.po
Failed to initialize the crypto engine.,8655,Huts egin du zifratzearen motorra hasieratzean.,8656,NetworkManager,po/eu.po
Failed to decrypt the private key: unexpected padding length.,8681,Huts egin du gako pribatua deszifratzean: ustekabeko betegarriaren luzera.,8682,NetworkManager,po/eu.po
Failed to decrypt the private key.,8687,Huts egin du gako pribatua deszifratzean.,8688,NetworkManager,po/eu.po
Error initializing certificate data: %s,8707,Errorea ziurtagiriaren datuak hasieratzean: %s,8708,NetworkManager,po/eu.po
Couldn't decode certificate: %s,8712,Ezin izan da ziurtagiria deskodetu: %s.,8713,NetworkManager,po/eu.po
Couldn't initialize PKCS#12 decoder: %s,8717,Ezin izan da PKCS#12 deskodetzailea hasieratu: %s,8718,NetworkManager,po/eu.po
Couldn't decode PKCS#12 file: %s,8722,Ezin izan da PKCS#12 fitxategia deskodetu: %s,8723,NetworkManager,po/eu.po
Couldn't verify PKCS#12 file: %s,8727,Ezin izan da PKCS#12 fitxategia egiaztatu: %s,8728,NetworkManager,po/eu.po
Failed to initialize the crypto engine: %d.,8742,Huts egin du zifratzearen motorra hasieratzean: %d.,8743,NetworkManager,po/eu.po
Failed to initialize the decryption cipher slot.,8747,Huts egin du zifratuaren erretena hasieratzean deszifratzeko.,8748,NetworkManager,po/eu.po
Failed to set symmetric key for decryption.,8752,Huts egin du gako simetrikoa ezartzean deszifratzeko.,8753,NetworkManager,po/eu.po
Failed to set IV for decryption.,8757,Huts egin du IV ezartzean deszifratzeko.,8758,NetworkManager,po/eu.po
Failed to initialize the decryption context.,8762,Huts egin du deszifratzearen testuingurua hasieratzean.,8763,NetworkManager,po/eu.po
Failed to decrypt the private key: %d.,8767,Huts egin du gako pribatua deszifratzean: %d.,8768,NetworkManager,po/eu.po
Failed to decrypt the private key: decrypted data too large.,8772,Huts egin du gako pribatua deszifratzean: deszifratutako datuak luzeegiak dira.,8773,NetworkManager,po/eu.po
Failed to finalize decryption of the private key: %d.,8779,Huts egin du gako pribatuaren deszifratzea amaitzean: %d.,8780,NetworkManager,po/eu.po
Failed to initialize the encryption cipher slot.,8784,Huts egin du zifratuaren erretenaren enkriptazioa hasieratzean.,8785,NetworkManager,po/eu.po
Failed to set symmetric key for encryption.,8789,Huts egin du gako simetrikoa ezartzean enkriptatzeko.,8790,NetworkManager,po/eu.po
Failed to set IV for encryption.,8794,Huts egin du IV ezartzean enkriptatzeko.,8795,NetworkManager,po/eu.po
Failed to initialize the encryption context.,8799,Huts egin du enkriptazioaren testuingurua hasieratzean.,8800,NetworkManager,po/eu.po
Failed to encrypt: %d.,8804,Huts egin du enkriptatzean: %d.,8805,NetworkManager,po/eu.po
Unexpected amount of data after encrypting.,8809,Ustekabeko datu kopurua enkriptatu ostean.,8810,NetworkManager,po/eu.po
Couldn't decode certificate: %d,8814,Ezin izan da ziurtagiria dekodetu: %d,8815,NetworkManager,po/eu.po
Couldn't initialize PKCS#12 decoder: %d,8829,Ezin izan da PKCS#12 deskodetzailea hasieratu: %d,8830,NetworkManager,po/eu.po
Couldn't decode PKCS#12 file: %d,8834,Ezin izan da PKCS#12 fitxategia deskodetu: %d,8835,NetworkManager,po/eu.po
Couldn't verify PKCS#12 file: %d,8839,Ezin izan da PKCS#12 fitxategia egiaztatu: %d,8840,NetworkManager,po/eu.po
Could not generate random data.,8843,Ezin izan da ausazko daturik sortu.,8844,NetworkManager,po/eu.po
Connection sharing via a protected Wi-Fi network,11268,Konexio partekatua babestutako haririk gabeko sarearen bidez,11269,NetworkManager,po/eu.po
System policy prevents sharing connections via a protected Wi-Fi network,11272,Sistemako arauek babestutako haririk gabeko sareen bidez konexioak partekatzea saihesten dute,11274,NetworkManager,po/eu.po
Connection sharing via an open Wi-Fi network,11279,Konexio partekatua irekitako haririk gabeko sarearen bidez,11280,NetworkManager,po/eu.po
System policy prevents sharing connections via an open Wi-Fi network,11283,Sistemako arauek irakitako haririk gabeko sareen bidez konexioak partekatzea saihesten dute,11284,NetworkManager,po/eu.po
Modify persistent system hostname,11309,Aldatu sistemako ostalari-izen iraunkorra,11310,NetworkManager,po/eu.po
System policy prevents modification of the persistent system hostname,11313,Sistemako arauek sistemako ostalari-izen iraunkorra aldatzea saihesten dute,11314,NetworkManager,po/eu.po
# Created by NetworkManager\n,11529,# NetworkManager-ek sortuta\n,11530,NetworkManager,po/eu.po
# Merged from %s\n\n,11534,# %s(e)ndik batuta\n\n,11537,NetworkManager,po/eu.po
Give your application an accessibility workout,29,Eman aplikazioari erabilerraza izateko ahalmena,30,accerciser,po/eu.po
accessibility;development;test;,33,erabilgarritasuna;garapena;proba;,34,accerciser,po/eu.po
Accerciser Accessibility Explorer,37,Accerciser erabilerraztasunerako arakatzailea,38,accerciser,po/eu.po
A list of plugins that are disabled by default,41,Lehenespenez desgaitzen diren pluginen zerrenda,42,accerciser,po/eu.po
A list of plugins that are disabled by default.,45,Lehenespenez desgaitzen diren pluginen zerrenda,46,accerciser,po/eu.po
Highlight duration,49,Nabarmentzearen iraupena,50,accerciser,po/eu.po
The duration of the highlight box when selecting accessible nodes.,53,Nabarmentze-koadroaren iraupena nodo erabilerrazak hautatzean.,54,accerciser,po/eu.po
Highlight fill color,57,Nabarmentze-betegarriaren kolorea,58,accerciser,po/eu.po
The color and opacity of the highlight fill.,61,Nabarmentze-betegarriaren kolorea eta opakutasuna.,62,accerciser,po/eu.po
Highlight border color,65,Nabarmentze-ertzaren kolorea,66,accerciser,po/eu.po
The color and opacity of the highlight border.,69,Nabarmentze-ertzaren kolorea eta opakutasuna.,70,accerciser,po/eu.po
Horizontal split,73,Zatitze horizontala,74,accerciser,po/eu.po
Position of the horizontal split of the main window.,77,Leiho nagusiaren zatitze horizontalaren posizioa.,78,accerciser,po/eu.po
Vertical split,81,Zatitze bertikala,82,accerciser,po/eu.po
Position of the vertical split of the main window.,85,Leiho nagusiaren zatitze bertikalaren posizioa.,86,accerciser,po/eu.po
Default window height,89,Leihoaren altuera lehenetsia,90,accerciser,po/eu.po
The window height value.,93,Leihoaren altueraren balioa.,94,accerciser,po/eu.po
Default window width,97,Leihoaren zabalera lehenetsia,98,accerciser,po/eu.po
The window width value.,101,Leihoaren zabaleraren balioa.,102,accerciser,po/eu.po
The layout for the bottom panel,105,Beheko panelaren plugin-diseinu lehenetsia.,106,accerciser,po/eu.po
The layout for the bottom panel pluginview.,109,Beheko panelaren plugin-ikuspegi lehenetsia.,110,accerciser,po/eu.po
The layout for the top panel,113,Goiko panelaren diseinu lehenetsia.,114,accerciser,po/eu.po
