Disk Usage Analyzer,32,تحلیلگر مصرف دیسک,33,baobab,po/fa.po
Check folder sizes and available disk space,36,بررسی اندازهٔ شاخه‌ها و فضای دیسک موجود,37,baobab,po/fa.po
A simple application to keep your disk usage and available space under control.,40,برنامه‌ای ساده برای واپایش مصرف و فضای موجود دیسک.,42,baobab,po/fa.po
"Disk Usage Analyzer can scan specific folders, storage devices and online accounts. It provides both a tree and a graphical representation showing the size of each folder, making it easy to identify where disk space is wasted.",45,تحلیلگر مصرف دیسک می‌تواند شاخه‌های خاص، دستگاه‌های ذخیره و حساب‌های برخط را بپوید. این برنامه یک بازنمایی درختی و گرافیکی فراهم می‌کند که اندازهٔ هر شاخه را برای تسهیل تشخیص مکان هدر رفت فضای دیسک، نشان می‌دهد.,49,baobab,po/fa.po
Devices and Locations,55,افزاره‌ها و مکان‌ها,56,baobab,po/fa.po
The GNOME Project,59,پروژه گنوم,60,baobab,po/fa.po
storage;space;cleanup;,64,storage;space;cleanup;ذخیره;فضا;پاکسازی;,65,baobab,po/fa.po
Excluded locations URIs,68,نشانی مکان‌های مستثنا,69,baobab,po/fa.po
A list of URIs for locations to be excluded from scanning.,72,سیاهه‌ای از نشانی‌های مکان‌هایی که پویش نمی‌شوند.,73,baobab,po/fa.po
Active Chart,76,نمودار فعال,77,baobab,po/fa.po
Which type of chart should be displayed.,80,چه نوع نموداری باید نمایش داده شود.,81,baobab,po/fa.po
Window size,84,اندازهٔ پنجره,85,baobab,po/fa.po
The initial size of the window,88,اندازهٔ نخستین پنجره,89,baobab,po/fa.po
Window Maximized,92,پنجره بیشینه شد,93,baobab,po/fa.po
Whether or not the window is maximized,96,این که پنجره بیشینه باشد یا خیر,97,baobab,po/fa.po
General,101,عمومی,102,baobab,po/fa.po
Show help,106,نمایش راهنما,107,baobab,po/fa.po
Show / Hide primary menu,111,نمایش / نهفتن فهرست اصلی,112,baobab,po/fa.po
Quit,116,خروج,117,baobab,po/fa.po
Show Keyboard Shortcuts,121,نمایش میان‌برهای صفحه‌کلید,122,baobab,po/fa.po
