Enable or disable system networking,30,Activer ou désactiver le réseau système,31,NetworkManager,po/fr.po
System policy prevents enabling or disabling system networking,34,La politique du système empêche l'activation ou la désactivation du réseau du système,35,NetworkManager,po/fr.po
Reload NetworkManager configuration,40,Réinitialiser la configuration de NetworkManager,41,NetworkManager,po/fr.po
System policy prevents reloading NetworkManager,44,La politique du système empêche le chargement à nouveau du NetworkManager,45,NetworkManager,po/fr.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),49,Mettre NetworkManager en veille ou le réveiller (utile uniquement pour la gestion d'énergie du système),52,NetworkManager,po/fr.po
System policy prevents putting NetworkManager to sleep or waking it up,57,La politique du système empêche la mise en veille et le réveil de NetworkManager,58,NetworkManager,po/fr.po
Enable or disable Wi-Fi devices,63,Activer ou désactiver des périphériques Wi-Fi,64,NetworkManager,po/fr.po
System policy prevents enabling or disabling Wi-Fi devices,67,La politique du système empêche l'activation ou la désactivation de périphériques Wi-Fi,68,NetworkManager,po/fr.po
Enable or disable mobile broadband devices,73,Activer ou désactiver des périphériques mobiles à large bande,74,NetworkManager,po/fr.po
System policy prevents enabling or disabling mobile broadband devices,77,La politique du système empêche l'activation ou la désactivation de périphériques mobiles à large bande,78,NetworkManager,po/fr.po
Enable or disable WiMAX mobile broadband devices,83,Activer ou désactiver des périphériques WiMAX à large bande,84,NetworkManager,po/fr.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,87,La politique du système empêche l'activation ou la désactivation de périphériques WiMAX à large bande,89,NetworkManager,po/fr.po
Allow control of network connections,94,Autoriser le contrôle des connexions réseau,95,NetworkManager,po/fr.po
System policy prevents control of network connections,98,La politique du système empêche le contrôle des connexions réseau,99,NetworkManager,po/fr.po
Allow control of Wi-Fi scans,102,Autoriser le contrôle des connexions réseau,103,NetworkManager,po/fr.po
System policy prevents Wi-Fi scans,106,La politique du système empêche de scanner la Wi-Fi,107,NetworkManager,po/fr.po
Connection sharing via a protected Wi-Fi network,110,Partage de connexion via un réseau Wi-Fi protégé,111,NetworkManager,po/fr.po
System policy prevents sharing connections via a protected Wi-Fi network,114,La politique du système empêche tout partage des connexions via un réseau Wi-Fi protégé,116,NetworkManager,po/fr.po
Connection sharing via an open Wi-Fi network,121,Partage de connexion via un réseau Wi-Fi ouvert,122,NetworkManager,po/fr.po
System policy prevents sharing connections via an open Wi-Fi network,125,La politique du système empêche tout partage des connexions via un réseau Wi-Fi ouvert,126,NetworkManager,po/fr.po
Modify personal network connections,131,Modifier les connexions du réseau personnel,132,NetworkManager,po/fr.po
System policy prevents modification of personal network settings,135,La politique du système empêche toute modification des paramètres réseau personnels,136,NetworkManager,po/fr.po
Modify network connections for all users,141,Modifier les connexions réseau pour tous les utilisateurs,142,NetworkManager,po/fr.po
System policy prevents modification of network settings for all users,145,La politique du système empêche toute modification des paramètres réseau pour tous les utilisateurs,146,NetworkManager,po/fr.po
Modify persistent system hostname,151,Modifier le nom d'hôte persistant du système,152,NetworkManager,po/fr.po
System policy prevents modification of the persistent system hostname,155,La politique du système empêche toute modification du nom d'hôte persistant du système,156,NetworkManager,po/fr.po
Modify persistent global DNS configuration,161,Modifier la configuration DNS globale persistante,162,NetworkManager,po/fr.po
System policy prevents modification of the persistent global DNS configuration,165,La politique du système empêche toute modification de la configuration DNS globale persistante,168,NetworkManager,po/fr.po
Perform a checkpoint or rollback of interfaces configuration,173,Faire un point de contrôle ou un retour en arrière de la configuration des interfaces,174,NetworkManager,po/fr.po
System policy prevents the creation of a checkpoint or its rollback,179,La politique du système empêche la création d'un point de contrôle ou son annulation,180,NetworkManager,po/fr.po
Enable or disable device statistics,185,Activer ou désactiver les statistiques système du périphérique,186,NetworkManager,po/fr.po
System policy prevents enabling or disabling device statistics,189,La politique du système empêche l'activation ou la désactivation des statistiques système du périphérique,190,NetworkManager,po/fr.po
Enable or disable connectivity checking,195,Activer ou désactiver le contrôle de connectivité,196,NetworkManager,po/fr.po
System policy prevents enabling or disabling connectivity checking,199,La politique système empêche d'activer ou de désactiver le contrôle de connectivité,200,NetworkManager,po/fr.po
ADSL connection,216,Connexion ADSL,217,NetworkManager,po/fr.po
%s Network,221,Réseau %s,222,NetworkManager,po/fr.po
"PAN requested, but Bluetooth device does not support NAP",225,"PAN exigé, sauf que le périphérique Bletooth ne prend pas NAP en charge",226,NetworkManager,po/fr.po
