Disk Usage Analyzer,32,Anailíseoir Úsáid Diosca,33,baobab,po/ga.po
Check folder sizes and available disk space,36,Seiceáil méideanna fillteán agus spás diosca le fáil,37,baobab,po/ga.po
storage;space;cleanup;,40,stóras;spás;glanadh;,41,baobab,po/ga.po
Active Chart,52,Cairt Ghníomhach,53,baobab,po/ga.po
Window size,60,Méid na fuinneoige,61,baobab,po/ga.po
Window state,68,Staid na fuinneoige,69,baobab,po/ga.po
- Disk Usage Analyzer,80,- Anailíseoir Úsáid Diosca,81,baobab,po/ga.po
%d item,85,%d mhír,87,baobab,po/ga.po
%d item,85,%d mhír,88,baobab,po/ga.po
%d item,85,%d mhír,89,baobab,po/ga.po
%d item,85,%d mír,90,baobab,po/ga.po
%d item,85,%d mír,91,baobab,po/ga.po
Unknown,95,Anaithnid,96,baobab,po/ga.po
Today,100,Inniu,101,baobab,po/ga.po
%d day,106,%d lá,108,baobab,po/ga.po
%d day,106,%d lá,109,baobab,po/ga.po
%d day,106,%d lá,110,baobab,po/ga.po
%d day,106,%d lá,111,baobab,po/ga.po
%d day,106,%d lá,112,baobab,po/ga.po
%d month,117,%d mhí,119,baobab,po/ga.po
%d month,117,%d mhí,120,baobab,po/ga.po
%d month,117,%d mhí,121,baobab,po/ga.po
%d month,117,%d mí,122,baobab,po/ga.po
%d month,117,%d mí,123,baobab,po/ga.po
%d year,128,%d bhliain,130,baobab,po/ga.po
%d year,128,%d bhliain,131,baobab,po/ga.po
%d year,128,%d bhliana,132,baobab,po/ga.po
%d year,128,%d mbliana,133,baobab,po/ga.po
%d year,128,%d bliain,134,baobab,po/ga.po
Home folder,137,Fillteán baile,138,baobab,po/ga.po
Computer,141,Ríomhaire,142,baobab,po/ga.po
Scan Folder…,145,Scan Fillteán…,146,baobab,po/ga.po
Scan Remote Folder…,149,Scan Fillteán Cianda…,150,baobab,po/ga.po
_Open Folder,153,_Oscail Fillteán,154,baobab,po/ga.po
