Unknown,988,Chan eil fhios,989,NetworkManager,po/gd.po
property is missing,1176,tha buadh a dhìth,1177,NetworkManager,po/gd.po
property is empty,1526,tha a' bhuadh falamh,1527,NetworkManager,po/gd.po
property is invalid,1568,tha a' bhuadh mì-dhligheach,1569,NetworkManager,po/gd.po
'%s' is not a valid value for the property,1581,"chan eil \""%s\"" 'na luach dligheach airson na buaidh",1582,NetworkManager,po/gd.po
property invalid (not enabled),1848,chan eil a' bhuadh dligheach (chan eil i gnìomhach),1849,NetworkManager,po/gd.po
property invalid,1861,buadh mhì-dhligheach,1862,NetworkManager,po/gd.po
property value '%s' is empty or too long (>64),1889,"tha luach na buaidh \""%s\"" falamh no ro fhada (>64)",1890,NetworkManager,po/gd.po
this property cannot be empty for '%s=%s',2312,"chan fhaod a' bhuadh seo a bhith falamh airson \""%s=%s\""",2313,NetworkManager,po/gd.po
this property is not allowed for '%s=%s',2322,"chan eil a' bhuadh seo ceadaichte airson \""%s=%s\""",2323,NetworkManager,po/gd.po
property is not specified and neither is '%s:%s',2389,"cha deach a' bhuadh no \""%s:%s\"" a shònrachadh",2390,NetworkManager,po/gd.po
setting this property requires non-zero '%s' property,2585,"feumaidh tu buadh \""%s\"" nach eil na neoni gus a' bhuadh seo a shuidheachadh",2586,NetworkManager,po/gd.po
unknown,3878,chan eil fhios,3879,NetworkManager,po/gd.po
unmanaged,3882,gun stiùireadh,3883,NetworkManager,po/gd.po
unavailable,3886,chan eil e ri fhaighinn,3887,NetworkManager,po/gd.po
disconnected,3890,air a dhì-cheangal,3891,NetworkManager,po/gd.po
connecting (prepare),3894,'ga cheangal ('ga ullachadh),3895,NetworkManager,po/gd.po
connecting (configuring),3898,'ga cheangal ('ga rèiteachadh),3899,NetworkManager,po/gd.po
connecting (need authentication),3902,'ga cheangal (feumach air dearbhadh),3903,NetworkManager,po/gd.po
connecting (getting IP configuration),3906,'ga cheangal (a' faighinn rèiteachadh IP),3907,NetworkManager,po/gd.po
connecting (checking IP connectivity),3910,'ga cheangal (a' dearbhadh comas-ceangail IP),3911,NetworkManager,po/gd.po
connecting (starting secondary connections),3914,'ga cheangal (a' tòiseachadh ceanglaichean dàrnach),3915,NetworkManager,po/gd.po
connected,3918,ceangailte,3919,NetworkManager,po/gd.po
deactivating,3922,'ga chur à gnìomh,3923,NetworkManager,po/gd.po
