Enable or disable system networking,27,Activar ou desactivar a rede do sistema,28,NetworkManager,po/gl.po
System policy prevents enabling or disabling system networking,31,A normativa do sistema evita a activación ou desactivación da rede do sistema,32,NetworkManager,po/gl.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),47,Poñer o NetworkManager en suspensión e espertalo (só debe ser usado polo sistema de xestión de rede),50,NetworkManager,po/gl.po
System policy prevents putting NetworkManager to sleep or waking it up,55,A normativa do sistema evita poñer o NetworkManager en suspensión ou espertalo,56,NetworkManager,po/gl.po
Enable or disable Wi-Fi devices,61,Activar ou desactivar os dispositivos Wi-Fi,62,NetworkManager,po/gl.po
System policy prevents enabling or disabling Wi-Fi devices,65,A normativa do sistema evita a activación e desactivación dos dispositivos Wi-Fi,66,NetworkManager,po/gl.po
Enable or disable mobile broadband devices,71,Activar ou desactivar os dispositivos de banda ancha móbiles,72,NetworkManager,po/gl.po
System policy prevents enabling or disabling mobile broadband devices,75,A normativa do sistema evita a activación ou desactivación dos dispositivos de banda ancha.,76,NetworkManager,po/gl.po
Enable or disable WiMAX mobile broadband devices,81,Activar ou desactivar os dispositivos de banda larga móbil WIMAX,82,NetworkManager,po/gl.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,85,A normativa do sistema evita activar ou desactivar os dispositivos de banda larga móbil WIMAX.,87,NetworkManager,po/gl.po
Allow control of network connections,92,Permitir o control das conexións de rede,93,NetworkManager,po/gl.po
System policy prevents control of network connections,96,A normativa do sistema evita o control das conexións de rede,97,NetworkManager,po/gl.po
Connection sharing via a protected Wi-Fi network,112,Conexión compartida a través dunha rede Wi-Fi protexida,113,NetworkManager,po/gl.po
System policy prevents sharing connections via a protected Wi-Fi network,116,A política do sistema impide compartir conexións a través dunha rede Wi-Fi protexida,118,NetworkManager,po/gl.po
Connection sharing via an open Wi-Fi network,123,Conexión compartida a través dunha rede Wi-Fi aberta,124,NetworkManager,po/gl.po
System policy prevents sharing connections via an open Wi-Fi network,127,A política do sistema impide compartir conexións a través dunha rede Wi-Fi aberta,128,NetworkManager,po/gl.po
Modify personal network connections,133,Modificar as conexións de rede persoais,134,NetworkManager,po/gl.po
System policy prevents modification of personal network settings,137,A política do sistema impide a modificación da configuración persoal da rede,138,NetworkManager,po/gl.po
Modify network connections for all users,142,Modificar as conexións de rede para tódolos usuarios,143,NetworkManager,po/gl.po
System policy prevents modification of network settings for all users,146,A política do sistema impide a modificación da configuración da rede para tódolos usuarios,147,NetworkManager,po/gl.po
Modify persistent system hostname,152,Modificar o nome persistente do anfitrión do sistema,153,NetworkManager,po/gl.po
System policy prevents modification of the persistent system hostname,156,A política do sistema impide a modificación do nome do anfitrión do sistema,157,NetworkManager,po/gl.po
Wired connection %d,284,Conexión cableada %d,285,NetworkManager,po/gl.po
# Created by NetworkManager\n,506,# Creado por NetworkManager\n,507,NetworkManager,po/gl.po
# Merged from %s\n\n,511,# Fusionado desde %s\n\n,514,NetworkManager,po/gl.po
Opening %s failed: %s\n,520,A apertura de %s fallou: %s\n,521,NetworkManager,po/gl.po
Writing to %s failed: %s\n,525,A escritura de %s fallou: %s\n,526,NetworkManager,po/gl.po
Closing %s failed: %s\n,530,O peche de %s fallou: %s\n,531,NetworkManager,po/gl.po
%s.  Please use --help to see a list of valid options.\n,545,%s. Use --help para ver a lista das opcións válidas.\n,546,NetworkManager,po/gl.po
Print NetworkManager version and exit,554,Imprimir a versión de NetworkManager e saír,555,NetworkManager,po/gl.po
Don't become a daemon,558,Non converter en daemon,559,NetworkManager,po/gl.po
Make all warnings fatal,572,Facer todos os avisos fatais,573,NetworkManager,po/gl.po
Specify the location of a PID file,576,Especifique a localización do ficheiro PID,577,NetworkManager,po/gl.po
NetworkManager monitors all network connections and automatically\nchooses the best connection to use.  It also allows the user to\nspecify wireless access points which wireless cards in the computer\nshould associate with.,585,NetworkManager monitoriza todas as redes e selecciona automaticamente\na mellor conexión para o seu uso. Tamén lle permite ao usuario\nespecificar puntos de accceso sen fíos aos que se asociarán as \ntarxetas sen fíos neste computador.,590,NetworkManager,po/gl.po
Could not daemonize: %s [error %u]\n,598,Non foi posíbel crear o daemon: %s [error %u]\n,599,NetworkManager,po/gl.po
