Enable or disable system networking,28,સિસ્ટમ નેટવર્કીંગ ને સક્રિય અથવા નિષ્ક્રિય કરો,29,NetworkManager,po/gu.po
System policy prevents enabling or disabling system networking,32,સિસ્ટમ પોલિસી એ સિસ્ટમ નેટવર્કીંગને નિષ્ક્રિય અથવા સક્રિય કરવાનું અટકાવે છે,33,NetworkManager,po/gu.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),46,NetworkManager ને નિષ્ક્રિય સ્થિતિ અથવા સક્રિય સ્થિતિમાં મૂકો (સિસ્ટમ પાવર સંચાલન દ્દારા ફક્ત વાપરવુ જોઇએ),49,NetworkManager,po/gu.po
System policy prevents putting NetworkManager to sleep or waking it up,54,સિસ્ટમ પોલિસી NetworkManager  ને નિષ્ક્રિય સ્થિતિમાં મૂકલાનું અથવા સક્રિય સ્થિતિમાં રાખવાનું અટકાવે છે,55,NetworkManager,po/gu.po
Enable or disable Wi-Fi devices,60,Wi-Fi  ઉપકરણોને સક્રિય અથવા નિષ્ક્રિય કરો,61,NetworkManager,po/gu.po
System policy prevents enabling or disabling Wi-Fi devices,64,સિસ્ટમ પોલિસી એ Wi-Fi ઉપકરણોને સક્રિય અથવા નિષ્ક્રિય કરવાનું અટકાવે છે,65,NetworkManager,po/gu.po
Enable or disable mobile broadband devices,68,મોબાઇલ બ્રોડબેન્ડ ઉપકરણોને સક્રિય અથવા નિષ્ક્રિય કરો,69,NetworkManager,po/gu.po
System policy prevents enabling or disabling mobile broadband devices,72,સિસ્ટમ પોલિસી એ મોબાઇલ બ્રોડબેન્ડ ઉપકરણોને સક્રિય અથવા નિષ્ક્રિય કરવાનું અટકાવે છે,73,NetworkManager,po/gu.po
Enable or disable WiMAX mobile broadband devices,76,WiMAX મોબાઇલ બ્રોડબેન્ડ ઉપકરણોને સક્રિય અથવા નિષ્ક્રિય કરો,77,NetworkManager,po/gu.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,80,સિસ્ટમ પોલિસી એ WiMAX મોબાઇલ બ્રોડબેન્ડ ઉપકરણોને સક્રિય અથવા નિષ્ક્રિય કરવાનું અટકાવે છે,82,NetworkManager,po/gu.po
Allow control of network connections,86,નેટવર્ક જોડાણોનાં નિયંત્રણની પરવાનગી આપો,87,NetworkManager,po/gu.po
System policy prevents control of network connections,90,સિસ્ટમ પોલિસી એ સિસ્ટમ સુયોજનોનાં નિયંત્રણને અટકાવે છે,91,NetworkManager,po/gu.po
Connection sharing via a protected Wi-Fi network,104,સુરક્ષિત થયેલ Wi-Fi નેટવર્ક મારફતે જોડાણ વહેંચણી,105,NetworkManager,po/gu.po
System policy prevents sharing connections via a protected Wi-Fi network,108,સિસ્ટમ પોલિસી એ સુરક્ષિત થયેલ Wi-Fi નેટવર્ક મારફતે વહેંચણી જોડાણોને રોકી રહ્યા છે,110,NetworkManager,po/gu.po
Connection sharing via an open Wi-Fi network,113,ખુલ્લા Wi-Fi નેટવર્ક મારફતે જોડાણ વહેંચણી,114,NetworkManager,po/gu.po
System policy prevents sharing connections via an open Wi-Fi network,117,સિસ્ટમ પોલિસી એ ખુલ્લા Wi-Fi નેટવર્ક મારફતે વહેંચણી જોડાણોને રોકી રહ્યા છે,118,NetworkManager,po/gu.po
Modify personal network connections,121,વ્યક્તિગત નેટવર્ક જોડાણો બદલો,122,NetworkManager,po/gu.po
System policy prevents modification of personal network settings,125,સિસ્ટમ પોલિસી એ વ્યક્તિગત નેટવર્ક સુયોજનોનાં બદલાવને અટકાવે છે,126,NetworkManager,po/gu.po
Modify network connections for all users,129,બધા વપરાશકર્તાઓ માટે નેટવર્ક જોડાણો બદલો,130,NetworkManager,po/gu.po
System policy prevents modification of network settings for all users,133,સિસ્ટમ પોલિસી એ બધા વપરાશકર્તાઓ માટે નેટવર્ક સુયોજનોનાં બદલાવને અટકાવે છે,134,NetworkManager,po/gu.po
Modify persistent system hostname,137,નિરંતર સિસ્ટમ યજમાનનામને બદલો,138,NetworkManager,po/gu.po
System policy prevents modification of the persistent system hostname,141,સિસ્ટમ પોલિસી એ નિરંતર સિસ્ટમ યજમાનનામનાં બદલાવને અટકાવે છે,142,NetworkManager,po/gu.po
%s Network,202,%s નેટવર્ક,203,NetworkManager,po/gu.po
Wired connection %d,269,વાયર થયેલ જોડાણ %d,270,NetworkManager,po/gu.po
# Created by NetworkManager\n,496,# ને NetworkManager દ્દારા બનાવેલ છે\n,497,NetworkManager,po/gu.po
# Merged from %s\n\n,501,# ને %s માંથી ભેગુ કરેલ છે\n\n,504,NetworkManager,po/gu.po
Opening %s failed: %s\n,510,%s ને ખોલવાનું નિષ્ફળ: %s\n,511,NetworkManager,po/gu.po
Writing to %s failed: %s\n,515,%s માં લખવાનું નિષ્ફળ: %s\n,516,NetworkManager,po/gu.po
Closing %s failed: %s\n,520,%s ને બંધ કરવાનું નિષ્ફળ: %s\n,521,NetworkManager,po/gu.po
%s.  Please use --help to see a list of valid options.\n,535,%s.  મહેરબાની કરીને યોગ્ય વિકલ્પોની યાદીને જોવા માટે --help ને વાપરો.\n,536,NetworkManager,po/gu.po
Print NetworkManager version and exit,544,NetworkManager આવૃત્તિને છાપો અને બહાર નીકળો,545,NetworkManager,po/gu.po
Don't become a daemon,548,ડિમન બનો નહિં,549,NetworkManager,po/gu.po
Log level: one of [%s],553,લૉગ સ્તર: [%s] નું એક,554,NetworkManager,po/gu.po
