Epiphany Web Bookmarks,28,Epiphany Liorvarkyn eddyr-voggyl,29,epiphany,po/gv.po
Web Bookmarks,32,Lioarvarkyn eddyr-voggyl,33,epiphany,po/gv.po
Search the web,36,Shirrey yn eddyr-voggyl,37,epiphany,po/gv.po
Browse the web,55,Jeeagh trooid yn eddyr-voggyl,56,epiphany,po/gv.po
Epiphany Web Browser,63,Epiphany Jeeagheyder Eddyr-voggyl,64,epiphany,po/gv.po
Web Browser,68,Jeeagheyder Eddyr-voggyl,69,epiphany,po/gv.po
Disable JavaScript chrome control,86,Cur bac kied er Javascript stuirey chrome,87,epiphany,po/gv.po
Disable JavaScript's control over window chrome.,90,Cur bac er yn stuirey Javascript jeh'n Uinnag chrome,91,epiphany,po/gv.po
"Disable all historical information by disabling back and forward navigation, not allowing the history dialog and hiding the most used bookmarks list.",94,"Cur bac er oilley ny fysseree shennaghys liorish cur bac er yn stuirey erash as er oaie,Cur bac er yn screeu shennaghys as follaghey yn Rolley lioarvark ta jannoo ymmyd jeh'n cooid smoo.",97,epiphany,po/gv.po
Disable bookmark editing,108,Cur bac er caghlaa ny lioaryn Vark,109,epiphany,po/gv.po
Disable history,112,Cur bac er shennaghys,113,epiphany,po/gv.po
Disable the user's ability to add or edit bookmarks.,116,Cur bac er yn ablid jeh'n ymmydeyr dy croo ny caghlaa lioaryn vark.,117,epiphany,po/gv.po
Disable the user's ability to edit toolbars.,120,Cur vac er yn ablid jeh'n ymmydeyr dy caghlaa yn barr greie,121,epiphany,po/gv.po
Disable the user's ability to type in a URL to Epiphany.,124,Cur bac er yn ablid jeh'n ymmydeyr dy screeu stiagh ny URL ayns Epiphany.,125,epiphany,po/gv.po
Disable toolbar editing,129,Cur bac er caghlaa yn barr greie,130,epiphany,po/gv.po
Disable unsafe protocols,133,Cur bac er Protocolyn cha nel Sauchey,134,epiphany,po/gv.po
Disables loading of content from unsafe protocols. Safe protocols are http and https.,137,Cur bac er yn laadey jeh stoo voish protocolyn cha nel sauchey,140,epiphany,po/gv.po
Epiphany cannot quit,143,Cha nod oo faagail Epiphany,144,epiphany,po/gv.po
Hide menubar by default,147,Follaghey  baar menu dy cadjin,148,epiphany,po/gv.po
Hide the menubar by default.,151,Follaghey yn barr menu dy cadjin.,152,epiphany,po/gv.po
Lock in fullscreen mode,155,Glass ayns mod uinnag lane,156,epiphany,po/gv.po
Locks Epiphany in fullscreen mode.,159,Glass Epiphany ayns mod uinnag lane.,160,epiphany,po/gv.po
User is not allowed to close Epiphany,163,Cha nod yn ymmydeyr dooney Epiphany,164,epiphany,po/gv.po
Active extensions,167,sheeyntagh gastey,168,epiphany,po/gv.po
Address of the user's home page.,171,Enmys jeh'n duillag thaie jeh'n ymmydeyr,172,epiphany,po/gv.po
Allow popups,175,Lhiggey da frapp heose,176,epiphany,po/gv.po
Allow sites to open new windows using JavaScript (if JavaScript is enabled).,179,Cur kied da ny ynnyd-eggeyn dy foasley uinnaghyn noa jeannoo ymmyd jeh Java script(Myr ta java script lowit),181,epiphany,po/gv.po
Always show the tab bar,186,Soilshaghey dagh traa yn barr tab,187,epiphany,po/gv.po
Automatic downloads,190,Redyn ta laadey neose hene,191,epiphany,po/gv.po
Automatically manage offline status with NetworkManager,194,Gyn smooniaght stuirey yn fysseree ass rolley lesh yn stuiredeyr eddyr-voggyl,195,epiphany,po/gv.po
Browse with caret,199,Jeagh er lesh cowrey,200,epiphany,po/gv.po
Cookie accept,203,Lhiggey da cookieyn,204,epiphany,po/gv.po
Default encoding,207,Coadagh cadjin,208,epiphany,po/gv.po
