Enable or disable system networking,27,तंत्र संजालन सक्रिय या निष्क्रिय करें,28,NetworkManager,po/hi.po
System policy prevents enabling or disabling system networking,31,तंत्र संजालन के युक्ति के सक्रियण या निष्क्रियण को तंत्र नीति रोकता है,32,NetworkManager,po/hi.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),45, NetworkManager को स्लीप स्थिति या वेकअप स्थिति में रखें (केवल सिस्टम पावर मैनेजमेंट के द्वारा प्रयोग किया जाएगा),48,NetworkManager,po/hi.po
System policy prevents putting NetworkManager to sleep or waking it up,53,NetworkManager को स्लीप या वेकअप स्थिति में लाने के लिए नेटवर्कमैनेजर रोकता है,54,NetworkManager,po/hi.po
Enable or disable Wi-Fi devices,57,Wi-Fi युक्तियाँ सक्रिय या निष्क्रिय करें,58,NetworkManager,po/hi.po
System policy prevents enabling or disabling Wi-Fi devices,61,Wi-Fi युक्ति के सक्रियण या निष्क्रियण को तंत्र नीति रोकता है,62,NetworkManager,po/hi.po
Enable or disable mobile broadband devices,65,मोबाइल ब्राडबैंड युक्तियाँ सक्रिय या निष्क्रिय करें,66,NetworkManager,po/hi.po
System policy prevents enabling or disabling mobile broadband devices,69,मोबाइल ब्रॉडबैंड युक्ति के सक्रियण या निष्क्रियण को तंत्र नीति रोकता है,70,NetworkManager,po/hi.po
Enable or disable WiMAX mobile broadband devices,73,WiMAX मोबाइल ब्राडबैंड युक्तियाँ सक्रिय या निष्क्रिय करें,74,NetworkManager,po/hi.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,77,WiMAX मोबाइल ब्रॉडबैंड युक्ति के सक्रियण या निष्क्रियण को तंत्र नीति रोकता है,79,NetworkManager,po/hi.po
Allow control of network connections,82,संजाल कनेक्शन के नियंत्रण स्वीकार करें,83,NetworkManager,po/hi.po
System policy prevents control of network connections,86,सिस्टम कनेक्शन के नियंत्रण को सिस्टम नीति रोकता है,87,NetworkManager,po/hi.po
Connection sharing via a protected Wi-Fi network,100,किसी संरक्षित Wi-Fi संजाल के द्वारा कनेक्शन साझा,101,NetworkManager,po/hi.po
System policy prevents sharing connections via a protected Wi-Fi network,104,किसी संरक्षित Wi-Fi संजाल के द्वारा साझा कनेक्शन को सिस्टम नीति रोकता है,106,NetworkManager,po/hi.po
Connection sharing via an open Wi-Fi network,109,किसी खुले Wi-Fi संजाल के द्वारा कनेक्शन साझा,110,NetworkManager,po/hi.po
System policy prevents sharing connections via an open Wi-Fi network,113,किसी खुले Wi-Fi संजाल के द्वारा साझा कनेक्शन को सिस्टम नीति रोकता है,114,NetworkManager,po/hi.po
Modify personal network connections,117,निजी संजाल कनेक्शन संशोधित करें,118,NetworkManager,po/hi.po
System policy prevents modification of personal network settings,121,प्रणाली नीति व्यक्तिगत संजाल सेटिंग के संशोधन से बचाता है,122,NetworkManager,po/hi.po
Modify network connections for all users,125,सभी उपयोगकर्ताओं के लिए संजाल  कनेक्शन संशोधित करें,126,NetworkManager,po/hi.po
System policy prevents modification of network settings for all users,129,प्रणाली नीति सभी उपयोगकर्ताओं के लिए संजाल सेटिंग के संशोधन से बचाता है,130,NetworkManager,po/hi.po
Modify persistent system hostname,133,स्थिर सिस्टम होस्टनेम को सुधारें,134,NetworkManager,po/hi.po
System policy prevents modification of the persistent system hostname,137,सिस्टम नीति स्थिर सिस्टम होस्टनेम के रूपांतरण को रोकता है.,138,NetworkManager,po/hi.po
ADSL connection,192,ADSL कनेक्शन,193,NetworkManager,po/hi.po
%s Network,197,%s संजाल,198,NetworkManager,po/hi.po
PAN connection,209,PAN कनेक्शन,210,NetworkManager,po/hi.po
GSM connection,222,GSM कनेक्शन,223,NetworkManager,po/hi.po
CDMA connection,227,CDMA कनेक्शन,228,NetworkManager,po/hi.po
Bond connection,245,बॉण्ड कनेक्शन,246,NetworkManager,po/hi.po
Bridge connection,249,ब्रिज कनेक्शन,250,NetworkManager,po/hi.po
Wired connection %d,259,तारयुक्त संबंधन %d,260,NetworkManager,po/hi.po
PPPoE connection,269,PPPoE कनेक्शन,270,NetworkManager,po/hi.po
Wired connection,273,तारयुक्त संबंधन,274,NetworkManager,po/hi.po
InfiniBand connection,278,InfiniBandकनेक्शन,279,NetworkManager,po/hi.po
VLAN connection,298,VLAN कनेक्शन,299,NetworkManager,po/hi.po
Team connection,319,टीम कनेक्शन,320,NetworkManager,po/hi.po
Mesh,324,मेश,325,NetworkManager,po/hi.po
# Created by NetworkManager\n,480,# संजाल प्रबंधक द्वारा निर्मित\n,481,NetworkManager,po/hi.po
# Merged from %s\n\n,485,#%s से मिलाया गया\n\n,488,NetworkManager,po/hi.po
Opening %s failed: %s\n,494, %s को खोलना असफल: %s\n,495,NetworkManager,po/hi.po
Writing to %s failed: %s\n,499, %s पे लिखने में असफल: %s\n,500,NetworkManager,po/hi.po
Closing %s failed: %s\n,504,समापन %s में विफल रहा है: %s\n,505,NetworkManager,po/hi.po
%s.  Please use --help to see a list of valid options.\n,519,%s.  कृपया --help का उपयोग वैध विकल्प देने के लिए करें.\n,520,NetworkManager,po/hi.po
Print NetworkManager version and exit,528,छापें नेटवर्कप्रबंधक संस्करण और बाहर निकलें,529,NetworkManager,po/hi.po
Don't become a daemon,532,डेमॉन न होयें,533,NetworkManager,po/hi.po
Log level: one of [%s],537,लॉग स्तर: [%s] में से एक,538,NetworkManager,po/hi.po
"Log domains separated by ',': any combination of [%s]",542,"लॉग डोमेन ',' से अलग: [%s] का कोई संयोग",543,NetworkManager,po/hi.po
Make all warnings fatal,546,सभी चेतावनी गंभीर बनाएँ,547,NetworkManager,po/hi.po
Specify the location of a PID file,550,एक पीआईडी ​​फ़ाइल का स्थान निर्दिष्ट करें,551,NetworkManager,po/hi.po
