Usage: nmcli agent { COMMAND | help }\n\nCOMMAND := { secret | polkit | all }\n\n,28,Használat: nmcli agent { PARANCS | help }\n\nPARANCS := { secret | polkit | all }\n\n,33,NetworkManager,po/hu.po
GROUP,95,CSOPORT,96,NetworkManager,po/hu.po
Error: NetworkManager is not running.,126,Hiba: a Hálózatkezelő nem fut.,127,NetworkManager,po/hu.po
unknown,155,ismeretlen,156,NetworkManager,po/hu.po
none,159,nincs,160,NetworkManager,po/hu.po
activating,210,aktiválás,211,NetworkManager,po/hu.po
activated,214,aktiválva,215,NetworkManager,po/hu.po
deactivating,218,kikapcsolás,219,NetworkManager,po/hu.po
deactivated,222,deaktiválva,223,NetworkManager,po/hu.po
VPN connecting (prepare),226,VPN kapcsolódás (előkészítés),227,NetworkManager,po/hu.po
VPN connecting (need authentication),230,VPN csatlakozás (hitelesítés szükséges),231,NetworkManager,po/hu.po
VPN connecting,234,VPN csatlakozás,235,NetworkManager,po/hu.po
VPN connecting (getting IP configuration),238,VPN kapcsolódás (IP-beállítások lekérése),239,NetworkManager,po/hu.po
VPN connected,242,VPN csatlakozott,243,NetworkManager,po/hu.po
VPN connection failed,246,VPN csatlakozás sikertelen,247,NetworkManager,po/hu.po
VPN disconnected,250,VPN leválasztva,251,NetworkManager,po/hu.po
never,254,soha,255,NetworkManager,po/hu.po
Error: %s argument is missing.,743,Hiba: az argumentum (%s) hiányzik.,744,NetworkManager,po/hu.po
Error: %s.,759,Hiba: %s.,760,NetworkManager,po/hu.po
no active connection on device '%s',764,nincs aktív kapcsolat a(z) „%s” eszközön,765,NetworkManager,po/hu.po
no active connection or device,768,nincs aktív kapcsolat vagy eszköz,769,NetworkManager,po/hu.po
device '%s' not compatible with connection '%s',778,a(z) „%s” eszköz nem kompatibilis a(z) „%s” kapcsolattal,779,NetworkManager,po/hu.po
no device found for connection '%s',783,nem található eszköz a(z) „%s” kapcsolathoz,784,NetworkManager,po/hu.po
Connection successfully activated (D-Bus active path: %s)\n,799,A kapcsolat sikeresen aktiválva (D-Bus aktív útvonal: %s)\n,800,NetworkManager,po/hu.po
Error: Connection activation failed: %s,804,Hiba: a kapcsolat aktiválása meghiúsult: %s,805,NetworkManager,po/hu.po
Unknown parameter: %s\n,846,Ismeretlen paraméter: %s\n,847,NetworkManager,po/hu.po
