Usage: nmcli agent { COMMAND | help }\n\nCOMMAND := { secret | polkit | all }\n\n,26,Cara pakai: nmcli agent { COMMAND | help }\n\nCOMMAND  := { secret | polkit | all }\n\n,31,NetworkManager,po/id.po
Usage: nmcli agent secret { help }\n\nRuns nmcli as NetworkManager secret agent. When NetworkManager requires\na password it asks registered agents for it. This command keeps nmcli running\nand if a password is required asks the user for it.\n\n,39,"Cara pakai: nmcli agent secret { help }\n\nMenjalankan nmcli sebagai agen rahasia NetworkManager. Ketika NetworkManager\nmemerlukan suatu kata sandi, itu meminta kepada agen yang terdaftar. Perintah ini\nmembuat nmcli terus berjalan dan bila suatu kata sandi diperlukan, memintanya\nkepada pengguna.\n\n",47,NetworkManager,po/id.po
"Usage: nmcli agent polkit { help }\n\nRegisters nmcli as a polkit action for the user session.\nWhen a polkit daemon requires an authorization, nmcli asks the user and gives\nthe response back to polkit.\n\n",61,"Cara pakai: nmcli agent polkit { help }\n\nMendaftarkan nmcli sebagai sebuah aksi polkit bagi sesi pengguna.\nKetika suatu daemon polkit memerlukan otorisasi, nmcli menanyakan ke\npengguna dan mengembalikan respon ke polkit.\n\n",69,NetworkManager,po/id.po
Usage: nmcli agent all { help }\n\nRuns nmcli as both NetworkManager secret and a polkit agent.\n\n,79,Cara pakai: nmcli agent all { help }\n\nMenjalankan nmcli sebagai agen polkit dan rahasia NetworkManager.\n\n,84,NetworkManager,po/id.po
nmcli successfully registered as a NetworkManager's secret agent.\n,92,nmcli sukses didaftarkan sebagai suatu agen rahasia NetworkManager.\n,93,NetworkManager,po/id.po
Error: secret agent initialization failed,97,Galat: inisialisasi agen rahasia gagal,98,NetworkManager,po/id.po
nmcli successfully registered as a polkit agent.\n,102,nmcli sukses didaftarkan sebagai sebuah agen polkit.\n,103,NetworkManager,po/id.po
Error: polkit agent initialization failed: %s,107,Galat: inisialisasi agen polkit gagal: %s,108,NetworkManager,po/id.po
Error: openconnect failed: %s\n,118,Galat: openconnect gagal: %s\n,119,NetworkManager,po/id.po
Error: openconnect failed with status %d\n,123,Galat: openconnect gagal dengan status %d\n,124,NetworkManager,po/id.po
Error: openconnect failed with signal %d\n,128,Galat: openconnect gagal dengan sinyal %d\n,129,NetworkManager,po/id.po
Warning: password for '%s' not given in 'passwd-file' and nmcli cannot ask without '--ask' option.\n,133,Peringatan: kata sandi untuk '%s' tidak diberikan dalam 'passwd-file' dan nmcli tidak bisa bertanya tanpa opsi '--ask'.\n,136,NetworkManager,po/id.po
Error: Could not create NMClient object: %s.,142,Galat: Tidak bisa membuat objek NMClient: %s.,143,NetworkManager,po/id.po
Error: NetworkManager is not running.,146,Galat: NetworkManager tidak sedang berjalan.,147,NetworkManager,po/id.po
Error: argument '%s' not understood. Try passing --help instead.,151,Galat: argumen '%s' tidak dipahami. Cobalah memakai --help.,152,NetworkManager,po/id.po
Error: missing argument. Try passing --help.,155,Galat: kurang argumen. Cobalah memakai --help.,156,NetworkManager,po/id.po
access denied,159,akses ditolak,160,NetworkManager,po/id.po
