Browse and organize your bookmarks,18,Chọgharịa ma hazie búùkmáàks gị,19,epiphany,po/ig.po
Epiphany Web Bookmarks,22,Búùkmáàks Epiphany Wéèbụ̀,23,epiphany,po/ig.po
Web Bookmarks,26,Búùkmáàkịs Wéèbụ̀,27,epiphany,po/ig.po
Browse the web,30,Chọgharịa na wéèbụ̀,31,epiphany,po/ig.po
Epiphany Web Browser,34,Omenchọgharị wéèbụ̀ Epiphany,35,epiphany,po/ig.po
Web Browser,39,Omenchọgharị Wéèbụ̀,40,epiphany,po/ig.po
"A list of protocols to be considered safe in addition to the default, when disable_unsafe_protocols is enabled.",43,"Ndesịta nke protokọ́ọ̀lụ̀ nke a ga-anabata dịka na-enweghị nsogbu na mgbakwunye na difọ́ọ̀ltụ̀, mgbe e kwèèrè dizebụl_ọnséèfù_protokọ́ọ̀lụ̀. ",46,epiphany,po/ig.po
Additional safe protocols,51,Séèfù protokọ́ọ̀lụ̀ ndị agbakwunyere agbakwunye,52,epiphany,po/ig.po
Disable JavaScript chrome control,55,Nlekọta króòmù ndesịta asụsụ program akwụsịrị ọrụ,56,epiphany,po/ig.po
Disable JavaScript's control over window chrome.,59,Nlekọta ndesịta asụsụ program akwụsịrị ọrụ na windo króòmù.,60,epiphany,po/ig.po
"Disable all historical information by disabling back and forward navigation, not allowing the history dialog and hiding the most used bookmarks list.",63,"Kwụsị ozi agụgụala niile site n'ịkwụsị nchọgharị nke azụ na ihu, na-ekweghị dayalọ́ọ̀gụ̀ agụgụala nakwa izo ndesịta búùkmáàks nke a kara jiri rụọ ọrụ.",66,epiphany,po/ig.po
Disable arbitrary URLs,71,URL abitrarị akwụsịrị ọrụ,72,epiphany,po/ig.po
Disable bookmark editing,75,Ndezi búùkmáàkị akwụsịrị akwụsị,76,epiphany,po/ig.po
Disable history,79,Agụgụala akwụsịrị ọrụ,80,epiphany,po/ig.po
Disable the user's ability to add or edit bookmarks.,83,Kwụsị ọrụ ike ojieme ka itinye mọọbụ dezie búùkmáàks.,84,epiphany,po/ig.po
Disable the user's ability to edit toolbars.,87,Kwụsị ọrụ ike ojieme ka idezie tulbáàs.,88,epiphany,po/ig.po
Disable the user's ability to type in a URL to Epiphany.,91,Kwụsị ọrụ ike ojieme ka ịpịnye na URL to Epiphany.,92,epiphany,po/ig.po
Disable toolbar editing,95,Kwụsị ọrụ ndezi tulbáà,96,epiphany,po/ig.po
Disable unsafe protocols,99,Kwụsị ọrụ ọnséèfprotokọ́ọ̀lụ̀,100,epiphany,po/ig.po
Disables loading of content from unsafe protocols. Safe protocols are http and https.,103,Nkwụsị ọrụ n'ịbubata ndịna site ọ̀nséèf protokọ́ọ̀lụ̰̀. Séèf protokọ́ọ̀lụ̀ bụ http na https.,106,epiphany,po/ig.po
Hide menubar by default,116,Zòó menubáà site na difọ́ọ̀ltụ̀,117,epiphany,po/ig.po
Lock in fullscreen mode,125,Kpọchie na móòdù njupụtainyogo,126,epiphany,po/ig.po
Locks Epiphany in fullscreen mode.,129,Na-akpọchi Epiphany na móòdù njupụtainyogo. ,130,epiphany,po/ig.po
Active extensions,137,Mgbatịkwu ndị n'arụ ọrụ,138,epiphany,po/ig.po
Address of the user's home page.,141,Ngosi ebe nke ihu inyogo nke ojieme.,142,epiphany,po/ig.po
Allow popups,145,Hapụ pọpọps,146,epiphany,po/ig.po
Allow sites to open new windows using JavaScript (if JavaScript is enabled).,149,Hapụ saịts ka ọ mepee windo ndị a n'iji ndesịta asụsụ program (ma ọ bụrụ na a hapụrụ ndesịta asụsụ program).,151,epiphany,po/ig.po
