Disk Usage Analyzer,23,Diskapláss,24,baobab,po/is.po
Check folder sizes and available disk space,27,Athuga hve mikið pláss skrár taka á tölvunni og hve mikið pláss er eftir,28,baobab,po/is.po
A simple application to keep your disk usage and available space under control.,32,Einfalt forrit til að sýsla með disknotkun og tiltækt pláss.,35,baobab,po/is.po
"Disk Usage Analyzer can scan specific folders, storage devices and online accounts. It provides both a tree and a graphical representation showing the size of each folder, making it easy to identify where disk space is wasted.",38,"Diskapláss-forritið getur skannað tilteknar möppur, geymslutæki og reikninga á netinu. Hægt er að birta bæði greinasýn og myndræna framsetningu fyrir stærð hverrar möppu, sem auðveldar að finna hvar geymsluplássi er sóað.",42,baobab,po/is.po
The GNOME Project,48,GNOME verkefnið,49,baobab,po/is.po
storage;space;cleanup;,53,gögn;geymsla;pláss;hreinsun;tiltekt;,54,baobab,po/is.po
Excluded partitions URIs,62,Slóðir á útilokaðar disksneiðar,63,baobab,po/is.po
A list of URIs for partitions to be excluded from scanning.,66,Listi yfir slóðir á disksneiðar sem sleppa skal úr skönnun.,67,baobab,po/is.po
Active Chart,70,Virkt graf,71,baobab,po/is.po
Which type of chart should be displayed.,74,Hvaða tegund grafs eigi að birta.,75,baobab,po/is.po
Window size,78,Gluggastærð,79,baobab,po/is.po
The initial size of the window,82,Upprunalega stærð gluggans,83,baobab,po/is.po
Window state,86,Staða glugga,87,baobab,po/is.po
The GdkWindowState of the window,90,Staða GdkWindowState gluggans,91,baobab,po/is.po
Print version information and exit,94,Birta upplýsingar um útgáfu og hætta,95,baobab,po/is.po
%d item,99,%d atriði,101,baobab,po/is.po
%d item,99,%d atriði,102,baobab,po/is.po
Unknown,106,Óþekkt,107,baobab,po/is.po
Today,111,Í dag,112,baobab,po/is.po
%lu day,117,%lu dagur,119,baobab,po/is.po
%lu day,117,%lu dagar,120,baobab,po/is.po
%lu month,125,%lu mánuður,127,baobab,po/is.po
%lu month,125,%lu mánuðir,128,baobab,po/is.po
%lu year,133,%lu ár,135,baobab,po/is.po
%lu year,133,%lu ár,136,baobab,po/is.po
This Computer,139,Þessi tölva,140,baobab,po/is.po
Remote Locations,143,Fjartengdir staðir,144,baobab,po/is.po
%s Total,148,%s samtals,149,baobab,po/is.po
%s Available,153,%s tiltækt,154,baobab,po/is.po
%s Used,160,%s notað,161,baobab,po/is.po
Unmounted,164,Ekki tengt í skráakerfi,165,baobab,po/is.po
Home folder,168,Heimamappa,169,baobab,po/is.po
Computer,172,Tölvan,173,baobab,po/is.po
Scan Folder…,176,Skoða möppu…,177,baobab,po/is.po
_Open Folder,180,_Opna möppu,181,baobab,po/is.po
_Copy Path to Clipboard,184,_Afrita slóð á klippispjald,185,baobab,po/is.po
Mo_ve to Trash,188,_Henda í ruslið,189,baobab,po/is.po
Close,192,Loka,193,baobab,po/is.po
Folder,196,Mappa,197,baobab,po/is.po
Size,200,Stærð,201,baobab,po/is.po
Contents,204,Innihald,205,baobab,po/is.po
Modified,208,Breytt,209,baobab,po/is.po
Rings Chart,212,Skoða sem hringi,213,baobab,po/is.po
Treemap Chart,216,Skoða sem greinar,217,baobab,po/is.po
Select Folder,220,Velja möppu,221,baobab,po/is.po
_Cancel,224,_Hætta við,225,baobab,po/is.po
_Open,228,_Opna,229,baobab,po/is.po
Recursively analyze mount points,232,Skoða endurkvæmt inn í tengipunkta,233,baobab,po/is.po
Could not analyze volume.,236,Gat ekki reiknað gagnahirsluna.,237,baobab,po/is.po
Failed to show help,240,Mistókst að birta hjálp,241,baobab,po/is.po
A graphical tool to analyze disk usage.,248,Forrit til að sýna hve stór hluti disksins er notaður.,249,baobab,po/is.po
Failed to open file,256,Mistókst að opna skrá,257,baobab,po/is.po
Failed to move file to the trash,260,Mistókst að henda skránni í ruslið,261,baobab,po/is.po
Devices & Locations,264,Tæki og staðsetningar,265,baobab,po/is.po
Could not scan folder “%s”,269,Gat ekki skoðað möppuna „%s“,270,baobab,po/is.po
Could not scan some of the folders contained in “%s”,274,Gat ekki skoðað sumar möppurnar inni í „%s“,275,baobab,po/is.po
Could not detect occupied disk sizes.,278,Gat ekki greint upptekið pláss á diskum.,279,baobab,po/is.po
Apparent sizes are shown instead.,282,Sýndarstærðir eru birtar í staðinn.,283,baobab,po/is.po
“%s” is not a valid folder,288,„%s“ er ekki gild mappa,289,baobab,po/is.po
Could not analyze disk usage.,292,Gat ekki reiknað diskanotkunina.,293,baobab,po/is.po
_Help,296,_Hjálp,297,baobab,po/is.po
_About,300,_Upplýsingar,301,baobab,po/is.po
_Quit,304,_Hætta,305,baobab,po/is.po
Go to _parent folder,308,Fara í _yfirmöppu,309,baobab,po/is.po
Zoom _in,312,Renna _að,313,baobab,po/is.po
Zoom _out,316,Renna _frá,317,baobab,po/is.po
Photo mode,21,Ljósmyndahamur,22,cheese,po/is.po
Photo,25,Ljósmynd,26,cheese,po/is.po
Video mode,29,Myndskeiðahamur,30,cheese,po/is.po
Video,33,Myndskeið,34,cheese,po/is.po
Photo burst mode,37,Hamur fyrir runu lósmynda,38,cheese,po/is.po
Burst,41,Runa,42,cheese,po/is.po
Take a photo using a webcam,45,Taktu mynd með vefmyndavél,46,cheese,po/is.po
Navigate to the previous page of effects,49,Fara á fyrri síðu með sjónhverfingum,50,cheese,po/is.po
Effects,53,Sjónhverfingar,54,cheese,po/is.po
_Effects,57,_Effektar,58,cheese,po/is.po
Navigate to the next page of effects,61,Fara á næstu síðu með sjónhverfingum,62,cheese,po/is.po
Leave fullscreen mode and go back to windowed mode,65,Yfirgefa heilskjásham og fara til baka í glugga,66,cheese,po/is.po
Preferences,69,Kjörstillingar,70,cheese,po/is.po
_Help,73,_Hjálp,74,cheese,po/is.po
_Close,77,_Loka,78,cheese,po/is.po
Device,81,Tæki,82,cheese,po/is.po
Photo resolution,85,Upplausn ljósmyndar,86,cheese,po/is.po
Video resolution,89,Upplausn myndskeiðs,90,cheese,po/is.po
Webcam,94,Vefmyndavél,95,cheese,po/is.po
Brightness,98,Birtustig,99,cheese,po/is.po
Saturation,102,Litmettun,103,cheese,po/is.po
Hue,106,Litblær,107,cheese,po/is.po
Contrast,110,Birtuskil,111,cheese,po/is.po
Image,114,Mynd,115,cheese,po/is.po
Shutter,118,Lokari,119,cheese,po/is.po
_Countdown,122,_Niðurtalning,123,cheese,po/is.po
Fire _flash,126,Skjóta af _flassi,127,cheese,po/is.po
Burst mode,130,Runuhamur,131,cheese,po/is.po
Number of photos,134,Fjöldi mynda,135,cheese,po/is.po
Delay between photos (seconds),138,Töf milli mynda (í sekúndum),139,cheese,po/is.po
Capture,142,Upptaka,143,cheese,po/is.po
_Fullscreen,146,Fylla skjáinn,147,cheese,po/is.po
P_references,150,Eiginleika_r,151,cheese,po/is.po
_About Cheese,155,_Um Cheese hugbúnaðinn,156,cheese,po/is.po
Take a Photo,160,Taktu mynd,161,cheese,po/is.po
Open,164,Opna,165,cheese,po/is.po
Save _As…,168,Vist_a sem...,169,cheese,po/is.po
Move to _Trash,172,_Henda í ruslið,173,cheese,po/is.po
Delete,176,Eyða,177,cheese,po/is.po
Cheese,183,Cheese (sís),184,cheese,po/is.po
"Take photos and videos with your webcam, with fun graphical effects",189,"Taka myndir og myndskeið með vefmyndavélinni, með skemmtilegum myndrænum brellum",190,cheese,po/is.po
"Cheese uses your webcam to take photos and videos, applies fancy special effects and lets you share the fun with others.",195,"Cheese notar vefmyndavélina til að taka ljósmyndir og myndskeið, beitir flottum sjónbrellum og gerir þér kleift að deila skemmtilegheitunum með öðrum.",198,cheese,po/is.po
"Take multiple photos in quick succession with burst mode. Use the countdown to give yourself time to strike a pose, and wait for the flash!",204,Taktu margar myndir í einu með runuham. Notaðu niðurteljarann ef þú vilt taka þér stöðu og bíddu svo eftir leifturljósinu.,207,cheese,po/is.po
"Under the hood, Cheese uses GStreamer to apply fancy effects to photos and videos. With Cheese it is easy to take photos of you, your friends, pets or whatever you want and share them with others.",212,"Undir húddinu styðst Cheese við GStreamer fyrir allskyns sjónbrellur á ljósmyndir og myndskeið. Með Cheese er einfalt að taka myndir af sjálfum þér, vinum þínum, gæludýrunum eða hverju sem er og deila þeim með öðrum.",216,cheese,po/is.po
Webcam Booth,222,Vefmyndavélasjálfsali,223,cheese,po/is.po
Cheese Webcam Booth,226,Cheese vefmyndavélasjálfsali,227,cheese,po/is.po
photo;video;webcam;,230,mynd;ljósmynd;myndskeið;vefmyndavél;,231,cheese,po/is.po
Use a countdown,234,Nota niðurtalningu,235,cheese,po/is.po
Set to true to show a countdown before taking a photo,238,Setja þetta til að birta niðurteljara áður en mynd er tekin,239,cheese,po/is.po
Countdown length,242,Lengd niðurtalningar,243,cheese,po/is.po
