Usage: nmcli agent { COMMAND | help }\n\nCOMMAND := { secret | polkit | all }\n\n,27,使い方: nmcli agent { COMMAND | help }\n\nコマンド := { secret | polkit | all }\n\n,32,NetworkManager,po/ja.po
Usage: nmcli agent secret { help }\n\nRuns nmcli as NetworkManager secret agent. When NetworkManager requires\na password it asks registered agents for it. This command keeps nmcli running\nand if a password is required asks the user for it.\n\n,39,使い方: nmcli agent secret { help }\n\nnmcli を NetworkManager シークレットエージェントとして実行します。NetworkManager がパスワードを必要とする場合は、登録したエージェントにパスワードを尋ねます。このコマンドにより、nmcli が引き続き実行し、パスワードが必要な場合はパスワード入力が求められます。\n\n,47,NetworkManager,po/ja.po
"Usage: nmcli agent polkit { help }\n\nRegisters nmcli as a polkit action for the user session.\nWhen a polkit daemon requires an authorization, nmcli asks the user and gives\nthe response back to polkit.\n\n",54,使い方: nmcli agent polkit { help }\n\nnmcli を、ユーザーセッションの polkit アクションとして登録します。\npolkit デーモンが承認を必要とする場合は、nmcli から承認を求められ、その応答を polkit に返します。\n\n,62,NetworkManager,po/ja.po
Usage: nmcli agent all { help }\n\nRuns nmcli as both NetworkManager secret and a polkit agent.\n\n,70,使い方: nmcli agent all { help }\n\nnmcli を NetworkManager シークレットと polkit エージェントとして実行します。\n\n,75,NetworkManager,po/ja.po
nmcli successfully registered as a NetworkManager's secret agent.\n,82,nmcli は NetworkManager のシークレットエージェントとして適切に登録されました。\n,83,NetworkManager,po/ja.po
Error: secret agent initialization failed,87,エラー: シークレットエージェントの初期化に失敗しました,88,NetworkManager,po/ja.po
Error: polkit agent initialization failed: %s,92,エラー: polkit エージェントの初期化に失敗しました: %s,93,NetworkManager,po/ja.po
nmcli successfully registered as a polkit agent.\n,97,nmcli が polkit エージェントとして適切に登録されました。\n,98,NetworkManager,po/ja.po
GROUP,103,グループ,104,NetworkManager,po/ja.po
Error: openconnect failed: %s\n,108,エラー: openconnect が失敗しました: %s\n,109,NetworkManager,po/ja.po
Error: openconnect failed with status %d\n,113,エラー: openconnect がステータス %d で失敗しました\n,114,NetworkManager,po/ja.po
Error: openconnect failed with signal %d\n,118,エラー: openconnect がシグナル %d で失敗しました\n,119,NetworkManager,po/ja.po
Warning: password for '%s' not given in 'passwd-file' and nmcli cannot ask without '--ask' option.\n,123,警告: '%s' のパスワードが 'passwd-file' で提供されていません。nmcli は '--ask' オプションがないと尋ねることができません。\n,126,NetworkManager,po/ja.po
Error: Could not create NMClient object: %s.,130,エラー: NMClient オブジェクトを作成できませんでした: %s。,131,NetworkManager,po/ja.po
Error: NetworkManager is not running.,134,エラー: NetworkManager が起動していません。,135,NetworkManager,po/ja.po
Error: argument '%s' not understood. Try passing --help instead.,139,エラー: 引数 '%s' が認識されません。代わりに --help を渡してください。,140,NetworkManager,po/ja.po
Error: missing argument. Try passing --help.,143,エラー: 引数がありません。--help を渡してください。,144,NetworkManager,po/ja.po
access denied,147,アクセスは拒否されました,148,NetworkManager,po/ja.po
NetworkManager is not running,151,NetworkManager は実行していません,152,NetworkManager,po/ja.po
Error: error connecting to system bus: %s,156,エラー: システムバスへの接続エラー: %s,157,NetworkManager,po/ja.po
unknown,171,不明,172,NetworkManager,po/ja.po
none,175,なし,176,NetworkManager,po/ja.po
portal,179,ポータル,180,NetworkManager,po/ja.po
limited,183,制限付き,184,NetworkManager,po/ja.po
full,187,完全,188,NetworkManager,po/ja.po
Setting name? ,192,設定名は? ,193,NetworkManager,po/ja.po
Property name? ,196,プロパティー名は? ,197,NetworkManager,po/ja.po
Enter connection type: ,200,接続タイプを入力してください: ,201,NetworkManager,po/ja.po
"Connection (name, UUID, or path): ",205,接続 (名前、UUID またはパス): ,206,NetworkManager,po/ja.po
"VPN connection (name, UUID, or path): ",209,VPN 接続 (名前、UUID またはパス): ,210,NetworkManager,po/ja.po
"Connection(s) (name, UUID, or path): ",213,接続 (名前、UUID またはパス): ,214,NetworkManager,po/ja.po
"Connection(s) (name, UUID, path or apath): ",217,接続 (名前、UUID、パス または apath): ,218,NetworkManager,po/ja.po
activating,221,アクティベート中,222,NetworkManager,po/ja.po
activated,225,アクティベート済み,226,NetworkManager,po/ja.po
deactivating,229,停止中,230,NetworkManager,po/ja.po
deactivated,233,停止しました,234,NetworkManager,po/ja.po
VPN connecting (prepare),237,VPN 接続（準備）,238,NetworkManager,po/ja.po
VPN connecting (need authentication),241,VPN 接続（認証が必要）,242,NetworkManager,po/ja.po
VPN connecting,245,VPN 接続,246,NetworkManager,po/ja.po
VPN connecting (getting IP configuration),249,VPN 接続（IP 設定を取得）,250,NetworkManager,po/ja.po
VPN connected,253,VPN 接続済み,254,NetworkManager,po/ja.po
VPN connection failed,257,VPN 接続失敗,258,NetworkManager,po/ja.po
VPN disconnected,261,VPN 切断済み,262,NetworkManager,po/ja.po
never,265,しない,266,NetworkManager,po/ja.po
