Unknown,1001,უცნობია,1002,NetworkManager,po/ka.po
none,8967,არცერთი,8968,NetworkManager,po/ka.po
(unknown),12082,(უცნობია),12083,NetworkManager,po/ka.po
Open System,12749,ღია სისტემა ,12750,NetworkManager,po/ka.po
Shared Key,12753,ზიარი გასაღები,12754,NetworkManager,po/ka.po
Show password,12816,პაროლის ჩვენება,12817,NetworkManager,po/ka.po
_Contents,168,_შინაარსი,169,baobab,po/ka.po
_Edit,172,_დამუშავება,173,baobab,po/ka.po
_Help,180,_დახმარება,181,baobab,po/ka.po
_View,188,_ხედი,189,baobab,po/ka.po
_Port:,418,_პორტი:,419,baobab,po/ka.po
Folder,463,დასტა,464,baobab,po/ka.po
Size,471,ზომა,472,baobab,po/ka.po
Mo_ve to Trash,510,სანაგვე _ურნაში გადატანა,511,baobab,po/ka.po
There was an error displaying help.,540,შეცდომა დახმარების ჩვენებისას.,541,baobab,po/ka.po
The document does not exist.,580,დოკუმენტი არ არსებობს,581,baobab,po/ka.po
Cheese Website,27,Cheese ვებსაიტი,28,cheese,po/ka.po
"Take photos and videos with your webcam, with fun graphical effects",31,გადაიღე შენი ვებკამერით სახალისო გრაფიკული ეფექტების მქონე სურათები და ვიდეო,32,cheese,po/ka.po
"This program is free software; you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version 2 of the License, or (at your option) any later version.\n\nThis program is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the GNU General Public License for more details.\n\nYou should have received a copy of the GNU General Public License along with this program. If not, see http://www.gnu.org/licenses/\n",36,"ეს პროგრამა არის უფასო.თქვენ შეგიძლიათ მისი გამოყენება თქვენს დისტრიბუციაში /ან ფუნქციების გადასწორება GNU-ს საერთო სახალხო სიცენზიის დაცვით\nეს პროგრამა არის შექმნილი იმ მიზნით/იმედით,რომ იგი იქნება სასარგებლო ყველასთვის, მაგრამ არანაირი გარანტიის გარეშე,მათ შორის მუდმივი მუშაობის და ა.შ.ინფორმაციის დაზუსტებისათვის ნახეთ GNU-ს საერთო სახალხო ლიცენზია.\nთქვენ უნდა გაგაჩნდეთ ეს ლიცენზია ამ პროგრამაში. თუ კი ის თქვენ ვერ მოიძიეთ,მაშინ აქ ნახეთ: http://www.gnu.org/licenses/\n",49,cheese,po/ka.po
Burst,64,_მიყოლებითი რეჟიმი,65,cheese,po/ka.po
Fullscreen,69,_მთელი ეკრანის რეჟიმის ჩართვა,70,cheese,po/ka.po
Help _Contents,74,დახმარება _შიგთავსი,75,cheese,po/ka.po
Move All to Trash,78,ყველაფრის ნაგავში გადაყრა,79,cheese,po/ka.po
Move to _Trash,82,_ნაგავში გადაყრა,83,cheese,po/ka.po
