Accerciser Accessibility Explorer,27,កម្មវិធី​រុករក​មធ្យោបាយ​ងាយស្រួល​សម្រាប់ Accerciser,28,accerciser,po/km.po
Give your application an accessibility workout,31,ផ្ដល់​ឲ្យ​កុំព្យូទ័រ​របស់​អ្នក​នូវ​ការ​ចូល​ដំណើរការ​មធ្យោបាយ​ងាយស្រួល,32,accerciser,po/km.po
A list of plugins that are disabled by default,35,បញ្ជី​កម្មវិធី​ជំនួយ​ដែល​ត្រូវ​បាន​បិទ​តាម​លំនាំដើម,36,accerciser,po/km.po
A list of plugins that are disabled by default.,39,បញ្ជី​កម្មវិធី​ជំនួយ​ដែល​ត្រូវ​បាន​បិទ​តាម​លំនាំដើម ។,40,accerciser,po/km.po
Available new pluginviews,43,ទិដ្ឋភាព​កម្មវិធី​ជំនួយ​ថ្មី​ដែល​មាន,44,accerciser,po/km.po
Default window height,47,កម្ពស់​បង្អួច​លំនាំដើម,48,accerciser,po/km.po
Default window width,51,ទទឹង​បង្អួច​លំនាំដើម,52,accerciser,po/km.po
Highlight border color,55,រំលេច​ពណ៌​ស៊ុម,56,accerciser,po/km.po
Highlight duration,59,រំលេច​ថិរវេលា,60,accerciser,po/km.po
Highlight fill color,63,រំលេច​ពណ៌​បំពេញ,64,accerciser,po/km.po
Horizontal split,67,ពុះ​ផ្ដេក,68,accerciser,po/km.po
Hotkey combination,71,បន្សំ​គ្រាប់ចុច​ចង,72,accerciser,po/km.po
Hotkey combination for related action.,75,បន្សំ​គ្រាប់ចុច​ចង​សម្រាប់​សកម្មភាព​ដែល​ទាក់ទង ។,76,accerciser,po/km.po
Position of the horizontal split of the main window.,79,ទីតាំង​ពុះ​ផ្ដេក​នៃ​បង្អួច​មេ ។,80,accerciser,po/km.po
Position of the vertical split of the main window.,83,ទីតាំង​ពុះ​បញ្ឈរ​នៃ​បង្អួច​មេ ។,84,accerciser,po/km.po
Single layout view,87,ទិដ្ឋភាព​ប្លង់​តែមួយ,88,accerciser,po/km.po
The color and opacity of the highlight border.,91,ពណ៌ និង​ភាព​ស្រអាប់​នៃ​ស៊ុម​ដែល​បាន​រំលេច ។,92,accerciser,po/km.po
The color and opacity of the highlight fill.,95,ពណ៌ និង​ភាព​ស្រអាប់​នៃ​ការ​បំពេញ​ដែល​បាន​រំលេច ។,96,accerciser,po/km.po
The default plugin layout for the top panel.,99,ប្លង់​កម្មវិធី​ជំនួយ​លំនាំដើម​សម្រាប់​ផ្ទាំង​ខាងលើ ។,100,accerciser,po/km.po
The duration of the highlight box when selecting accessible nodes.,103,ថិរវេលា​នៃ​ប្រអប់​រំលេច នៅ​ពេល​ជ្រើសរើស​ថ្នាំង​ដែល​អាច​ចូល​ដំណើរការ​បាន ។,104,accerciser,po/km.po
The layout for the bottom panel,107,ប្លង់​សម្រាប់​ផ្ទាំង​ខាងក្រោម,108,accerciser,po/km.po
The layout for the bottom panel pluginview.,111,ប្លង់​សម្រាប់​ទិដ្ឋភាព​កម្មវិធី​ជំនួយ​ផ្ទាំង​ខាងក្រោម ។,112,accerciser,po/km.po
The layout for the top panel,115,ប្លង់​សម្រាប់​ផ្ទាំង​ខាងលើ,116,accerciser,po/km.po
The layout for the top panel pluginview.,119,ប្លង់​សម្រាប់​ទិដ្ឋភាព​កម្មវិធី​ជំនួយ​ផ្ទាំង​ខាងលើ ។,120,accerciser,po/km.po
The pluginview layout,123,ប្លង់​ទិដ្ឋភាព​កម្មវិធី​ជំនួយ,124,accerciser,po/km.po
The window height value.,127,តម្លៃ​កម្ពស់​បង្អួច ។,128,accerciser,po/km.po
The window width value.,131,តម្លៃ​ទទឹង​បង្អួច ។,132,accerciser,po/km.po
This list contains all the new available pluginviews,135,បញ្ជី​នេះ​មាន​ទិដ្ឋភាព​កម្មវិធី​ជំនួយ​ថ្មី​ទាំងអស់​ដែល​​អាច​មាន,136,accerciser,po/km.po
Vertical split,139,ពុះ​បញ្ឈរ,140,accerciser,po/km.po
View plugins in a single layout.,143,កម្មវិធី​ជំនួយ​ទិដ្ឋភាព​នៅ​ក្នុង​ប្លង់​តែមួយ ។,144,accerciser,po/km.po
Window height,147,កម្ពស់​បង្អួច,148,accerciser,po/km.po
Window height value.,151,តម្លៃ​កម្ពស់​បង្អួច ។,152,accerciser,po/km.po
Window width,155,ទទឹង​បង្អួច,156,accerciser,po/km.po
Window width value.,159,តម្លៃ​ទទឹង​​បង្អួច ។,160,accerciser,po/km.po
API Browser,163,កម្មវិធី​រុករក API,164,accerciser,po/km.po
Browse the various methods of the current accessible,167,រកមើល​វិធីសាស្ត្រ​ផ្សេងៗ​ដែល​អាច​ចូល​ដំណើរការ​ក្នុង​ពេល​បច្ចុប្បន្ន,168,accerciser,po/km.po
Hide private attributes,171,លាក់​គុណ​លក្ខណៈ​ឯកជន,172,accerciser,po/km.po
Method,175,វិធីសាស្ត្រ,176,accerciser,po/km.po
Property,179,លក្ខណសម្បត្តិ,180,accerciser,po/km.po
Value,183,តម្លៃ,184,accerciser,po/km.po
IPython Console,187,កុងសូល IPython,188,accerciser,po/km.po
Interactive console for manipulating currently selected accessible,191,កុងសូល​អន្តរ​សកម្ម​សម្រាប់​រៀបចំ​ការ​ចូល​ដំណើរការ​ដែល​បាន​ជ្រើស​ថ្មីៗ,192,accerciser,po/km.po
<b>Event monitor</b>,195,<b>កម្មវិធី​ត្រួតពិនិត្យ​ព្រឹត្តិការណ៍</b>,196,accerciser,po/km.po
C_lear Selection,199,សម្អាត​ជម្រើស,200,accerciser,po/km.po
Everything,203,អ្វីៗ​គ្រប់យ៉ាង,204,accerciser,po/km.po
Selected accessible,207,ការ​ចូល​ដំណើរការ​ដែលបានជ្រើស,208,accerciser,po/km.po
Selected application,211,កម្មវិធី​ដែល​បាន​ជ្រើស,212,accerciser,po/km.po
Source,215,ប្រភព,216,accerciser,po/km.po
_Monitor Events,219,ត្រួតពិនិត្យ​ព្រឹត្តិការណ៍,220,accerciser,po/km.po
Event Monitor,223,កម្មវិធី​ត្រួតពិនិត្យ​ព្រឹត្តិការណ៍,224,accerciser,po/km.po
Shows events as they occur from selected types and sources,227,បង្ហាញ​ព្រឹត្តិការណ៍ នៅ​ពេល​ពួកវា​កើត​ពី​ប្រភេទ និង​ប្រភព​ដែល​បាន​ជ្រើស,228,accerciser,po/km.po
Highlight last event entry,231,រំលេច​ធាតុ​ព្រឹត្តិការណ៍​ចុងក្រោយ,232,accerciser,po/km.po
Start/stop event recording,235,ចាប់ផ្ដើម/បញ្ឈប់​ការ​ថតចម្លង​ព្រឹត្តិការណ៍,236,accerciser,po/km.po
Clear event log,239,សម្អាត​កំណត់​ហេតុព្រឹត្តិការណ៍,240,accerciser,po/km.po
0,243,០,244,accerciser,po/km.po
"0, 0",248,"០, ០",249,accerciser,po/km.po
<b>Attributes</b>,252,<b>គុណ​លក្ខណៈ</b>,253,accerciser,po/km.po
<b>Child count</b>,256,<b>ចំនួន</b>,257,accerciser,po/km.po
<b>Description</b>,260,<b>សេចក្ដី​ពិពណ៌នា</b>,261,accerciser,po/km.po
<b>Relations</b>,264,<b>ទំនាក់ទំនង</b>,265,accerciser,po/km.po
<b>Selected Cell</b>,268,<b>ក្រឡា​ដែល​បាន​ជ្រើស</b>,269,accerciser,po/km.po
<b>States</b>,272,<b>ស្ថានភាព</b>,273,accerciser,po/km.po
<b>Table Information</b>,276,<b>ព័ត៌មាន​តារាង</b>,277,accerciser,po/km.po
<b>Text</b>,280,<b>អត្ថបទ</b>,281,accerciser,po/km.po
<b>unknown</b>,284,<b>មិន​ស្គាល់</b>,285,accerciser,po/km.po
<i>(no description)</i>,289,<i>(គ្មាន​សេចក្ដី​ពិពណ៌នា)</i>,290,accerciser,po/km.po
<i>Caption:</i>,293,<i>ចំណងជើង ៖</i>,294,accerciser,po/km.po
<i>End: 0</i>,298,<i>បញ្ចប់ ៖ ០</i>,299,accerciser,po/km.po
<i>Start: 0</i>,303,<i>ចាប់ផ្ដើម ៖ ០</i>,304,accerciser,po/km.po
<i>Summary:</i>,307,<i>សេចក្ដី​សង្ខេប ៖</i>,308,accerciser,po/km.po
<no description>,311,<គ្មាន​សេចក្ដី​ពិពណ៌នា>,312,accerciser,po/km.po
Absolute position,315,ទីតាំង​ដាច់ខាត,316,accerciser,po/km.po
Acti_on,319,សកម្មភាព,320,accerciser,po/km.po
Alpha,323,អាល់ហ្វា,324,accerciser,po/km.po
Ap_plication,327,កម្មវិធី,328,accerciser,po/km.po
Co_mponent,331,សមាសភាគ,332,accerciser,po/km.po
Col_lection,335,សម្រាំង,336,accerciser,po/km.po
Column,339,ជួរឈរ,340,accerciser,po/km.po
Columns,343,ជួរឈរ,344,accerciser,po/km.po
Current value,347,តម្លៃ​បច្ចុប្បន្ន,348,accerciser,po/km.po
Des_ktop,351,ផ្ទៃតុ,352,accerciser,po/km.po
Description,357,សេចក្ដី​ពិពណ៌នា,358,accerciser,po/km.po
Extents:,362,ផ្នែកបន្ថែម ៖,363,accerciser,po/km.po
H_ypertext,366,អត្ថបទ​តភ្ជាប់​គ្មាន​លំដាប់,367,accerciser,po/km.po
Header:,370,បឋមកថា ៖,371,accerciser,po/km.po
Hyperlink,375,តំណ​ខ្ពស់,376,accerciser,po/km.po
ID,379,លេខ​សម្គាល់,380,accerciser,po/km.po
Include defaults,383,រួមបញ្ចូល​លំនាំដើម,384,accerciser,po/km.po
Layer,387,ស្រទាប់,388,accerciser,po/km.po
