Enable or disable system networking,46,시스템 네트워크 사용 여부,47,NetworkManager,po/ko.po
System policy prevents enabling or disabling system networking,50,시스템 정책이 시스템 네트워크의 사용 여부 설정을 금지합니다,51,NetworkManager,po/ko.po
Reload NetworkManager configuration,54,네트워크 관리자 구성 다시 읽어들이기,55,NetworkManager,po/ko.po
System policy prevents reloading NetworkManager,58,시스템 정책으로 인해 네트워크 관리자를 다시 읽어들이지 않습니다,59,NetworkManager,po/ko.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),62,네트워크 관리 프로그램을 대기 상태로 놓거나 다시 시작합니다 (시스템 전원 관리에서만 사용),65,NetworkManager,po/ko.po
System policy prevents putting NetworkManager to sleep or waking it up,70,시스템 정책이 네트워크 관리 프로그램의 대기 상태나 다시 시작을 금지합니다,71,NetworkManager,po/ko.po
Enable or disable Wi-Fi devices,75,Wi-Fi 장치 사용 여부,76,NetworkManager,po/ko.po
System policy prevents enabling or disabling Wi-Fi devices,79,시스템 정책이 Wi-Fi 장치 사용 여부 설정을 금지합니다,80,NetworkManager,po/ko.po
Enable or disable mobile broadband devices,83,모바일 광대역 장치 사용 여부,84,NetworkManager,po/ko.po
System policy prevents enabling or disabling mobile broadband devices,87,시스템 정책이 모바일 광대역 장치의 사용 여부 설정을 금지합니다,88,NetworkManager,po/ko.po
Enable or disable WiMAX mobile broadband devices,91,WiMAX 모바일 광대역 장치 사용 여부,92,NetworkManager,po/ko.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,95,시스템 정책이 와이맥스 모바일 광대역 장치의 사용 여부 설정을 금지합니다,97,NetworkManager,po/ko.po
Allow control of network connections,101,네트워크 연결 제어 허용,102,NetworkManager,po/ko.po
System policy prevents control of network connections,105,시스템 정책이 네트워크 연결 조작을 금지합니다,106,NetworkManager,po/ko.po
Allow control of Wi-Fi scans,109,Wi-Fi 스캔 제어 허용,110,NetworkManager,po/ko.po
System policy prevents Wi-Fi scans,113,시스템 정책이 Wi-Fi 스캔을 금지합니다,114,NetworkManager,po/ko.po
Connection sharing via a protected Wi-Fi network,117,보호된 Wi-Fi 네트워크를 통한 연결 공유,118,NetworkManager,po/ko.po
System policy prevents sharing connections via a protected Wi-Fi network,121,시스템 정책이 보호된 Wi-Fi 네트워크를 통한 연결 공유를 금지합니다,123,NetworkManager,po/ko.po
Connection sharing via an open Wi-Fi network,126,열린 Wi-Fi 네트워크를 통한 연결 공유,127,NetworkManager,po/ko.po
System policy prevents sharing connections via an open Wi-Fi network,130,시스템 정책이 열린 Wi-Fi 네트워크를 통한 연결 공유를 금지합니다,131,NetworkManager,po/ko.po
Modify personal network connections,134,개인 네트워크 연결을 수정합니다,135,NetworkManager,po/ko.po
System policy prevents modification of personal network settings,138,시스템 정책이 개인 네트워크 설정의 수정을 금지합니다,139,NetworkManager,po/ko.po
Modify network connections for all users,142,모든 사용자의 네트워크 연결을 수정합니다,143,NetworkManager,po/ko.po
System policy prevents modification of network settings for all users,146,시스템 정책이 모든 사용자에 대해 네트워크 설정의 수정을 금지합니다,147,NetworkManager,po/ko.po
Modify persistent system hostname,150,지속적인 시스템 호스트 이름을 수정합니다,151,NetworkManager,po/ko.po
System policy prevents modification of the persistent system hostname,154,시스템 정책이 시스템 호스트 이름의 변경을 금지합니다,155,NetworkManager,po/ko.po
Modify persistent global DNS configuration,158,지속적인 전체 DNS 설정 수정,159,NetworkManager,po/ko.po
System policy prevents modification of the persistent global DNS configuration,162,시스템 정책이 지속적인 전체 DNS 설정의 수정을 금지합니다.,165,NetworkManager,po/ko.po
Perform a checkpoint or rollback of interfaces configuration,168,인터페이스 구성의 체크 포인트 또는 롤백 수행,169,NetworkManager,po/ko.po
System policy prevents the creation of a checkpoint or its rollback,172,시스템 정책으로 체크포인트 생성이나 롤백을 할 수 없습니다.,173,NetworkManager,po/ko.po
Enable or disable device statistics,176,장치 통계 활성화 또는 비활성화,177,NetworkManager,po/ko.po
System policy prevents enabling or disabling device statistics,180,시스템 정책으로 장치 통계 기능 사용 여부를 설정할 수 없습니다,181,NetworkManager,po/ko.po
Enable or disable connectivity checking,184,연결 확인 사용 여부,185,NetworkManager,po/ko.po
System policy prevents enabling or disabling connectivity checking,188,시스템 정책으로 연결 확인 사용 여부를 설정할 수 없습니다.,189,NetworkManager,po/ko.po
ADSL connection,203,ADSL 연결,204,NetworkManager,po/ko.po
%s Network,208,%s 네트워크,209,NetworkManager,po/ko.po
"PAN requested, but Bluetooth device does not support NAP",212,PAN이 요청되었지만 블루투스 장치에서 NAP를 지원하지 않습니다,213,NetworkManager,po/ko.po
"PAN connections cannot specify GSM, CDMA, or serial settings",216,"PAN 연결에서 GSM, CDMA 또는 직렬 포트 설정을 지정할 수 없습니다",217,NetworkManager,po/ko.po
PAN connection,220,PAN 연결,221,NetworkManager,po/ko.po
"DUN requested, but Bluetooth device does not support DUN",224,DUN이 요청되었지만 블루투스 장치에서 DUN을 지원하지 않습니다,225,NetworkManager,po/ko.po
DUN connection must include a GSM or CDMA setting,228,DUN 연결에는 GSM 또는 CDMA 설정을 포함해야 합니다,229,NetworkManager,po/ko.po
GSM connection,233,GSM 연결,234,NetworkManager,po/ko.po
CDMA connection,238,CDMA 연결,239,NetworkManager,po/ko.po
Unknown/unhandled Bluetooth connection type,242,알 수 없거나 처리되지 않은 블루투스 연결 유형,243,NetworkManager,po/ko.po
connection does not match device,246,연결이 장치와 일치하지 않습니다.,247,NetworkManager,po/ko.po
6LOWPAN connection,250,6LOWPAN 연결,251,NetworkManager,po/ko.po
Bond connection,254,본딩 연결,255,NetworkManager,po/ko.po
Bridge connection,258,브릿지 연결,259,NetworkManager,po/ko.po
Dummy connection,262,더미 연결,263,NetworkManager,po/ko.po
Wired connection %d,267,유선 연결 %d,268,NetworkManager,po/ko.po
PPPoE connection,277,PPPoE 연결,278,NetworkManager,po/ko.po
Wired connection,281,유선 연결,282,NetworkManager,po/ko.po
InfiniBand connection,286,인피니밴드 연결,287,NetworkManager,po/ko.po
IP tunnel connection,290,IP 터널링 연결,291,NetworkManager,po/ko.po
MACVLAN connection,294,MACVLAN 연결,295,NetworkManager,po/ko.po
TUN connection,298,TUN 연결,299,NetworkManager,po/ko.po
VLAN connection,303,VLAN 연결,304,NetworkManager,po/ko.po
VRF connection,308,VRF 연결,309,NetworkManager,po/ko.po
VXLAN connection,313,VXLAN 연결,314,NetworkManager,po/ko.po
WPAN connection,317,WPAN 연결,318,NetworkManager,po/ko.po
Team connection,321,티밍 연결,322,NetworkManager,po/ko.po
Mesh,326,메쉬,327,NetworkManager,po/ko.po
%s is incompatible with static WEP keys,331,%s은(는) 정적 WEP 키와 호환되지 않습니다.,332,NetworkManager,po/ko.po
LEAP authentication requires a LEAP username,335,LEAP 인증에는 LEAP 사용자 이름이 필요합니다.,336,NetworkManager,po/ko.po
LEAP username requires 'leap' authentication,339,LEAP 사용자 이름에는 'leap' 인증이 필요합니다,340,NetworkManager,po/ko.po
LEAP authentication requires IEEE 802.1x key management,343,LEAP 인증에는 IEEE 802.1x 키 관리가 필요합니다,344,NetworkManager,po/ko.po
LEAP authentication is incompatible with Ad-Hoc mode,347,LEAP 인증은 애드혹 모드와 호환되지 않습니다,348,NetworkManager,po/ko.po
LEAP authentication is incompatible with 802.1x setting,351,LEAP 인증은 802.1x 설정과 호환되지 않습니다,352,NetworkManager,po/ko.po
a connection using '%s' authentication cannot use WPA key management,356,'%s' 인증을 사용하는 연결에는 WPA 키 관리를 사용할 수 없습니다,357,NetworkManager,po/ko.po
a connection using '%s' authentication cannot specify WPA protocols,361,'%s' 인증을 사용하는 연결에는 WPA 프로토콜을 지정할 수 없습니다,362,NetworkManager,po/ko.po
a connection using '%s' authentication cannot specify WPA ciphers,367,'%s' 인증을 사용하는 연결에는 WPA 암호화 방식을 지정할 수 없습니다,368,NetworkManager,po/ko.po
a connection using '%s' authentication cannot specify a WPA password,372,'%s' 인증을 사용하는 연결에는 WPA 암호를 지정할 수 없습니다,373,NetworkManager,po/ko.po
