Open System,12724,Pergalê Vekirî,12725,NetworkManager,po/ku.po
Disk Usage Analyzer,29,Analîzkerê Bikaranîna Dîskê,30,baobab,po/ku.po
Toolbar is Visible,66,Darikê Amûran Dixuye,67,baobab,po/ku.po
All_ocated Space,86,_Qada veqetandî,87,baobab,po/ku.po
S_can Remote Folder...,94,Li Peldanka _Dûr Venihêre...,95,baobab,po/ku.po
Scan F_older...,98,Li Peldankan Venihêre...,99,baobab,po/ku.po
Scan Filesystem,102,_Pergala Pelan Venihêre...,103,baobab,po/ku.po
Scan Folder,106,Li Peldankan Venihêre,107,baobab,po/ku.po
Scan Home,110,Malê Venihêre,111,baobab,po/ku.po
Scan Remote Folder,114,Li Peldanka _Dûr Venihêre...,115,baobab,po/ku.po
Scan _Filesystem,118,Venihêrtina _Pergala Pelan,119,baobab,po/ku.po
Scan _Home Folder,122,Li Peldanka Malê Venihêre,123,baobab,po/ku.po
Scan a folder,126,Li peldankekê venihêre,127,baobab,po/ku.po
Scan a remote folder,130,Li peldankeke dûr venihêre,131,baobab,po/ku.po
Scan filesystem,134,Li _pergala pelan venihêre,135,baobab,po/ku.po
Scan home folder,138,Li peldanka mal venihêre,139,baobab,po/ku.po
St_atusbar,142,_Darikê rewşê,143,baobab,po/ku.po
Stop scanning,146,Venihêrtinê rawestîne,147,baobab,po/ku.po
_Analyzer,150,_Analîzer,151,baobab,po/ku.po
_Contents,158,_Naverok,159,baobab,po/ku.po
_Edit,162,_Biguherîne,163,baobab,po/ku.po
_Help,170,_Alîkarî,171,baobab,po/ku.po
_Toolbar,174,_Darikê amûran,175,baobab,po/ku.po
_View,178,_Dîtin,179,baobab,po/ku.po
Scanning...,182,Tê venihêrtin...,183,baobab,po/ku.po
used:,190,bikaranîn:,191,baobab,po/ku.po
Zoom in,243,Nêzîk bike,244,baobab,po/ku.po
Zoom out,247,Dûr bike,248,baobab,po/ku.po
Cannot create pixbuf image!,309,Wêneyê pixbuf nehate çêkirin!,310,baobab,po/ku.po
Scan,324,Venihêre,325,baobab,po/ku.po
Device,328,Cîhaz,329,baobab,po/ku.po
Mount Point,332,Xala Girêdanê,333,baobab,po/ku.po
Custom Location,354,Cihê Taybet,355,baobab,po/ku.po
Public FTP,362,FTPya Giştî,363,baobab,po/ku.po
FTP (with login),366,FTP (bi têketin),367,baobab,po/ku.po
Windows share,370,Parvekirina Windowsê,371,baobab,po/ku.po
Secure WebDAV (HTTPS),378,WebDAV (HTTPS) ya Ewle,379,baobab,po/ku.po
Please enter a name and try again.,387,Ji kerema xwe re navekî binivîse û careke din biceribîne.,388,baobab,po/ku.po
_Location (URI):,391,_Cih (URI):,392,baobab,po/ku.po
_Port:,410,_Port,411,baobab,po/ku.po
_Folder:,414,_Peldank:,415,baobab,po/ku.po
Service _type:,433,_Cureyê servîsê:,434,baobab,po/ku.po
_Scan,437,_Venihêre,438,baobab,po/ku.po
Folder,456,Peldank,457,baobab,po/ku.po
Size,464,Mezinahî,465,baobab,po/ku.po
Contents,468,Naverok,469,baobab,po/ku.po
Select Folder,472,Peldankekê Hilbijêre,473,baobab,po/ku.po
_Open Folder,496,Peldankê _Veke,497,baobab,po/ku.po
Mo_ve to Trash,500,Bavêje _Sergo,501,baobab,po/ku.po
There was an error displaying help.,528,Dema alîkarî dihate nîşandan çewtiyek çêbû.,529,baobab,po/ku.po
The document does not exist.,568,Ev pelge tune.,569,baobab,po/ku.po
The folder does not exist.,572,Peldank ne mevcûd e.,573,baobab,po/ku.po
Cheese Webcam Booth,23,Bernameya Webcam'an Cheese,24,cheese,po/ku.po
"Take photos and videos with your webcam, with fun graphical effects",27,"Bi webcama xwe wêne û vîdyoyan bikişînin, bi efektên seyr.",28,cheese,po/ku.po
"A list of effects applied on startup. Possible values are: \""mauve\"", \""noir_blanc\"", \""saturation\"", \""hulk\"", \""vertical-flip\"", \""horizontal-flip\"", \""shagadelic\"", \""vertigo\"", \""edge\"", \""dice\"" and \""warp\""",33,"Di destpêkê de hinek efekt tên sepandin. Nirxên pêkan ev in: \""mauve\"", \""noir_blanc\"", \""saturation\"", \""hulk\"", \""vertical-flip\"", \""horizontal-flip\"", \""shagadelic\"", \""vertigo\"", \""edge\"", \""dice\"" û \""warp\""",37,cheese,po/ku.po
"Defines the path where the photos are stored, if empty \""XDG_PHOTO/Webcam\"" will be used.",43,"Diyar dike ka wêne li ku tên tomarkirin, ger vala bimîne \""XDG_PHOTO/Webcam\"" wê were bikaranîn.",46,cheese,po/ku.po
"Defines the path where the videos are stored, if empty \""XDG_VIDEO/Webcam\"" will be used.",51,"Diyar dike ka vîdyo li ku tên tomarkirin, ger vala bimîne, ger vala bimîne wê \""XDG_VIDEO/Webcam\"" were bikaranîn.",54,cheese,po/ku.po
Height resolution,59,Hûrbûna Bilindahiyê,60,cheese,po/ku.po
Photo Path,70,Riya Wêneyê,71,cheese,po/ku.po
Selected Effects,74,Efektên Bijartî,75,cheese,po/ku.po
Set to True to show countdown when taking a photo,78,"Ji bo ku dema wêne bê kişandin yek du sê bêjmêre, çalak bikin",79,cheese,po/ku.po
The device which points to the webcam (e.g. /dev/video0),82,Amûra ku webcamê nîşan dide (mînak. /dev/video0),83,cheese,po/ku.po
The height resolution of the image captured from the camera,86,Hûrbûna bilindahiya wêneya ku bi kamerayê tê kişandin,87,cheese,po/ku.po
The width resolution of the image captured from the camera,90,Hûrbûna firehiya wêneya ku bi kamerayê tê kişandin,91,cheese,po/ku.po
Use a countdown,94,Jimertina yek du sê bi kar bîne,95,cheese,po/ku.po
Video Path,98,Riya Vîdyoyê,99,cheese,po/ku.po
Width resolution,110,Hûrbûna Firehiyê,111,cheese,po/ku.po
Switch to Photo Mode,118,Biguhere li Moda Wêneyê,119,cheese,po/ku.po
Switch to Video Mode,122,Biguhere li Moda Vîdyoyê,123,cheese,po/ku.po
Switch to the Effects Selector,126,Biguhere li Bijartina Efektan,127,cheese,po/ku.po
_Effects,131,_Efekt,132,cheese,po/ku.po
_Leave Fullscreen,135,Ji dîmender tije der_keve,136,cheese,po/ku.po
_Photo,139,_Wêne,140,cheese,po/ku.po
_Take a Photo,143,Wêneyek bi_kişîne,144,cheese,po/ku.po
_Video,147,_Vîdyo,148,cheese,po/ku.po
<b>Camera</b>,151,<b>Kamera</b>,152,cheese,po/ku.po
<b>Resolution</b>,155,<b>Hûrbûn</b>,156,cheese,po/ku.po
Preferences,159,Vebijêrk,160,cheese,po/ku.po
No Effect,163,Efekt tune,164,cheese,po/ku.po
Saturation,175,Satûrasyon,176,cheese,po/ku.po
Vertical Flip,183,Vajîkirina Tîkane,184,cheese,po/ku.po
Horizontal Flip,187,Vajîkirina Berwarî,188,cheese,po/ku.po
Vertigo,195,Şaşwaz,196,cheese,po/ku.po
Edge,199,Sînor,200,cheese,po/ku.po
Warp,207,Xwar,208,cheese,po/ku.po
No camera found!,223,Tu kamera nehat dîtin!,224,cheese,po/ku.po
Please refer to the help for further information.,227,Ji bo zêdetir agahiyan serî li alîkariyê bidin.,228,cheese,po/ku.po
Help,231,Alîkarî,232,cheese,po/ku.po
One or more needed gstreamer elements are missing: ,235,Yek an jî zêdetir elementên gstreamer ên pêwist wenda ne:,236,cheese,po/ku.po
_Skip,239,Derbasbe,240,cheese,po/ku.po
S_kip All,243,Hemûyan Derbasbe,244,cheese,po/ku.po
Delete _All,247,Hemûyan Jê Bibe,248,cheese,po/ku.po
Failed to open browser to show:\n%s,252,Vekirina gerokê pêk nehat ji bo nîşandana:\n%s,255,cheese,po/ku.po
Failed to open email client to send message to:\n%s,261,Vekirina daxwazkera emailê pêk nehat ji bo şandina peyamê li:\n%s,264,cheese,po/ku.po
