"gedit is the official text editor of the GNOME desktop environment. While aiming at simplicity and ease of use, gedit is a powerful general purpose text editor.",21,"gedit azali mobɔngele nkomá mokonzi ya nzíngazínga ya biló GNOME.  Soki olongi ésaleli ya pasi tɛ̂ mpe ya makasi tɛ̂, gedit azali mobɔngele nkomá ya makasi ya bosaléli banso.",22,gedit,po/ln.po
"Whether you are writing the next bestseller, programming an innovative application, or simply taking some quick notes, gedit will be a reliable tool to accomplish your task.",25,"Te okoma best-seller ékoya, pologami ya sika, to mpe olingi kazwa ndambo ya noti, gedit azali esaleli ya kitoko mpona kokokisa misala na yo.",26,gedit,po/ln.po
Its flexible plugin system allows you to tailor the application to your needs and adapt it to your workflow.,29,sistɛ́mɛ na ye ya kotíngisa epesi yo ndingisa ya kosalela esáliseli na mposa na yo mpe na lolenge na yo ya mosala.,30,gedit,po/ln.po
Text Editor,34,mobɔngele nkomá ; editɛ́lɛ,35,gedit,po/ln.po
Edit text files,38,Bɔngisa kásá ya nkomá,39,gedit,po/ln.po
gedit Text Editor,42,gedit mobɔngele nkomá,43,gedit,po/ln.po
Text;Editor;,46,Nkoma;ebɔngele;,47,gedit,po/ln.po
Open a New Window,50,Fungola lininísa ya sika,51,gedit,po/ln.po
Open a New Document,54,Fungola dokimá ya sika,55,gedit,po/ln.po
Use Default Font,58,Salela polósi likwá,59,gedit,po/ln.po
"Whether to use the system's default fixed width font for editing text instead of a font specific to gedit. If this option is turned off, then the font named in the \""Editor Font\"" option will be used instead of the system font.",62,"Lakisa soki ebongi kosalela bonene ya polosi likwa ya sistɛ́mɛ mpona libongeli nkoma na esika ya kosalela polosi moko ya gedit. Soki liponi wana eza ya kokangama, na tango wana polosi oyo éponami na liponi \"" Polosi ya ebɔngeli\"" eko salelama na esika ya polosi ya sistɛ́mɛ.",63,gedit,po/ln.po
Editor Font,70,Editor polósi,71,gedit,po/ln.po
"A custom font that will be used for the editing area. This will only take effect if the \""Use Default Font\"" option is turned off.",74,"Polosi ya koúlinisa nde esalelami na étando ya libongeli . Ekoki ko zwa esika soki liponi ya \""Salela polosi likwa\"" ekangami.",75,gedit,po/ln.po
Style Scheme,78,Nzɛ́ngá ya Libɔngisi ,79,gedit,po/ln.po
The ID of a GtkSourceView Style Scheme used to color the text.,82,ID ya libɔngisi nzenga ya GtkSourceView bisaleli mpona botiyi langi ya nkoma,83,gedit,po/ln.po
Create Backup Copies,86,Kela kopí ya bobíkisi,87,gedit,po/ln.po
Whether gedit should create backup copies for the files it saves.,90,Lakisa soki gedit akoki kokela kopí ya bobíkisi ba kasa oyo azali ko bombisa,91,gedit,po/ln.po
Autosave,94,mɛ́i-bombómbisi,95,gedit,po/ln.po
"Whether gedit should automatically save modified files after a time interval. You can set the time interval with the \""Autosave Interval\"" option.",98,"Lakisa soki gedit akoki ko bombisa ya mɛ́i kasa eye ebóngolámí sima ya ntaka ya ngonga. Okoki kotiya ntaka ya ngonga na lopini \""ntaka ya mɛ́i-bombómbisi\"".",99,gedit,po/ln.po
Autosave Interval,102,Etando ya bombómbisi,103,gedit,po/ln.po
"Number of minutes after which gedit will automatically save modified files. This will only take effect if the \""Autosave\"" option is turned on.",106,"Motango ya miniti oyo sima na yango nde gedit akoki ko bombisa ye mɛ́i kasa ebóngolámí. Ekoki ko zwa esika soki liponi ya \""mɛ́i-bombómbisi\"" ézali polélé.",107,gedit,po/ln.po
Maximum Number of Undo Actions,110,Suka ya mutaya ya ekelá bwakisami,111,gedit,po/ln.po
