Photo mode,23,ໂຫມດຮູບພາບ,24,cheese,po/lo.po
Photo,27,ຮູບພາບ,28,cheese,po/lo.po
Video mode,31,ໂຫມດວິດີໂອ,32,cheese,po/lo.po
Video,35,ວິດີໂອ,36,cheese,po/lo.po
Photo burst mode,39,ໂຫມດຮູບພາບຕໍ່ເນື່ອງ,40,cheese,po/lo.po
Burst,43,ຮູບພາບຕໍ່ເນື່ອງ,44,cheese,po/lo.po
Take a photo using a webcam,47,ຖ່າຍຮູບໂດຍການນຳໃຊ້ເວັບແຄມ,48,cheese,po/lo.po
Navigate to the previous page of effects,51,ກັບໄປຫາລູກຫລີ້ນຫນ້າກ່ອນຫນ້ານີ້,52,cheese,po/lo.po
Effects,55,ລູກຫລີ້ນ,56,cheese,po/lo.po
_Effects,59,_ລູກຫລີ້ນ,60,cheese,po/lo.po
Navigate to the next page of effects,63,ເຂົ້າໄປຫາລູກຫລີ້ນຫນ້າຕໍ່ໄປ,64,cheese,po/lo.po
Leave fullscreen mode and go back to windowed mode,67,ອອກຈາກໂຫມດເຕັມຫນ້າຈໍ ແລະ ກັບໄປທີ່ໂຫມດວິນໂດ,68,cheese,po/lo.po
Preferences,71,ການປັບແຕ່ງ,72,cheese,po/lo.po
_Help,75,_ວິທີໃຊ້,76,cheese,po/lo.po
_Close,79,_ປິດ,80,cheese,po/lo.po
Device,83,ອຸປະກອນ,84,cheese,po/lo.po
Photo resolution,87,ຄວາມລະອຽດຂອງພາບ,88,cheese,po/lo.po
Video resolution,91,ຄວາມລະອຽດຂອງວິດີໂອ,92,cheese,po/lo.po
Webcam,95,ເວັບແຄມ,96,cheese,po/lo.po
Brightness,99,ຄວາມແຈ້ງ,100,cheese,po/lo.po
Saturation,103,ສີສົດ,104,cheese,po/lo.po
Hue,107,ທາດສີ,108,cheese,po/lo.po
Contrast,111,ຄວາມຕ່າງຂອງລະດັບສີ,112,cheese,po/lo.po
Image,115,ພາບ,116,cheese,po/lo.po
Shutter,119,ຊັດເຕີ,120,cheese,po/lo.po
_Countdown,123,_ນັບຖອຍຫລັງ,124,cheese,po/lo.po
Fire _flash,127,ຍິງ _ແຟລຊ໌,128,cheese,po/lo.po
Burst mode,131,ໂຫມດຮູບພາບຕໍ່ເນື່ອງ,132,cheese,po/lo.po
Number of photos,135,ຈຳນວນຂອງຮູບພາບ,136,cheese,po/lo.po
Delay between photos (seconds),139,ໄລຍະເວລາລະຫວ່າງແຕ່ລະຮູບ (ວິນາທີ),140,cheese,po/lo.po
Capture,143,ການຈັບພາບ,144,cheese,po/lo.po
_Fullscreen,147,_ເຕັມຈໍ,148,cheese,po/lo.po
P_references,151,ການປັບແຕ່ງ,152,cheese,po/lo.po
_Keyboard Shortcuts,155,_ຕົວຫຍໍ້ຄີບອດ,156,cheese,po/lo.po
_About Cheese,159,_ກ່ຽວກັບ,160,cheese,po/lo.po
Take a Photo,163,ຖ່າຍຮູບ,164,cheese,po/lo.po
Open,167,ເປີດ,168,cheese,po/lo.po
Save _As…,171,ບັນທຶກໄວ້ທີ່…,172,cheese,po/lo.po
Move to _Trash,175,ຖີ້ມລົງໃນຖັງຂີ້ເຫຍື້ອ,176,cheese,po/lo.po
Delete,179,ລຶບ,180,cheese,po/lo.po
"Take photos and videos with your webcam, with fun graphical effects",190,ຖ່າຍຮູບ ແລະ ວິດີໂອດ້ວຍເວັບແຄມຂອງທ່ານ ພ້ອມກັບໃສ່ລູກຫລີ້ນທີ່ຫນ້າຮັກ,191,cheese,po/lo.po
"Cheese uses your webcam to take photos and videos, applies fancy special effects and lets you share the fun with others.",194,Cheese ນຳໃຊ້ເວັບແຄມຂອງທ່ານໃນການຖ່າຍຮູບ ແລະ ວິດີໂອ ພ້ອມກັບມີລູກຫລີ້ນທີ່ຫລາກລາຍ ແລະ ເຮັດໃຫ້ທ່ານສາມາດແບ່ງປັນຄວາມສະຫນຸກສະຫນານກັບຄົນອື່ນໆ.,197,cheese,po/lo.po
"Take multiple photos in quick succession with burst mode. Use the countdown to give yourself time to strike a pose, and wait for the flash!",202,ຖ່າຍຫລາຍຮູບພ້ອມກັນຢ່າງວອງໄວດ້ວຍການນຳໃຊ້ໂຫມດຮູບພາບຕໍ່ເນື່ອງ. ໃຊ້ການນັບຖອຍຫລັງເພື່ອເຮັດໃຫ້ທ່ານມີເວລາກັບໄປຖ່າຍຮູບທັນ!,205,cheese,po/lo.po
"Under the hood, Cheese uses GStreamer to apply fancy effects to photos and videos. With Cheese it is easy to take photos of you, your friends, pets or whatever you want and share them with others.",209,"ການເຮັດວຽກພາຍໃນຂອງ Cheese ແມ່ນໄດ້ນຳໃຊ້ GStreamer ໃນການເພີ່ມລູກຫລີ້ນທີ່ຫລາກຫລາຍໃຫ້ກັບຮູບພາບ ແລະ ວິດີໂອ. Cheese ຈະເຮັດໃຫ້ທ່ານສາມາດຖ່າຍຮູບຂອງທ່ານໄດ້ງ່າຍຂື້ນ, ຫມູ່ຂອງທ່ານ, ສັດລ້ຽງ ຫລື ອື່ນໆທີ່ທ່ານຕ້ອງການ ແລະ ແບ່ງປັນຮູບເຫລົ່ານັ້ນກັບຄົນອື່ນໆ.",213,cheese,po/lo.po
Webcam Booth,219,ບູດເວັບແຄມ,220,cheese,po/lo.po
photo;video;webcam;camera;selfie;,224,ຮູບພາບ;ວິດີໂອ;ເວັບແຄມ;ກ້ອງ;ເຊລຟີ;,225,cheese,po/lo.po
Use a countdown,228,ນຳໃຊ້ການນັບຖອຍຫລັງ,229,cheese,po/lo.po
Set to true to show a countdown before taking a photo,232,ກຳນົດເປັນຄ່າຈິງຖ້າຕ້ອງການສະແດງການນັບຖອຍຫລັງກ່ອນການຖ່າຍຮູບ,233,cheese,po/lo.po
Countdown length,236,ຊ່ວງເວລາການນັບຖອຍຫລັງ,237,cheese,po/lo.po
